1.121999498, Sport: ,Ice Hockey, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,Valerenga v Lorenskog, Favorite: ,Lorenskog, 61424   size:5.18,Price: ,1.82,Valerenga, 61435   size:7.55,Price: ,3.45,Tie, 60104   size:54.13,Price: ,4.2,x
1.121991462, Sport: ,Ice Hockey, Time: ,Tue Dec 01 15:00:00 CET 2015, Time: ,Tue Dec 01 15:00:00 CET 2015, Event: ,Avtomobilist v Slovan Bratislava, Favorite: ,Avtomobilist, 4138395   size:27.0,Price: ,2.32,Slovan Bratislava, 1357713   size:5.0,Price: ,2.9,Tie, 60104   size:54.0,Price: ,4.0,ok
1.121978576, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Shrewsbury v Walsall, Favorite: ,Walsall, 55213   size:20.0,Price: ,2.44,Shrewsbury, 148735   size:105.75,Price: ,3.1,The Draw, 58805   size:913.61,Price: ,3.6,ok
1.122079734, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Almagro BA (Res) v CA Colegiales (Res), Favorite: ,CA Colegiales (Res), 9546818   size:4.64,Price: ,1.42,Almagro BA (Res), 10197580   size:38.16,Price: ,4.6,The Draw, 58805   size:43.05,Price: ,4.1,x
1.121573314, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Middlesbrough v Everton, Favorite: ,Everton, 56343   size:137.26,Price: ,2.76,Middlesbrough, 63907   size:132.19,Price: ,2.88,The Draw, 58805   size:7235.81,Price: ,3.4,ok
1.122079216, Sport: ,Basketball, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,KK Sigal Prishtina v AEK Larnacas, Favorite: ,KK Sigal Prishtina, 9063473   size:2.55,Price: ,1.54,AEK Larnacas, 9034490   size:2.55,Price: ,2.6,x
1.122079579, Sport: ,Soccer, Time: ,Tue Dec 01 12:00:00 CET 2015, Time: ,Tue Dec 01 12:00:00 CET 2015, Event: ,Ahmed SK v Elazigspor, Favorite: ,Elazigspor, 196063   size:66.0,Price: ,1.5,Ahmed SK, 10292627   size:11.31,Price: ,1.55,The Draw, 58805   size:2.78,Price: ,3.2,x
1.122042553, Sport: ,Soccer, Time: ,Wed Dec 02 00:00:00 CET 2015, Time: ,Wed Dec 02 00:00:00 CET 2015, Event: ,Brazil (W) v New Zealand (W), Favorite: ,Brazil (W), 541863   size:9.55,Price: ,1.78,New Zealand (W), 2536808   size:2.55,Price: ,5.3,The Draw, 58805   size:7.84,Price: ,3.7,ok
1.122084759, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Fleet Town FC v Petersfield Town FC, Favorite: ,Fleet Town FC, 8105136   size:2.25,Price: ,2.22,Petersfield Town FC, 10059213   size:2.07,Price: ,2.42,The Draw, 58805   size:50.44,Price: ,3.45,ok
1.122079212, Sport: ,Basketball, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,Boras v Le Havre, Favorite: ,Boras, 7037205   size:2.55,Price: ,1.57,Le Havre, 1292696   size:2.77,Price: ,2.38,x
