1.121637645, Sport: ,Basketball, Time: ,Thu Nov 05 14:00:00 CET 2015, Time: ,Thu Nov 05 14:00:00 CET 2015, Event: ,Besiktas (W) v Piestanske Cajky (W), Favorite: ,Besiktas (W), 10466210   size:9.81,Price: ,1.03,Piestanske Cajky (W), 10462196   size:62.5,Price: ,1.16,x
1.121557420, Sport: ,Volleyball, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,Fatra Zlin v SCM Craiova, Favorite: ,Fatra Zlin, 7885460   size:3.0,Price: ,1.02,Scm Craiova, 10410544   size:3.0,Price: ,1.02,x
1.121557435, Sport: ,Volleyball, Time: ,Thu Nov 05 18:00:00 CET 2015, Time: ,Thu Nov 05 18:00:00 CET 2015, Event: ,Budvanska Rivijera Budv v Halkbank Ankara, Favorite: ,Halkbank Ankara, 2789396   size:57.55,Price: ,1.09,Budvanska Rivijera Budv, 10444797   size:2.0,Price: ,7.6,ok
1.121617422, Sport: ,Tennis, Time: ,Thu Nov 05 09:00:00 CET 2015, Time: ,Thu Nov 05 09:00:00 CET 2015, Event: ,V Williams v S Zheng, Favorite: ,Venus Williams, 2309518   size:330.34,Price: ,1.08,Saisai Zheng, 5829453   size:14.77,Price: ,13.0,ok
1.121640164, Sport: ,Tennis, Time: ,Thu Nov 05 08:30:00 CET 2015, Time: ,Thu Nov 05 08:30:00 CET 2015, Event: ,Lin v Van Rijthoven, Favorite: ,Tim Van Rijthoven, 8681938   size:2.55,Price: ,1.12,Winston Lin, 8700176   size:2.55,Price: ,1.25,ok
1.121648441, Sport: ,Tennis, Time: ,Thu Nov 05 13:00:00 CET 2015, Time: ,Thu Nov 05 13:00:00 CET 2015, Event: ,Beygelzimer v Knoll, Favorite: ,Yuliya Beygelzimer, 3674505   size:41.41,Price: ,1.44,Xenia Knoll, 7414060   size:2.97,Price: ,2.78,x
1.121517057, Sport: ,Soccer, Time: ,Thu Nov 05 16:00:00 CET 2015, Time: ,Thu Nov 05 16:00:00 CET 2015, Event: ,Al Manama v East Riffa, Favorite: ,East Riffa, 5992610   size:12.25,Price: ,1.6,Al Manama, 5990402   size:11.24,Price: ,3.85,The Draw, 58805   size:18.55,Price: ,3.9,ok
1.121653445, Sport: ,Tennis, Time: ,Thu Nov 05 10:00:00 CET 2015, Time: ,Thu Nov 05 10:00:00 CET 2015, Event: ,Argyelan v Tomova, Favorite: ,Csilla Argyelan, 9003511   size:7.35,Price: ,1.04,Viktoriya Tomova, 4597116   size:7.35,Price: ,1.04,x
1.121653443, Sport: ,Tennis, Time: ,Thu Nov 05 10:00:00 CET 2015, Time: ,Thu Nov 05 10:00:00 CET 2015, Event: ,Cakarevic v Ghitescu, Favorite: ,Sara Cakarevic, 10116457   size:7.35,Price: ,1.04,Andreea Ghitescu, 9286492   size:7.35,Price: ,1.04,ok
1.121646146, Sport: ,Tennis, Time: ,Thu Nov 05 11:00:00 CET 2015, Time: ,Thu Nov 05 11:00:00 CET 2015, Event: ,Inglot/Lindstedt v Cuevas/Granollers, Favorite: ,Inglot/Lindstedt, 10075651   size:2.55,Price: ,1.52,Cuevas/Granollers, 4205969   size:2.55,Price: ,2.6,ok
