1.121555069, Sport: ,Soccer, Time: ,Sat Nov 07 11:30:00 CET 2015, Time: ,Sat Nov 07 11:30:00 CET 2015, Event: ,Boluspor v Elazigspor, Favorite: ,Boluspor, 2553026   size:56.88,Price: ,2.78,Elazigspor, 196063   size:201.73,Price: ,3.0,The Draw, 58805   size:47.89,Price: ,3.2,x
1.121558615, Sport: ,Volleyball, Time: ,Sat Nov 07 18:00:00 CET 2015, Time: ,Sat Nov 07 18:00:00 CET 2015, Event: ,Ptps Pila v Aluprof Bielsko-Biala, Favorite: ,Aluprof Bielsko-Biala, 10399381   size:2.55,Price: ,1.11,PTPS Pila, 9175934   size:2.55,Price: ,1.74,x
1.121701317, Sport: ,Tennis, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Klaffner v Khromacheva, Favorite: ,Irina Khromacheva, 6092292   size:2.77,Price: ,1.28,Melanie Klaffner, 2814671   size:2.55,Price: ,3.8,x
1.121649329, Sport: ,Ice Hockey, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,South Korea v Slovenia, Favorite: ,Slovenia, 140151   size:60.35,Price: ,1.29,South Korea, 781588   size:70.05,Price: ,7.6,Tie, 60104   size:70.05,Price: ,6.4,ok
1.121711587, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Kraluv Dvur v Prevysov, Favorite: ,Kraluv Dvur, 4142633   size:28.02,Price: ,1.36,Prevysov, 5727458   size:5.84,Price: ,5.8,The Draw, 58805   size:8.75,Price: ,4.2,x
1.121649326, Sport: ,Ice Hockey, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,France v Hungary, Favorite: ,France, 318858   size:16.42,Price: ,1.76,Hungary, 318859   size:7.56,Price: ,3.45,Tie, 60104   size:5.07,Price: ,4.7,ok
1.121646170, Sport: ,Basketball, Time: ,Sat Nov 07 19:00:00 CET 2015, Time: ,Sat Nov 07 19:00:00 CET 2015, Event: ,KK Sutjeska v Cibona, Favorite: ,Cibona, 767514   size:2.55,Price: ,1.74,KK Sutjeska, 9029075   size:2.55,Price: ,2.18,ok
1.121701476, Sport: ,Tennis, Time: ,Sat Nov 07 12:00:00 CET 2015, Time: ,Sat Nov 07 12:00:00 CET 2015, Event: ,Ka Pliskova v Svitolina, Favorite: ,Karolina Pliskova, 6199453   size:2216.81,Price: ,1.67,Elina Svitolina, 6324464   size:400.68,Price: ,2.46,ok
1.121538817, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Accrington S v York City, Favorite: ,Accrington S, 498119   size:42.03,Price: ,1.77,York City, 256226   size:4.79,Price: ,5.2,The Draw, 58805   size:36.08,Price: ,3.85,ok
1.121618472, Sport: ,Rugby League, Time: ,Sat Nov 07 18:00:00 CET 2015, Time: ,Sat Nov 07 18:00:00 CET 2015, Event: ,Ireland v Wales, Favorite: ,Ireland, 10538   size:353.07,Price: ,1.01,Wales, 10531   size:353.07,Price: ,1.01,Draw, 11126   size:353.07,Price: ,1.01,x
1.121538920, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Mansfield v Oldham, Favorite: ,Mansfield, 69716   size:6.41,Price: ,2.56,Oldham, 69819   size:158.5,Price: ,2.98,The Draw, 58805   size:19.12,Price: ,3.4,x
1.121484126, Sport: ,Soccer, Time: ,Sat Nov 07 13:45:00 CET 2015, Time: ,Sat Nov 07 13:45:00 CET 2015, Event: ,Bournemouth v Newcastle, Favorite: ,Bournemouth, 1141   size:943.91,Price: ,2.38,Newcastle, 25422   size:28.12,Price: ,3.25,The Draw, 58805   size:8492.2,Price: ,3.65,x
