1.119815592, Sport: ,Tennis, Time: ,Tue Aug 04 13:30:00 CEST 2015, Time: ,Tue Aug 04 13:30:00 CEST 2015, Event: ,Millot v Molchanov, Favorite: ,Vincent Millot, 4275820   size:6.76,Price: ,1.32,Denys Molchanov, 3474265   size:61.96,Price: ,3.3,x
1.119826769, Sport: ,Soccer, Time: ,Tue Aug 04 13:00:00 CEST 2015, Time: ,Tue Aug 04 13:00:00 CEST 2015, Event: ,Shanghai East Asia v Atletico Madrid, Favorite: ,Atletico Madrid, 41433   size:3.22,Price: ,1.51,The Draw, 58805   size:88.33,Price: ,4.3,Shanghai East Asia, 6988032   size:33.76,Price: ,7.6,ok
1.119827459, Sport: ,Soccer, Time: ,Tue Aug 04 11:00:00 CEST 2015, Time: ,Tue Aug 04 11:00:00 CEST 2015, Event: ,FK Mlada Boleslav U19 v Bohemians 1905 U19, Favorite: ,FK Mlada Boleslav U19, 6531940   size:9.54,Price: ,1.5,The Draw, 58805   size:73.81,Price: ,5.0,ok
1.119827290, Sport: ,Soccer, Time: ,Tue Aug 04 13:30:00 CEST 2015, Time: ,Tue Aug 04 13:30:00 CEST 2015, Event: ,AC Sparta Praha U19 v FC Zlin U19, Favorite: ,AC Sparta Praha U19, 6533101   size:2.69,Price: ,1.16,FC Zlin U19, 6584762   size:2.69,Price: ,4.3,The Draw, 58805   size:2.66,Price: ,4.7,ok
1.119814669, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,Bourgue v Krstin, Favorite: ,Pedja Krstin, 8257862   size:61.75,Price: ,1.85,Mathias Bourgue, 7066925   size:3.0,Price: ,2.0,x
1.119837664, Sport: ,Tennis, Time: ,Tue Aug 04 13:00:00 CEST 2015, Time: ,Tue Aug 04 13:00:00 CEST 2015, Event: ,Arnaboldi v Velotti, Favorite: ,Andrea Arnaboldi, 7593283   size:74.36,Price: ,1.46,Agustin Velotti, 4873352   size:2.55,Price: ,2.86,ok
1.119837660, Sport: ,Tennis, Time: ,Tue Aug 04 16:00:00 CEST 2015, Time: ,Tue Aug 04 16:00:00 CEST 2015, Event: ,Bahamonde v Menezes, Favorite: ,Joao Menezes, 8859238   size:6.25,Price: ,1.73,Francisco Bahamonde, 8460149   size:2.55,Price: ,2.24,x
1.119837661, Sport: ,Tennis, Time: ,Tue Aug 04 13:00:00 CEST 2015, Time: ,Tue Aug 04 13:00:00 CEST 2015, Event: ,Ad Virgili v Ghem, Favorite: ,Andre Ghem, 5304700   size:7.42,Price: ,1.31,Adelchi Virgili, 8288060   size:124.05,Price: ,3.45,x
1.119825273, Sport: ,Tennis, Time: ,Tue Aug 04 12:00:00 CEST 2015, Time: ,Tue Aug 04 12:00:00 CEST 2015, Event: ,Celik v Minnen, Favorite: ,Susanne Celik, 7429380   size:4.02,Price: ,1.59,Greet Minnen, 10108736   size:5.26,Price: ,2.36,x
1.119832932, Sport: ,Volleyball, Time: ,Tue Aug 04 16:30:00 CEST 2015, Time: ,Tue Aug 04 16:30:00 CEST 2015, Event: ,Iran v South Korea, Favorite: ,Iran, 2175257   size:13.0,Price: ,1.24,South Korea, 1538770   size:6.36,Price: ,4.5,x
1.119815630, Sport: ,Tennis, Time: ,Tue Aug 04 12:15:00 CEST 2015, Time: ,Tue Aug 04 12:15:00 CEST 2015, Event: ,F Silva v Du Brown, Favorite: ,Dustin Brown, 4486603   size:714.04,Price: ,1.21,Frederico Ferreira Silv, 9437339   size:10.94,Price: ,5.2,ok
1.119825270, Sport: ,Tennis, Time: ,Tue Aug 04 12:30:00 CEST 2015, Time: ,Tue Aug 04 12:30:00 CEST 2015, Event: ,Pous-Tio v Ferro, Favorite: ,Laura Pous-Tio, 8443238   size:3.57,Price: ,1.79,Fiona Ferro, 8535268   size:3.17,Price: ,2.02,x
1.119834435, Sport: ,Volleyball, Time: ,Tue Aug 04 16:30:00 CEST 2015, Time: ,Tue Aug 04 16:30:00 CEST 2015, Event: ,India v Bahrain, Favorite: ,Bahrain, 7712707   size:5.15,Price: ,1.92,India, 4157193   size:15.38,Price: ,1.97,ok
1.119813455, Sport: ,Tennis, Time: ,Tue Aug 04 16:45:00 CEST 2015, Time: ,Tue Aug 04 16:45:00 CEST 2015, Event: ,Inglot/Lindstedt v Almagro/Berlocq, Favorite: ,Inglot/Lindstedt, 10075651   size:2.4,Price: ,1.52,Almagro/Berlocq, 10105799   size:2.03,Price: ,2.46,x
1.119827628, Sport: ,Soccer, Time: ,Tue Aug 04 12:00:00 CEST 2015, Time: ,Tue Aug 04 12:00:00 CEST 2015, Event: ,Aryan Club v BN Railways, Favorite: ,BN Railways, 7553048   size:5.0,Price: ,1.47,Aryan Club, 7551123   size:5.0,Price: ,2.2,The Draw, 58805   size:10.0,Price: ,3.15,x
1.119814708, Sport: ,Tennis, Time: ,Tue Aug 04 15:45:00 CEST 2015, Time: ,Tue Aug 04 15:45:00 CEST 2015, Event: ,Albot v Checa-Calvo, Favorite: ,Radu Albot, 6603898   size:7.55,Price: ,1.2,Jose Checa-Calvo, 8428330   size:37.63,Price: ,4.9,ok
1.119814709, Sport: ,Tennis, Time: ,Tue Aug 04 12:15:00 CEST 2015, Time: ,Tue Aug 04 12:15:00 CEST 2015, Event: ,Gigounon v Pavlasek, Favorite: ,Adam Pavlasek, 8494652   size:2.24,Price: ,1.39,Germain Gigounon, 8174343   size:5.93,Price: ,3.45,ok
1.119827741, Sport: ,Soccer, Time: ,Tue Aug 04 11:30:00 CEST 2015, Time: ,Tue Aug 04 11:30:00 CEST 2015, Event: ,Indian National FC v Delhi FC, Favorite: ,Delhi FC, 10096778   size:71.26,Price: ,1.1,The Draw, 58805   size:10.0,Price: ,3.2,x
1.119803710, Sport: ,Tennis, Time: ,Tue Aug 04 15:00:00 CEST 2015, Time: ,Tue Aug 04 15:00:00 CEST 2015, Event: ,Youzhny v Lajovic, Favorite: ,Dusan Lajovic, 4688724   size:142.33,Price: ,1.36,Mikhail Youzhny, 2263536   size:66.2,Price: ,3.55,ok
1.119833450, Sport: ,Volleyball, Time: ,Tue Aug 04 12:30:00 CEST 2015, Time: ,Tue Aug 04 12:30:00 CEST 2015, Event: ,Kazakhstan v Pakistan, Favorite: ,Kazakhstan, 2158338   size:4.74,Price: ,1.35,Pakistan, 6438762   size:6.56,Price: ,3.5,ok
1.119814670, Sport: ,Tennis, Time: ,Tue Aug 04 14:00:00 CEST 2015, Time: ,Tue Aug 04 14:00:00 CEST 2015, Event: ,Kamke v Nedovyesov, Favorite: ,Aleksandr Nedovyesov, 8188266   size:4.04,Price: ,1.47,Tobias Kamke, 2581407   size:4.05,Price: ,2.74,x
1.119813461, Sport: ,Tennis, Time: ,Tue Aug 04 15:00:00 CEST 2015, Time: ,Tue Aug 04 15:00:00 CEST 2015, Event: ,Daniell/Demoliner v Gimeno-Trav/Schwartzman, Favorite: ,Daniell/Demoliner, 9398763   size:2.55,Price: ,1.74,Gimeno-Trav/Schwartzman, 10105800   size:5.68,Price: ,2.04,x
1.119814672, Sport: ,Tennis, Time: ,Tue Aug 04 15:45:00 CEST 2015, Time: ,Tue Aug 04 15:45:00 CEST 2015, Event: ,Fucsovics v And Martin, Favorite: ,Andrej Martin, 5071877   size:6.35,Price: ,1.56,Marton Fucsovics, 4827766   size:7.72,Price: ,2.44,ok
1.119813465, Sport: ,Tennis, Time: ,Tue Aug 04 13:15:00 CEST 2015, Time: ,Tue Aug 04 13:15:00 CEST 2015, Event: ,Fyrstenberg/Gonzalez v Fognini/Giraudo, Favorite: ,Fyrstenberg/Gonzalez, 9128657   size:4.07,Price: ,1.23,Fognini/Giraudo, 10105803   size:7.21,Price: ,3.85,ok
1.119833733, Sport: ,Volleyball, Time: ,Tue Aug 04 14:30:00 CEST 2015, Time: ,Tue Aug 04 14:30:00 CEST 2015, Event: ,Turkmenistan v Sri Lanka, Favorite: ,Turkmenistan, 10091143   size:447.99,Price: ,1.52,Sri Lanka, 4157190   size:3.62,Price: ,2.68,x
