1.121369726, Sport: ,Soccer, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Amorebieta v Sestao River, Favorite: ,Amorebieta, 5756673   size:54.38,Price: ,2.36,Sestao River, 7602486   size:11.11,Price: ,3.5,The Draw, 58805   size:70.53,Price: ,3.15,ok
1.121369728, Sport: ,Soccer, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Leioa v SD Gernika Club, Favorite: ,Leioa, 8792389   size:12.95,Price: ,2.5,SD Gernika Club, 7654057   size:2.55,Price: ,3.05,The Draw, 58805   size:2.55,Price: ,3.25,x
1.121426688, Sport: ,Soccer, Time: ,Sat Oct 24 19:00:00 CEST 2015, Time: ,Sat Oct 24 19:00:00 CEST 2015, Event: ,Orleans v STO Romorantinais, Favorite: ,Orleans, 2225922   size:3.62,Price: ,1.07,STO Romorantinais, 10449812   size:4.53,Price: ,5.0,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121255115, Sport: ,Soccer, Time: ,Sat Oct 24 14:30:00 CEST 2015, Time: ,Sat Oct 24 14:30:00 CEST 2015, Event: ,Yeni Malatyaspor v Denizlispor, Favorite: ,Yeni Malatyaspor, 5306085   size:13.38,Price: ,2.12,Denizlispor, 113123   size:4.02,Price: ,3.85,The Draw, 58805   size:73.57,Price: ,3.4,x
1.121255113, Sport: ,Soccer, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,Dalkurd FF v Motala, Favorite: ,Dalkurd FF, 4638398   size:10.88,Price: ,1.1,Motala, 502310   size:10.88,Price: ,1.1,The Draw, 58805   size:4.16,Price: ,2.88,ok
1.121255119, Sport: ,Soccer, Time: ,Sat Oct 24 14:30:00 CEST 2015, Time: ,Sat Oct 24 14:30:00 CEST 2015, Event: ,Altinordu v Goztepe, Favorite: ,Goztepe, 113239   size:5.37,Price: ,2.36,Altinordu, 5290988   size:23.77,Price: ,3.25,The Draw, 58805   size:6.53,Price: ,3.45,x
1.121322314, Sport: ,Soccer, Time: ,Sat Oct 24 13:00:00 CEST 2015, Time: ,Sat Oct 24 13:00:00 CEST 2015, Event: ,Traeff v Ham-Kam, Favorite: ,Ham-Kam, 163203   size:75.51,Price: ,1.92,Traeff, 5521795   size:37.68,Price: ,2.94,The Draw, 58805   size:9.98,Price: ,4.2,ok
1.121363348, Sport: ,Ice Hockey, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Karpat v Lukko, Favorite: ,Karpat, 66430   size:5.92,Price: ,2.14,Lukko, 66603   size:39.51,Price: ,3.2,Tie, 60104   size:24.56,Price: ,3.85,ok
1.121432770, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,KS Ruch Chorzow U19 v KS Gornik Zabrze U19, Favorite: ,KS Ruch Chorzow U19, 7619069   size:2.55,Price: ,1.52,KS Gornik Zabrze U19, 9366783   size:10.88,Price: ,2.0,The Draw, 58805   size:10.88,Price: ,3.0,ok
1.121432495, Sport: ,Soccer, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Polonia Bytom v Okocimski Brzesko, Favorite: ,Polonia Bytom, 2486928   size:18.0,Price: ,1.11,Okocimski Brzesko, 4193202   size:18.0,Price: ,1.11,The Draw, 58805   size:13.93,Price: ,2.9,x
1.121433100, Sport: ,Soccer, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Al Hussein v Al Wehdat, Favorite: ,Al Wehdat, 5553914   size:3.36,Price: ,1.28,Al Hussein, 5360907   size:3.94,Price: ,5.6,The Draw, 58805   size:40.01,Price: ,4.2,x
1.121433982, Sport: ,Soccer, Time: ,Sat Oct 24 13:30:00 CEST 2015, Time: ,Sat Oct 24 13:30:00 CEST 2015, Event: ,Banska Bystrica v SK Slovan Bratislava II, Favorite: ,Banska Bystrica, 501166   size:10.69,Price: ,1.6,SK Slovan Bratislava II, 8746424   size:9.41,Price: ,3.0,The Draw, 58805   size:17.25,Price: ,3.4,x
1.121267307, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Trencin v Zlate Moravce, Favorite: ,Trencin, 501167   size:45.19,Price: ,1.21,Zlate Moravce, 2397382   size:35.31,Price: ,12.0,The Draw, 58805   size:5.92,Price: ,5.9,ok
1.121261960, Sport: ,Soccer, Time: ,Sat Oct 24 15:30:00 CEST 2015, Time: ,Sat Oct 24 15:30:00 CEST 2015, Event: ,Bayern Munich v FC Koln, Favorite: ,Bayern Munich, 5774350   size:1101.99,Price: ,1.13,FC Koln, 44783   size:133.45,Price: ,30.0,The Draw, 58805   size:118.12,Price: ,11.5,ok
1.121432935, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,Wisla Krakow U19 v Hutnik Nowa Huta U19, Favorite: ,Wisla Krakow U19, 7579700   size:2.55,Price: ,1.14,Hutnik Nowa Huta U19, 10133766   size:10.88,Price: ,3.8,The Draw, 58805   size:10.88,Price: ,3.6,ok
1.121267828, Sport: ,Soccer, Time: ,Sat Oct 24 17:45:00 CEST 2015, Time: ,Sat Oct 24 17:45:00 CEST 2015, Event: ,Luzern v FC Vaduz, Favorite: ,Luzern, 65784   size:28.02,Price: ,1.51,FC Vaduz, 46945   size:6.05,Price: ,7.6,The Draw, 58805   size:35.31,Price: ,4.7,x
1.121426799, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,CABB Arreridj v Chlef, Favorite: ,CABB Arreridj, 7598562   size:3.62,Price: ,1.07,Chlef, 6507717   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121363339, Sport: ,Ice Hockey, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,KooKoo v Ilves, Favorite: ,Ilves, 66426   size:133.44,Price: ,2.36,KooKoo, 272751   size:5.89,Price: ,2.8,Tie, 60104   size:5.89,Price: ,3.7,x
1.121439578, Sport: ,Basketball, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Levice v Karlovka Bratislava, Favorite: ,Karlovka Bratislava, 8865002   size:2.82,Price: ,1.09,Levice, 6719593   size:32.1,Price: ,1.17,x
1.121439577, Sport: ,Basketball, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Komarno v Slavia TU Kosice, Favorite: ,Slavia TU Kosice, 10370781   size:2.82,Price: ,1.09,Komarno, 6719595   size:2.55,Price: ,1.51,x
1.121432660, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,AP LKS Lodz U19 v UKS SMS Lodz U19, Favorite: ,UKS SMS Lodz U19, 7204857   size:29.63,Price: ,1.27,AP LKS Lodz U19, 7196125   size:10.88,Price: ,2.3,The Draw, 58805   size:10.88,Price: ,3.0,ok
1.121432385, Sport: ,Soccer, Time: ,Sat Oct 24 17:15:00 CEST 2015, Time: ,Sat Oct 24 17:15:00 CEST 2015, Event: ,Valletta v Qormi FC, Favorite: ,Valletta, 166888   size:3.62,Price: ,1.07,Qormi FC, 6702687   size:18.0,Price: ,1.08,The Draw, 58805   size:18.0,Price: ,2.9,ok
