1.122241323, Sport: ,Soccer, Time: ,Sat Dec 12 18:30:00 CET 2015, Time: ,Sat Dec 12 18:30:00 CET 2015, Event: ,FC Vilafranca v UE Sant Andreu, Favorite: ,FC Vilafranca, 9339209   size:4.36,Price: ,1.03,UE Sant Andreu, 10381924   size:4.36,Price: ,1.03,The Draw, 58805   size:4.36,Price: ,1.03,ok
1.122267837, Sport: ,Soccer, Time: ,Sun Dec 13 11:00:00 CET 2015, Time: ,Sun Dec 13 11:00:00 CET 2015, Event: ,Stade Lavallois U19 v Bordeaux U19, Favorite: ,Stade Lavallois U19, 10623045   size:21.1,Price: ,1.03,Bordeaux U19, 7309225   size:21.1,Price: ,1.03,The Draw, 58805   size:2.76,Price: ,1.25,ok
1.122242659, Sport: ,Soccer, Time: ,Sat Dec 12 21:30:00 CET 2015, Time: ,Sat Dec 12 21:30:00 CET 2015, Event: ,Avai U20 v Vasco de Gama U20, Favorite: ,Avai U20, 5181429   size:2.94,Price: ,2.18,Vasco de Gama U20, 5185919   size:62.79,Price: ,2.62,The Draw, 58805   size:3.69,Price: ,3.35,ok
1.122266507, Sport: ,Soccer, Time: ,Sun Dec 13 11:00:00 CET 2015, Time: ,Sun Dec 13 11:00:00 CET 2015, Event: ,Schalke U19 v TSG Sprockhovel U19, Favorite: ,Schalke U19, 6267904   size:10.92,Price: ,1.05,TSG Sprockhovel U19, 10186558   size:22.75,Price: ,17.5,The Draw, 58805   size:46.41,Price: ,8.6,ok
1.122216031, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Reus Deportiu v Eldense, Favorite: ,Reus Deportiu, 4136691   size:8.3,Price: ,1.6,Eldense, 2250350   size:95.47,Price: ,6.2,The Draw, 58805   size:2.55,Price: ,3.85,ok
1.122216035, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Villarreal B v Cornella, Favorite: ,Villarreal B, 2522842   size:7.64,Price: ,1.62,Cornella, 8792394   size:98.89,Price: ,6.0,The Draw, 58805   size:2.55,Price: ,3.85,ok
1.122215187, Sport: ,Basketball, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Cibona v Zadar, Favorite: ,Cibona, 767514   size:53.95,Price: ,1.7,Zadar, 680759   size:11.14,Price: ,2.16,ok
1.122216033, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Sabadell v Atletico Baleares, Favorite: ,Sabadell, 565026   size:2.55,Price: ,2.5,Atletico Baleares, 3303611   size:5.31,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.15,ok
1.122216039, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Cadiz v FC Jumilla, Favorite: ,Cadiz, 516259   size:6.92,Price: ,1.39,FC Jumilla, 8216058   size:3.04,Price: ,8.2,The Draw, 58805   size:7.1,Price: ,4.7,ok
1.122265402, Sport: ,Soccer, Time: ,Sun Dec 13 11:00:00 CET 2015, Time: ,Sun Dec 13 11:00:00 CET 2015, Event: ,Kallithea FC U19 v Panaigialios U19, Favorite: ,Kallithea FC U19, 10498207   size:21.1,Price: ,1.03,Panaigialios U19, 10498233   size:21.1,Price: ,1.03,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122216037, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Betis B v Marbella, Favorite: ,Betis B, 2522844   size:2.55,Price: ,2.46,Marbella, 2250362   size:2.55,Price: ,3.3,The Draw, 58805   size:3.38,Price: ,3.1,x
1.122242549, Sport: ,Soccer, Time: ,Sun Dec 13 00:00:00 CET 2015, Time: ,Sun Dec 13 00:00:00 CET 2015, Event: ,Atletico Mineiro U20 v Palmeiras U20, Favorite: ,Atletico Mineiro U20, 5181675   size:4.04,Price: ,2.08,Palmeiras U20, 5181619   size:2.76,Price: ,3.4,The Draw, 58805   size:5.31,Price: ,3.5,x
