1.121937702, Sport: ,Basketball, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Mitteldeutscher v Crailsheim, Favorite: ,Mitteldeutscher, 4228382   size:35.65,Price: ,1.42,Crailsheim, 8782588   size:145.0,Price: ,2.72,ok
1.121967658, Sport: ,Tennis, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Lao v Brady, Favorite: ,Jennifer Brady, 8784966   size:348.02,Price: ,1.41,Danielle Lao, 8826936   size:28.52,Price: ,3.1,ok
1.121861466, Sport: ,Basketball, Time: ,Tue Nov 24 02:00:00 CET 2015, Time: ,Tue Nov 24 02:00:00 CET 2015, Event: ,Savannah State @ Baylor, Favorite: ,Savannah State, 3530624   size:2.85,Price: ,1.03,Baylor, 705559   size:2.85,Price: ,1.03,x
1.121952242, Sport: ,Tennis, Time: ,Tue Nov 24 07:00:00 CET 2015, Time: ,Tue Nov 24 07:00:00 CET 2015, Event: ,Jasika v T Ito, Favorite: ,Tatsuma Ito, 3374118   size:5.0,Price: ,1.24,Omar Jasika, 7335917   size:39.63,Price: ,4.6,ok
1.121951391, Sport: ,Basketball, Time: ,Tue Nov 24 01:05:00 CET 2015, Time: ,Tue Nov 24 01:05:00 CET 2015, Event: ,Orlando @ Cleveland, Favorite: ,Cleveland, 13112   size:725.95,Price: ,1.24,Orlando, 13104   size:304.87,Price: ,5.0,ok
1.121958101, Sport: ,Soccer, Time: ,Mon Nov 23 22:10:00 CET 2015, Time: ,Mon Nov 23 22:10:00 CET 2015, Event: ,Paraguay U20 (W) v Brazil U20 (W), Favorite: ,Brazil U20 (W), 4835194   size:10.0,Price: ,1.12,Paraguay U20 (W), 6138347   size:16.81,Price: ,16.0,The Draw, 58805   size:3.56,Price: ,6.6,x
1.121864498, Sport: ,Soccer, Time: ,Tue Nov 24 01:30:00 CET 2015, Time: ,Tue Nov 24 01:30:00 CET 2015, Event: ,Lanus v Newells, Favorite: ,Lanus, 194513   size:37.49,Price: ,2.3,Newells, 194506   size:17.54,Price: ,3.85,The Draw, 58805   size:477.1,Price: ,3.1,ok
1.121861461, Sport: ,Basketball, Time: ,Tue Nov 24 02:00:00 CET 2015, Time: ,Tue Nov 24 02:00:00 CET 2015, Event: ,Chattanooga @ Iowa State, Favorite: ,Iowa State, 708779   size:1130.42,Price: ,1.06,Chattanooga, 1095877   size:2.0,Price: ,11.0,ok
1.121816378, Sport: ,Soccer, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Cagliari v Ascoli, Favorite: ,Cagliari, 60297   size:6612.07,Price: ,1.32,Ascoli, 201261   size:123.15,Price: ,13.0,The Draw, 58805   size:142.34,Price: ,5.9,ok
1.121817789, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Jong PSV v Jong Ajax, Favorite: ,Jong PSV, 3348592   size:12.76,Price: ,1.54,Jong Ajax, 4184832   size:62.78,Price: ,6.4,The Draw, 58805   size:281.12,Price: ,4.8,x
1.121951431, Sport: ,Basketball, Time: ,Tue Nov 24 02:35:00 CET 2015, Time: ,Tue Nov 24 02:35:00 CET 2015, Event: ,Phoenix @ San Antonio, Favorite: ,San Antonio, 13121   size:3866.73,Price: ,1.23,Phoenix, 13128   size:10.87,Price: ,4.9,ok
1.121819165, Sport: ,Soccer, Time: ,Mon Nov 23 19:55:00 CET 2015, Time: ,Mon Nov 23 19:55:00 CET 2015, Event: ,Hapoel Tel Aviv v Maccabi Haifa, Favorite: ,Maccabi Haifa, 189818   size:2.85,Price: ,2.5,Hapoel Tel Aviv, 121248   size:2.85,Price: ,3.35,The Draw, 58805   size:47.56,Price: ,3.15,ok
1.121856430, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Norwich U21 v Man Utd U21, Favorite: ,Norwich U21, 6667764   size:17.26,Price: ,2.64,Man Utd U21, 6615321   size:35.74,Price: ,2.76,The Draw, 58805   size:34.14,Price: ,3.55,ok
1.121967610, Sport: ,Tennis, Time: ,Mon Nov 23 21:30:00 CET 2015, Time: ,Mon Nov 23 21:30:00 CET 2015, Event: ,K Stewart v P Goncalves, Favorite: ,Katerina Stewart, 7584251   size:73.62,Price: ,1.58,Paula Cristina Goncalve, 10359711   size:5.0,Price: ,2.62,ok
1.121743956, Sport: ,American Football, Time: ,Tue Nov 24 02:30:00 CET 2015, Time: ,Tue Nov 24 02:30:00 CET 2015, Event: ,Buffalo @ New England, Favorite: ,New England Patriots, 50204   size:656.45,Price: ,1.3,Buffalo Bills, 50203   size:620.48,Price: ,4.2,ok
1.121819169, Sport: ,Soccer, Time: ,Mon Nov 23 20:45:00 CET 2015, Time: ,Mon Nov 23 20:45:00 CET 2015, Event: ,Wealdstone v Whitehawk, Favorite: ,Whitehawk, 4597875   size:53.53,Price: ,2.18,Wealdstone, 2608900   size:28.26,Price: ,3.45,The Draw, 58805   size:130.14,Price: ,3.75,x
1.121818352, Sport: ,Soccer, Time: ,Mon Nov 23 19:30:00 CET 2015, Time: ,Mon Nov 23 19:30:00 CET 2015, Event: ,Sint Truidense (Youth) v Genk (Y), Favorite: ,Sint Truidense (Youth), 10158287   size:16.97,Price: ,1.5,Genk (Y), 7159134   size:84.18,Price: ,3.5,The Draw, 58805   size:2.0,Price: ,3.4,ok
1.121967574, Sport: ,Tennis, Time: ,Mon Nov 23 23:00:00 CET 2015, Time: ,Mon Nov 23 23:00:00 CET 2015, Event: ,S Crawford v Min, Favorite: ,Samantha Crawford, 6603928   size:5.34,Price: ,1.92,Grace Min, 6280340   size:25.18,Price: ,2.04,ok
1.121928291, Sport: ,Ice Hockey, Time: ,Tue Nov 24 01:05:00 CET 2015, Time: ,Tue Nov 24 01:05:00 CET 2015, Event: ,Nashville @ NY Rangers, Favorite: ,NY Rangers, 60103   size:107.43,Price: ,2.36,Nashville, 2109832   size:512.0,Price: ,2.8,Tie, 60104   size:92.17,Price: ,3.95,ok
1.121928313, Sport: ,Ice Hockey, Time: ,Tue Nov 24 01:35:00 CET 2015, Time: ,Tue Nov 24 01:35:00 CET 2015, Event: ,Boston @ Toronto, Favorite: ,Boston, 2112316   size:133.76,Price: ,2.3,Toronto, 2108073   size:111.0,Price: ,2.96,Tie, 60104   size:276.0,Price: ,3.95,x
1.121723636, Sport: ,Soccer, Time: ,Mon Nov 23 21:00:00 CET 2015, Time: ,Mon Nov 23 21:00:00 CET 2015, Event: ,Crystal Palace v Sunderland, Favorite: ,Crystal Palace, 62523   size:20083.37,Price: ,1.6,Sunderland, 62783   size:6621.32,Price: ,6.6,The Draw, 58805   size:13312.42,Price: ,4.3,x
1.121937688, Sport: ,Basketball, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Brose Baskets v Phoenix Hagen, Favorite: ,Brose Baskets, 2158509   size:4316.1,Price: ,1.01,Phoenix Hagen, 4228376   size:3.77,Price: ,1.5,ok
1.121960635, Sport: ,Tennis, Time: ,Tue Nov 24 06:30:00 CET 2015, Time: ,Tue Nov 24 06:30:00 CET 2015, Event: ,K Watanuki v Sekiguchi, Favorite: ,Shuichi Sekiguchi, 7689554   size:2.55,Price: ,1.39,Keisuke Watanuki, 8347761   size:58.24,Price: ,3.45,ok
1.121952210, Sport: ,Tennis, Time: ,Tue Nov 24 08:15:00 CET 2015, Time: ,Tue Nov 24 08:15:00 CET 2015, Event: ,Ebden v G Jones, Favorite: ,Matthew Ebden, 4423910   size:2156.77,Price: ,1.03,Greg Jones, 2753884   size:8.12,Price: ,11.0,x
1.121861441, Sport: ,Basketball, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,St John's v Vanderbilt, Favorite: ,Vanderbilt, 701625   size:7.33,Price: ,1.07,St John's, 4548275   size:15.02,Price: ,10.5,ok
