1.120193825, Sport: ,Soccer, Time: ,Sat Aug 29 20:30:00 CEST 2015, Time: ,Sat Aug 29 20:30:00 CEST 2015, Event: ,Xanthi v AEK, Favorite: ,AEK, 214309   size:5.0,Price: ,2.32,The Draw, 58805   size:37.44,Price: ,3.2,Xanthi, 728086   size:349.11,Price: ,3.65,
1.120331008, Sport: ,Tennis, Time: ,Sat Aug 29 15:07:00 CEST 2015, Time: ,Sat Aug 29 15:07:00 CEST 2015, Event: ,M Delic v Luc Gomez, Favorite: ,Mate Delic, 5704646   size:31.0,Price: ,1.33,Lucas Gomez, 8414280   size:5.68,Price: ,4.0,
1.120143388, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Sollentuna FF v Enskede, Favorite: ,Sollentuna FF, 8438639   size:13.87,Price: ,2.02,Enskede, 788771   size:12.72,Price: ,2.46,The Draw, 58805   size:3.75,Price: ,3.4,
1.120143390, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Eskilstuna City v Varmdo IF, Favorite: ,Eskilstuna City, 6163989   size:2.0,Price: ,1.8,Varmdo IF, 4638397   size:3.34,Price: ,2.94,The Draw, 58805   size:4.23,Price: ,3.3,
1.120152910, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Leyton Orient v Bristol Rovers, Favorite: ,Leyton Orient, 69717   size:591.79,Price: ,2.14,The Draw, 58805   size:164.07,Price: ,3.5,Bristol Rovers, 69821   size:3.11,Price: ,3.9,
1.120146452, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Albion v Brechin, Favorite: ,Albion, 729807   size:40.88,Price: ,2.1,Brechin, 238429   size:22.29,Price: ,3.5,The Draw, 58805   size:7.64,Price: ,3.7,
1.120152321, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hartlepool v Carlisle, Favorite: ,Hartlepool, 48303   size:61.0,Price: ,2.6,Carlisle, 18561   size:125.0,Price: ,3.0,The Draw, 58805   size:87.29,Price: ,3.4,
1.120193628, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hoverla v Stal Dniprod, Favorite: ,Hoverla, 7397538   size:34.07,Price: ,2.7,Stal Dniprod, 4994305   size:23.58,Price: ,2.84,The Draw, 58805   size:21.0,Price: ,3.25,
1.120146522, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Ayr v Forfar, Favorite: ,Ayr, 48005   size:27.07,Price: ,2.34,Forfar, 729805   size:46.44,Price: ,3.05,The Draw, 58805   size:17.89,Price: ,3.6,
1.120146662, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Dunfermline v Stranraer, Favorite: ,Dunfermline, 48812   size:28.92,Price: ,1.39,The Draw, 58805   size:7.65,Price: ,5.5,Stranraer, 122903   size:4.0,Price: ,9.6,
