1.119422735, Sport: ,Tennis, Time: ,Thu Jul 09 05:00:00 CEST 2015, Time: ,Thu Jul 09 05:00:00 CEST 2015, Event: ,Kato v Namigata, Favorite: ,Junri Namigata, 2415540   size:227.56,Price: ,1.61,Miyu Kato, 8839047   size:2.17,Price: ,2.28,x
1.119333220, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,Rubio Nu v Sol de America (Par), Favorite: ,Rubio Nu, 5363620   size:2.25,Price: ,2.72,Sol de America (Par), 9329179   size:16.93,Price: ,2.78,The Draw, 58805   size:20.42,Price: ,3.4,x
1.119337545, Sport: ,Soccer, Time: ,Thu Jul 09 00:30:00 CEST 2015, Time: ,Thu Jul 09 00:30:00 CEST 2015, Event: ,Chapecoense v Gremio, Favorite: ,Chapecoense, 2909511   size:56.67,Price: ,2.84,Gremio, 198134   size:103.17,Price: ,2.96,The Draw, 58805   size:488.16,Price: ,3.15,ok
1.119358526, Sport: ,Soccer, Time: ,Thu Jul 09 02:30:00 CEST 2015, Time: ,Thu Jul 09 02:30:00 CEST 2015, Event: ,Central Cordoba v Atl Tucuman, Favorite: ,Atl Tucuman, 5181445   size:11.17,Price: ,2.78,Central Cordoba, 5628510   size:2.81,Price: ,3.0,The Draw, 58805   size:14.5,Price: ,3.1,x
1.119406095, Sport: ,Soccer, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Vatnaliljur v Midas, Favorite: ,Midas, 7302411   size:2.43,Price: ,2.04,Vatnaliljur, 7301488   size:2.03,Price: ,2.44,The Draw, 58805   size:9.77,Price: ,3.05,x
1.119341922, Sport: ,Basketball, Time: ,Wed Jul 08 23:00:00 CEST 2015, Time: ,Wed Jul 08 23:00:00 CEST 2015, Event: ,LA Clippers v Miami, Favorite: ,Miami, 13109   size:2.77,Price: ,1.02,ok
1.119329848, Sport: ,Soccer, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Comunicaciones B Aires v CA Atlanta, Favorite: ,CA Atlanta, 5860879   size:10.85,Price: ,2.36,The Draw, 58805   size:13.03,Price: ,3.05,Comunicaciones B Aires, 7852197   size:4.15,Price: ,3.6,ok
1.119407229, Sport: ,Soccer, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Goias EC U20 v Ceara Fortaleza U20, Favorite: ,Goias EC U20, 5185908   size:12.27,Price: ,1.75,The Draw, 58805   size:2.78,Price: ,3.8,Ceara Fortaleza U20, 5181572   size:6.87,Price: ,3.95,x
1.119367002, Sport: ,Baseball, Time: ,Wed Jul 08 21:45:00 CEST 2015, Time: ,Wed Jul 08 21:45:00 CEST 2015, Event: ,NYM @ SF, Favorite: ,NY Mets (J deGrom), 8530475   size:109.23,Price: ,1.9,San Francisco (J Peavy), 8735367   size:50.31,Price: ,2.08,ok
1.119366994, Sport: ,Baseball, Time: ,Wed Jul 08 21:40:00 CEST 2015, Time: ,Wed Jul 08 21:40:00 CEST 2015, Event: ,DET @ SEA, Favorite: ,Seattle (J Happ), 9520039   size:266.61,Price: ,1.92,Detroit (A Sanchez), 6546455   size:339.24,Price: ,2.04,x
