1.119488104, Sport: ,Boxing, Time: ,Sun Jul 26 03:00:00 CEST 2015, Time: ,Sun Jul 26 03:00:00 CEST 2015, Event: ,Kovalev v Mohammedi, Favorite: ,Sergey Kovalev, 7448799   size:12565.14,Price: ,1.01,Nadjib Mohammedi, 5174642   size:99.71,Price: ,70.0,Draw, 31162   size:91.07,Price: ,150.0,ok
1.119657491, Sport: ,Soccer, Time: ,Sat Jul 25 21:00:00 CEST 2015, Time: ,Sat Jul 25 21:00:00 CEST 2015, Event: ,Independente SP v Rio Branco SP, Favorite: ,Rio Branco SP, 6987861   size:10.92,Price: ,1.08,The Draw, 58805   size:3.64,Price: ,1.29,x
1.119694521, Sport: ,Soccer, Time: ,Sat Jul 25 21:00:00 CEST 2015, Time: ,Sat Jul 25 21:00:00 CEST 2015, Event: ,Magallanes v Everton De Vina, Favorite: ,Everton De Vina, 3677851   size:15.77,Price: ,1.89,Magallanes, 5678438   size:9.3,Price: ,2.7,The Draw, 58805   size:25.26,Price: ,2.78,x
1.119560342, Sport: ,Soccer, Time: ,Sun Jul 26 02:30:00 CEST 2015, Time: ,Sun Jul 26 02:30:00 CEST 2015, Event: ,San Antonio Scorpions v Minnesota Utd, Favorite: ,San Antonio Scorpions, 6334069   size:154.22,Price: ,2.3,Minnesota Utd, 7533070   size:3.67,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.45,x
1.119532392, Sport: ,Soccer, Time: ,Sat Jul 25 20:45:00 CEST 2015, Time: ,Sat Jul 25 20:45:00 CEST 2015, Event: ,Cobh Ramblers v Cabinteely, Favorite: ,Cobh Ramblers, 392220   size:14.93,Price: ,1.66,The Draw, 58805   size:344.07,Price: ,4.1,Cabinteely, 9277557   size:65.4,Price: ,6.4,ok
1.119531060, Sport: ,Soccer, Time: ,Sat Jul 25 21:30:00 CEST 2015, Time: ,Sat Jul 25 21:30:00 CEST 2015, Event: ,ES Setif v Al Merreikh, Favorite: ,ES Setif, 5201569   size:12.09,Price: ,1.84,The Draw, 58805   size:48.5,Price: ,3.25,Al Merreikh, 6666980   size:69.54,Price: ,5.7,x
1.119625103, Sport: ,Soccer, Time: ,Sat Jul 25 22:00:00 CEST 2015, Time: ,Sat Jul 25 22:00:00 CEST 2015, Event: ,Sportivo San Lorenzo v Cerro Porteno, Favorite: ,Cerro Porteno, 335852   size:20.57,Price: ,1.6,The Draw, 58805   size:9.52,Price: ,4.4,Sportivo San Lorenzo, 7598628   size:15.93,Price: ,6.0,x
1.119555673, Sport: ,Soccer, Time: ,Sun Jul 26 01:30:00 CEST 2015, Time: ,Sun Jul 26 01:30:00 CEST 2015, Event: ,Columbus v Toronto FC, Favorite: ,Columbus, 171903   size:183.16,Price: ,1.87,The Draw, 58805   size:60.8,Price: ,4.0,Toronto FC, 2362969   size:213.5,Price: ,4.4,x
1.119594269, Sport: ,Soccer, Time: ,Sun Jul 26 03:00:00 CEST 2015, Time: ,Sun Jul 26 03:00:00 CEST 2015, Event: ,Ind Medellin v Tolima, Favorite: ,Ind Medellin, 1067444   size:28.44,Price: ,1.85,The Draw, 58805   size:6.6,Price: ,3.7,Tolima, 2277370   size:9.17,Price: ,4.3,ok
1.119574336, Sport: ,Baseball, Time: ,Sun Jul 26 02:10:00 CEST 2015, Time: ,Sun Jul 26 02:10:00 CEST 2015, Event: ,MIL @ ARI, Favorite: ,Arizona (R De La Rosa), 9382117   size:107.31,Price: ,1.93,Milwaukee (T Jungmann), 9573008   size:286.82,Price: ,2.02,ok
1.119685417, Sport: ,Baseball, Time: ,Sat Jul 25 22:05:00 CEST 2015, Time: ,Sat Jul 25 22:05:00 CEST 2015, Event: ,DET @ BOS, Favorite: ,Boston (S Wright), 7555699   size:326.29,Price: ,1.82,Detroit (A Simon), 9389893   size:492.0,Price: ,2.14,x
