1.122423209, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Bishops Stortford v Whitehawk, Favorite: ,Whitehawk, 4597875   size:2.66,Price: ,2.14,Bishops Stortford, 1065031   size:3.47,Price: ,2.98,The Draw, 58805   size:3.45,Price: ,3.45,x
1.122447773, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Oriental v Oliveirense, Favorite: ,Oriental, 970435   size:8.25,Price: ,1.93,Oliveirense, 616886   size:104.2,Price: ,4.2,The Draw, 58805   size:2.75,Price: ,3.45,ok
1.122330377, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Norwich v Man City, Favorite: ,Man City, 47999   size:809.06,Price: ,1.77,Norwich, 47998   size:148.69,Price: ,5.1,The Draw, 58805   size:443.34,Price: ,4.1,ok
1.122516483, Sport: ,Soccer, Time: ,Sat Jan 09 17:30:00 CET 2016, Time: ,Sat Jan 09 17:30:00 CET 2016, Event: ,UCD Burlades v CD Oberena, Favorite: ,The Draw, 58805   size:55.11,Price: ,1.01,UCD Burlades, 8397777   size:27.55,Price: ,1.02,CD Oberena, 8397763   size:27.55,Price: ,1.02,x
1.122423201, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Gloucester v Stalybridge, Favorite: ,Gloucester, 2662209   size:2.87,Price: ,2.2,Stalybridge, 597720   size:3.17,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.122423685, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Linfield v Ballymena, Favorite: ,Ballymena, 539985   size:3.67,Price: ,1.18,Linfield, 44330   size:2.64,Price: ,1.37,The Draw, 58805   size:8.23,Price: ,5.1,x
1.122424774, Sport: ,Soccer, Time: ,Sat Jan 09 14:00:00 CET 2016, Time: ,Sat Jan 09 14:00:00 CET 2016, Event: ,L Aquila v Lupa Roma, Favorite: ,L Aquila, 769089   size:2.16,Price: ,1.7,Lupa Roma, 8802594   size:7.83,Price: ,4.5,The Draw, 58805   size:2.65,Price: ,3.65,ok
1.122516485, Sport: ,Soccer, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,UD Beniganim v Paterna CF, Favorite: ,UD Beniganim, 8811936   size:50.59,Price: ,2.32,Paterna CF, 7906132   size:40.73,Price: ,2.64,The Draw, 58805   size:34.45,Price: ,2.94,ok
1.122423203, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Hednesford v Harrogate Town, Favorite: ,Harrogate Town, 256198   size:8.76,Price: ,1.99,Hednesford, 728404   size:2.64,Price: ,4.1,The Draw, 58805   size:2.75,Price: ,3.25,ok
1.122519876, Sport: ,Tennis, Time: ,Sat Jan 09 05:45:00 CET 2016, Time: ,Sat Jan 09 05:45:00 CET 2016, Event: ,Chiudinelli v Youzhny, Favorite: ,Mikhail Youzhny, 2263536   size:22.94,Price: ,1.31,Marco Chiudinelli, 2263632   size:2.55,Price: ,3.75,ok
