1.122341563, Sport: ,Soccer, Time: ,Mon Dec 28 18:15:00 CET 2015, Time: ,Mon Dec 28 18:15:00 CET 2015, Event: ,Middlesbrough v Sheff Wed, Favorite: ,Middlesbrough, 63907   size:246.99,Price: ,1.73,Sheff Wed, 47992   size:367.33,Price: ,6.0,The Draw, 58805   size:74.97,Price: ,3.8,ok
1.122388211, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Skelleftea v Frolunda, Favorite: ,Skelleftea, 247106   size:92.0,Price: ,2.1,Frolunda, 60808   size:92.0,Price: ,2.84,Tie, 60104   size:52.0,Price: ,4.5,x
1.122279015, Sport: ,Soccer, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,West Ham v Southampton, Favorite: ,Southampton, 58943   size:1119.5,Price: ,2.34,West Ham, 48756   size:190.04,Price: ,3.55,The Draw, 58805   size:3840.96,Price: ,3.4,x
1.122399833, Sport: ,Basketball, Time: ,Mon Dec 28 17:30:00 CET 2015, Time: ,Mon Dec 28 17:30:00 CET 2015, Event: ,Kataja v Helsinki, Favorite: ,Kataja, 1364981   size:8.49,Price: ,1.19,Helsinki, 9042443   size:4.79,Price: ,5.3,ok
1.122372158, Sport: ,Ice Hockey, Time: ,Mon Dec 28 17:00:00 CET 2015, Time: ,Mon Dec 28 17:00:00 CET 2015, Event: ,Trinec v Vitkovice Steel, Favorite: ,Trinec, 563259   size:109.94,Price: ,1.62,Vitkovice Steel, 2878390   size:6.25,Price: ,2.42,Tie, 60104   size:17.93,Price: ,4.8,ok
1.122399834, Sport: ,Basketball, Time: ,Mon Dec 28 17:30:00 CET 2015, Time: ,Mon Dec 28 17:30:00 CET 2015, Event: ,KTP Basket v Kouvot Kouvola, Favorite: ,Kouvot Kouvola, 7749353   size:9.43,Price: ,1.62,KTP Basket, 7976086   size:49.38,Price: ,2.38,x
1.122399836, Sport: ,Basketball, Time: ,Mon Dec 28 17:30:00 CET 2015, Time: ,Mon Dec 28 17:30:00 CET 2015, Event: ,AO Faros Keratsiniou BC v PAOK, Favorite: ,PAOK, 281533   size:3.29,Price: ,1.03,AO Faros Keratsiniou BC, 10309595   size:5.94,Price: ,1.73,x
1.122339001, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Sheff Utd v Bradford, Favorite: ,Sheff Utd, 48470   size:133.59,Price: ,2.36,Bradford, 48444   size:110.39,Price: ,3.45,The Draw, 58805   size:136.32,Price: ,3.45,ok
1.122399792, Sport: ,Basketball, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Galatasaray v Besiktas, Favorite: ,Galatasaray, 631281   size:5.94,Price: ,1.26,Besiktas, 631288   size:2.55,Price: ,4.4,ok
1.122337066, Sport: ,Soccer, Time: ,Mon Dec 28 17:00:00 CET 2015, Time: ,Mon Dec 28 17:00:00 CET 2015, Event: ,Hapoel Ashkelon v Hapoel Afula, Favorite: ,Hapoel Ashkelon, 5221516   size:10.0,Price: ,2.0,Hapoel Afula, 5546999   size:10.0,Price: ,3.35,The Draw, 58805   size:20.0,Price: ,3.35,ok
