1.121271338, Sport: ,Basketball, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Jeonju KCC Egis v Anyang KGC Pro, Favorite: ,Anyang KGC Pro, 10276570   size:126.69,Price: ,1.02,Jeonju KCC Egis, 8148243   size:2.78,Price: ,1.68
1.121227751, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Seongnam Ilhwa v FC Seoul, Favorite: ,Seongnam Ilhwa, 1184529   size:459.18,Price: ,1.62,FC Seoul, 2479786   size:40.9,Price: ,6.4,The Draw, 58805   size:3.68,Price: ,4.1
1.121330163, Sport: ,Tennis, Time: ,Sun Oct 18 09:07:00 CEST 2015, Time: ,Sun Oct 18 09:07:00 CEST 2015, Event: ,Vasilenko v Krstin, Favorite: ,Alexander Vasilenko, 7658528   size:70.5,Price: ,1.07,Pedja Krstin, 8257862   size:2.72,Price: ,1.2
1.121329725, Sport: ,Tennis, Time: ,Sun Oct 18 09:15:00 CEST 2015, Time: ,Sun Oct 18 09:15:00 CEST 2015, Event: ,Chrysochos v C Sood, Favorite: ,Petros Chrysochos, 9630009   size:68.02,Price: ,1.16,Chandril Sood, 8907260   size:28.55,Price: ,6.0
1.121331034, Sport: ,Tennis, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Martincova v Chirico, Favorite: ,Louisa Chirico, 7168233   size:7.25,Price: ,1.47,Tereza Martincova, 7335514   size:11.18,Price: ,2.68
1.121332528, Sport: ,Tennis, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Soler-Espinosa v Dodin, Favorite: ,Oceane Dodin, 7289631   size:127.4,Price: ,1.53,Sílvia Soler-Espinosa, 8764811   size:7.31,Price: ,2.54
1.121319212, Sport: ,Soccer, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,FC Veria U20 v Atromitos Athens U20, Favorite: ,Atromitos Athens U20, 6320780   size:2.55,Price: ,1.35,FC Veria U20, 9212607   size:4.99,Price: ,1.76,The Draw, 58805   size:2.55,Price: ,2.76
1.121187902, Sport: ,Cricket, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,Lions v Titans, Favorite: ,Lions, 4294272   size:2.64,Price: ,1.89,Titans, 1254317   size:2.64,Price: ,1.9
1.121187899, Sport: ,Cricket, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,Cape Cobras v Knights, Favorite: ,Cape Cobras, 3809606   size:7.03,Price: ,1.48,Knights, 5045297   size:2.6,Price: ,2.9
1.121330899, Sport: ,Tennis, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,R Barbosa v Marsalek, Favorite: ,Romain Barbosa, 8490661   size:68.02,Price: ,1.62,James Marsalek, 8326210   size:6.8,Price: ,2.1
1.121331047, Sport: ,Tennis, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,J Jankovic v Kerber, Favorite: ,Angelique Kerber, 2411840   size:4240.07,Price: ,1.42,Jelena Jankovic, 2252607   size:46.24,Price: ,3.35
1.120468243, Sport: ,Cricket, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,India v South Africa (3rd ODI), Favorite: ,India, 414464   size:4199.51,Price: ,1.88,South Africa, 349   size:401.29,Price: ,2.12
1.121319267, Sport: ,Soccer, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,Panathinaikos U20 v Giannina U20, Favorite: ,Panathinaikos U20, 5247888   size:10.57,Price: ,1.22,Giannina U20, 7227009   size:10.57,Price: ,1.22,The Draw, 58805   size:4.99,Price: ,2.74
1.121163253, Sport: ,Soccer, Time: ,Sun Oct 18 10:15:00 CEST 2015, Time: ,Sun Oct 18 10:15:00 CEST 2015, Event: ,Sigma Olomouc B v MFK Karvina, Favorite: ,MFK Karvina, 3358864   size:4.21,Price: ,2.38,Sigma Olomouc B, 10079892   size:107.25,Price: ,3.05,The Draw, 58805   size:29.34,Price: ,3.4
1.121314633, Sport: ,Soccer, Time: ,Sun Oct 18 10:30:00 CEST 2015, Time: ,Sun Oct 18 10:30:00 CEST 2015, Event: ,Bohemians P Stri (W) v Sparta Prague (W), Favorite: ,Sparta Prague (W), 5847673   size:24.35,Price: ,1.08,Bohemians P Stri (W), 7639727   size:19.03,Price: ,5.6,The Draw, 58805   size:3.03,Price: ,6.0
1.121334620, Sport: ,Tennis, Time: ,Sun Oct 18 10:45:00 CEST 2015, Time: ,Sun Oct 18 10:45:00 CEST 2015, Event: ,Kravchuk v Luncanu, Favorite: ,Konstantin Kravchuk, 5011822   size:3.82,Price: ,1.13,Petru-Alexandru Luncanu, 8476477   size:2.16,Price: ,5.8
1.121326607, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Inter U19 II v Pro Patria U19, Favorite: ,Inter U19 II, 9067209   size:10.57,Price: ,1.22,Pro Patria U19, 9355635   size:10.57,Price: ,1.22,The Draw, 58805   size:4.99,Price: ,3.15
1.121313757, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK Vysocina Jihlava U21 v Bohemians 1905 U21, Favorite: ,FK Vysocina Jihlava U21, 10160489   size:3.07,Price: ,1.63,Bohemians 1905 U21, 6563639   size:4.41,Price: ,4.0,The Draw, 58805   size:3.7,Price: ,4.2
1.121313683, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK Mlada Boleslav U21 v FC Slovan Liberec U21, Favorite: ,FK Mlada Boleslav U21, 6550996   size:44.06,Price: ,1.65,FC Slovan Liberec U21, 6563663   size:2.65,Price: ,3.15,The Draw, 58805   size:2.51,Price: ,3.5
