1.121499120, Sport: ,Tennis, Time: ,Tue Oct 27 19:27:00 CET 2015, Time: ,Tue Oct 27 19:27:00 CET 2015, Event: ,Garin v Londero, Favorite: ,Juan Ignacio Londero, 7430086   size:30.46,Price: ,1.09,Christian Garin, 6670624   size:56.73,Price: ,8.6
1.121487948, Sport: ,Handball, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Balingen Weilstetten v Frisch Auf Goppingen, Favorite: ,Balingen Weilstetten, 4551481   size:5.2,Price: ,1.01,Frisch auf Goppingen, 536476   size:5.2,Price: ,1.01,Draw, 330157   size:5.2,Price: ,1.01
1.121500892, Sport: ,Tennis, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Anderson v Vickery, Favorite: ,Robin Anderson, 8947134   size:5.88,Price: ,1.69,Sachia Vickery, 6596286   size:2.66,Price: ,2.38
1.121366946, Sport: ,Soccer, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Syrianska FC v Ostersunds FK, Favorite: ,Syrianska FC, 502426   size:429.57,Price: ,2.24,Ostersunds FK, 502427   size:112.48,Price: ,4.0,The Draw, 58805   size:287.62,Price: ,3.2
1.121500699, Sport: ,Tennis, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Peterson v Rodriguez, Favorite: ,Rebecca Peterson, 7430598   size:54.55,Price: ,1.4,Victoria Rodriguez, 7082844   size:9.16,Price: ,2.98
1.121500698, Sport: ,Tennis, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Boserup v Cepelova, Favorite: ,Jana Cepelova, 5303559   size:5.86,Price: ,1.51,Julia Boserup, 3738415   size:31.63,Price: ,2.4
1.121364911, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Berkum v HHC, Favorite: ,HHC, 2560598   size:24.46,Price: ,1.55,Berkum, 5819743   size:27.49,Price: ,3.9,The Draw, 58805   size:5.96,Price: ,3.6
1.121365059, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Heracles v Koninklijke HFC, Favorite: ,Heracles, 419132   size:227.95,Price: ,1.02,Koninklijke HFC, 10277270   size:21.0,Price: ,65.0,The Draw, 58805   size:31.0,Price: ,3.45
1.121499971, Sport: ,Basketball, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Oldenburg v Bilbao, Favorite: ,Bilbao, 1321584   size:50.0,Price: ,1.18,Oldenburg, 1285952   size:10.06,Price: ,5.5
1.121364595, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Tours v Angers, Favorite: ,Tours, 1543737   size:2.77,Price: ,2.74,Angers, 473963   size:456.74,Price: ,3.5,The Draw, 58805   size:4.02,Price: ,2.8
1.121364985, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Almere City v Den Bosch, Favorite: ,Den Bosch, 48452   size:676.28,Price: ,1.74,Almere City, 4835124   size:2.77,Price: ,5.2,The Draw, 58805   size:78.65,Price: ,4.1
1.121364447, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Evian TG v Laval, Favorite: ,Laval, 77585   size:621.43,Price: ,1.76,Evian TG, 4864973   size:58.26,Price: ,5.9,The Draw, 58805   size:6.51,Price: ,3.7
1.121365207, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Dordrecht v Capelle, Favorite: ,Dordrecht, 507804   size:161.77,Price: ,1.34,Capelle, 3348590   size:8.32,Price: ,5.0,The Draw, 58805   size:8.93,Price: ,2.2
