1.119098295, Sport: ,Tennis, Time: ,Sat Jun 06 12:30:00 CEST 2015, Time: ,Sat Jun 06 12:30:00 CEST 2015, Event: ,Rybenkov v Sakamoto, Favorite: ,Pedro Sakamoto, 8304915   size:36.2,Price: ,1.03,okok
1.119087958, Sport: ,Tennis, Time: ,Sat Jun 06 10:30:00 CEST 2015, Time: ,Sat Jun 06 10:30:00 CEST 2015, Event: ,Bonaventure v Ostapenko, Favorite: ,Jelena Ostapenko, 8827537   size:8.24,Price: ,1.26,Ysaline Bonaventure, 6390243   size:7.22,Price: ,4.8,okok
1.119098568, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,Hs Lee v Cammarata, Favorite: ,Alberto Cammarata, 8750024   size:4.49,Price: ,1.04,okok
1.119098689, Sport: ,Tennis, Time: ,Sat Jun 06 14:00:00 CEST 2015, Time: ,Sat Jun 06 14:00:00 CEST 2015, Event: ,A Sitak v Zopp, Favorite: ,Jurgen Zopp, 5223695   size:7.94,Price: ,1.2,Artem Sitak, 2912328   size:9.89,Price: ,5.0,okok
1.119098569, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,And Beck v Gojowczyk, Favorite: ,Peter Gojowczyk, 4691416   size:3.51,Price: ,1.84,Andreas Beck, 2396600   size:6.45,Price: ,1.95,okok
1.119090680, Sport: ,Tennis, Time: ,Sat Jun 06 13:45:00 CEST 2015, Time: ,Sat Jun 06 13:45:00 CEST 2015, Event: ,Saville v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:2.55,Price: ,1.81,Luke Saville, 6965426   size:8.77,Price: ,2.06,xx
1.118970197, Sport: ,Handball, Time: ,Sat Jun 06 16:30:00 CEST 2015, Time: ,Sat Jun 06 16:30:00 CEST 2015, Event: ,FC Barcelona v Angel Ximenez, Favorite: ,FC Barcelona, 623982   size:0.0,Price: ,0.0,Angel Ximenez, 7602607   size:2.89,Price: ,85.0,Draw, 330157   size:10.0,Price: ,250.0,okok
1.118970198, Sport: ,Handball, Time: ,Sat Jun 06 18:30:00 CEST 2015, Time: ,Sat Jun 06 18:30:00 CEST 2015, Event: ,Gijon v Granollers, Favorite: ,Granollers, 1235183   size:3.99,Price: ,1.23,Gijon, 8339981   size:4.82,Price: ,5.9,Draw, 330157   size:10.32,Price: ,8.4,okok
1.119098685, Sport: ,Tennis, Time: ,Sat Jun 06 13:45:00 CEST 2015, Time: ,Sat Jun 06 13:45:00 CEST 2015, Event: ,Schoorel v A Krajicek, Favorite: ,Austin Krajicek, 3288367   size:3.53,Price: ,1.39,Thomas Schoorel, 5056962   size:4.24,Price: ,2.88,xx
1.118847308, Sport: ,Rugby Union, Time: ,Sat Jun 06 16:30:00 CEST 2015, Time: ,Sat Jun 06 16:30:00 CEST 2015, Event: ,Ireland U20 v Scotland U20, Favorite: ,Ireland U20, 2880315   size:2.74,Price: ,1.08,Scotland U20, 2818060   size:3.46,Price: ,5.9,Draw, 246289   size:2.64,Price: ,29.0,okok
1.119092864, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Martic v Haddad Maia, Favorite: ,Petra Martic, 2346703   size:6.22,Price: ,1.38,Beatriz Haddad Maia, 7083752   size:10.0,Price: ,3.15,xx
1.119093039, Sport: ,Tennis, Time: ,Sat Jun 06 15:30:00 CEST 2015, Time: ,Sat Jun 06 15:30:00 CEST 2015, Event: ,Duque-Marino v Niculescu, Favorite: ,Monica Niculescu, 2309528   size:5.0,Price: ,1.89,Mariana Duque-Marino, 8306312   size:134.67,Price: ,2.02,okok
1.119092865, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Gajdosova v Eguchi, Favorite: ,Jarmila Gajdosova, 5497360   size:3.89,Price: ,1.26,Misa Eguchi, 6145788   size:15.62,Price: ,4.1,okok
1.119078977, Sport: ,Tennis, Time: ,Sat Jun 06 15:00:00 CEST 2015, Time: ,Sat Jun 06 15:00:00 CEST 2015, Event: ,S Williams v L Safarova, Favorite: ,Serena Williams, 2538236   size:4206.89,Price: ,1.39,Lucie Safarova, 2256462   size:478.09,Price: ,3.5,okok
1.119090569, Sport: ,Handball, Time: ,Sat Jun 06 16:00:00 CEST 2015, Time: ,Sat Jun 06 16:00:00 CEST 2015, Event: ,Netherlands (W) v Czech Republic (W), Favorite: ,Netherlands (W), 6497928   size:5.84,Price: ,1.12,Czech Republic (W), 6257928   size:69.51,Price: ,7.6,Draw, 330157   size:69.25,Price: ,11.0,okok
1.119092900, Sport: ,Tennis, Time: ,Sat Jun 06 16:30:00 CEST 2015, Time: ,Sat Jun 06 16:30:00 CEST 2015, Event: ,K Bondarenko v Savchuk, Favorite: ,Olga Savchuk, 2263617   size:2.55,Price: ,1.33,okok
1.119090966, Sport: ,Tennis, Time: ,Sat Jun 06 11:00:00 CEST 2015, Time: ,Sat Jun 06 11:00:00 CEST 2015, Event: ,Djere v Vesely, Favorite: ,Jiri Vesely, 7032143   size:5.24,Price: ,1.18,Laslo Djere, 7692106   size:56.66,Price: ,5.7,okok
1.119090738, Sport: ,Tennis, Time: ,Sat Jun 06 12:15:00 CEST 2015, Time: ,Sat Jun 06 12:15:00 CEST 2015, Event: ,Pegula v A Bogdan, Favorite: ,Jessica Pegula, 6215852   size:49.99,Price: ,1.75,Ana Bogdan, 3875013   size:29.68,Price: ,2.3,okok
1.119092919, Sport: ,Tennis, Time: ,Sat Jun 06 16:30:00 CEST 2015, Time: ,Sat Jun 06 16:30:00 CEST 2015, Event: ,Spears v Larcher De Brito, Favorite: ,Michelle Larcher de Bri, 9564237   size:2.55,Price: ,1.22,Abigail Spears, 2263703   size:9.26,Price: ,4.5,okok
1.119098580, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,Bozoljac v Bossel, Favorite: ,Ilija Bozoljac, 4489337   size:2.55,Price: ,1.49,Adrien Bossel, 7364079   size:120.71,Price: ,2.78,okok
1.119098612, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Galovic v Reuter, Favorite: ,Yannik Reuter, 8461638   size:35.71,Price: ,1.15,Viktor Galovic, 7444791   size:5.84,Price: ,1.82,xx
1.119090570, Sport: ,Handball, Time: ,Sat Jun 06 18:00:00 CEST 2015, Time: ,Sat Jun 06 18:00:00 CEST 2015, Event: ,Serbia (W) v Romania (W), Favorite: ,Romania (W), 6257656   size:2.68,Price: ,1.83,Serbia (W), 6257655   size:2.07,Price: ,2.36,Draw, 330157   size:3.26,Price: ,7.8,okok
1.119092872, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,K Zhang v Zh Yang, Favorite: ,Zhaoxuan Yang, 8172570   size:2.78,Price: ,1.76,Kai-Lin Zhang, 8710301   size:15.35,Price: ,2.14,xx
1.118847314, Sport: ,Rugby Union, Time: ,Sat Jun 06 18:30:00 CEST 2015, Time: ,Sat Jun 06 18:30:00 CEST 2015, Event: ,New Zealand U20 v Argentina U20, Favorite: ,New Zealand U20, 7323988   size:10102.42,Price: ,1.01,Argentina U20, 7324018   size:2.67,Price: ,11.5,Draw, 246289   size:2.64,Price: ,55.0,okok
1.119092876, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Buyukakcay v Govortsova, Favorite: ,Olga Govortsova, 2415575   size:3.78,Price: ,1.3,Cagla Buyukakcay, 3051579   size:96.45,Price: ,3.75,okok
1.119090577, Sport: ,Tennis, Time: ,Sat Jun 06 14:00:00 CEST 2015, Time: ,Sat Jun 06 14:00:00 CEST 2015, Event: ,Ma Gonzalez v Hernandez-Fernandez, Favorite: ,Maximo Gonzalez, 2489416   size:15.0,Price: ,1.6,Jose Hernandez-Fernande, 9420497   size:30.0,Price: ,2.5,okok
1.119098616, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Halys v D'amico, Favorite: ,Ignazio D'amico, 8597598   size:36.2,Price: ,1.03,xx
1.119098618, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Dancevic v Berrer, Favorite: ,Michael Berrer, 2263684   size:2.55,Price: ,1.68,Frank Dancevic, 2249832   size:5.84,Price: ,2.26,okok
1.119092912, Sport: ,Tennis, Time: ,Sat Jun 06 16:30:00 CEST 2015, Time: ,Sat Jun 06 16:30:00 CEST 2015, Event: ,Kops-Jones v Vickery, Favorite: ,Sachia Vickery, 6596286   size:30.3,Price: ,1.25,Raquel Kops-Jones, 8287812   size:3.71,Price: ,4.2,okok
1.119098594, Sport: ,Tennis, Time: ,Sat Jun 06 11:45:00 CEST 2015, Time: ,Sat Jun 06 11:45:00 CEST 2015, Event: ,Du Brown v Sachs, Favorite: ,Dustin Brown, 4486603   size:105.51,Price: ,1.05,Sebastian Sachs, 8941881   size:99.48,Price: ,1.08,okok
1.119043637, Sport: ,Rugby Union, Time: ,Sat Jun 06 16:15:00 CEST 2015, Time: ,Sat Jun 06 16:15:00 CEST 2015, Event: ,Clermont v Toulouse, Favorite: ,Clermont, 1275770   size:2.0,Price: ,1.45,Toulouse, 52259   size:24.98,Price: ,3.35,Draw, 246289   size:5.55,Price: ,18.5,okok
1.119098590, Sport: ,Tennis, Time: ,Sat Jun 06 11:45:00 CEST 2015, Time: ,Sat Jun 06 11:45:00 CEST 2015, Event: ,Bachinger v Devvarman, Favorite: ,Matthias Bachinger, 2397396   size:5.95,Price: ,1.44,Somdev Devvarman, 3261618   size:34.76,Price: ,2.84,okok
1.119051019, Sport: ,Basketball, Time: ,Sat Jun 06 11:00:00 CEST 2015, Time: ,Sat Jun 06 11:00:00 CEST 2015, Event: ,Rain or Shine v Talk N Text, Favorite: ,Talk N Text, 3871935   size:48.72,Price: ,1.7,Rain Or Shine, 3880438   size:2.55,Price: ,2.3,xx
1.119092880, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Cepelova v Vekic, Favorite: ,Donna Vekic, 6603944   size:2.55,Price: ,1.8,Jana Cepelova, 5303559   size:5.58,Price: ,2.18,okok
1.119098586, Sport: ,Tennis, Time: ,Sat Jun 06 11:45:00 CEST 2015, Time: ,Sat Jun 06 11:45:00 CEST 2015, Event: ,Londero v D Platania, Favorite: ,Danilo Platania, 8596288   size:4.49,Price: ,1.04,xx
1.119098587, Sport: ,Tennis, Time: ,Sat Jun 06 11:45:00 CEST 2015, Time: ,Sat Jun 06 11:45:00 CEST 2015, Event: ,N Barrientos v Schiliro, Favorite: ,Nicolo Schiliro, 9564843   size:4.49,Price: ,1.04,xx
1.119092884, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Aoyama v Date-Krumm, Favorite: ,Kimiko Date-Krumm, 8244520   size:8.88,Price: ,1.67,Shuko Aoyama, 5596565   size:4.79,Price: ,2.26,okok
