1.119586373, Sport: ,Tennis, Time: ,Tue Jul 21 13:00:00 CEST 2015, Time: ,Tue Jul 21 13:00:00 CEST 2015, Event: ,Heliovaara v Silva, Favorite: ,Frederico Ferreira Silv, 9437339   size:14.34,Price: ,1.25,Harri Heliovaara, 5021887   size:13.81,Price: ,4.4,x
1.119591312, Sport: ,Tennis, Time: ,Tue Jul 21 18:30:00 CEST 2015, Time: ,Tue Jul 21 18:30:00 CEST 2015, Event: ,Zacarias v Zhao, Favorite: ,Marcela Zacarias, 7083075   size:4.9,Price: ,1.65,Carol Zhao, 7550871   size:5.38,Price: ,2.24,x
1.119594305, Sport: ,Tennis, Time: ,Tue Jul 21 13:00:00 CEST 2015, Time: ,Tue Jul 21 13:00:00 CEST 2015, Event: ,Hogenkamp v Martic, Favorite: ,Petra Martic, 2346703   size:72.37,Price: ,1.58,Richel Hogenkamp, 6440521   size:37.84,Price: ,2.62,x
1.119500128, Sport: ,Soccer, Time: ,Tue Jul 21 18:30:00 CEST 2015, Time: ,Tue Jul 21 18:30:00 CEST 2015, Event: ,Rain am Lech v Unterhaching, Favorite: ,Unterhaching, 64371   size:2.55,Price: ,2.38,Rain am Lech, 6516917   size:2.55,Price: ,2.98,The Draw, 58805   size:7.31,Price: ,3.65,x
1.119499904, Sport: ,Soccer, Time: ,Tue Jul 21 13:30:00 CEST 2015, Time: ,Tue Jul 21 13:30:00 CEST 2015, Event: ,Home Utd (Res) v NFA Reds U18, Favorite: ,Home Utd (Res), 5390688   size:2.55,Price: ,1.32,NFA Reds U18, 8390085   size:2.77,Price: ,2.48,The Draw, 58805   size:2.78,Price: ,3.9,x
1.119500240, Sport: ,Soccer, Time: ,Tue Jul 21 18:30:00 CEST 2015, Time: ,Tue Jul 21 18:30:00 CEST 2015, Event: ,Greuther Furth II v Amberg, Favorite: ,Greuther Furth II, 9884599   size:14.23,Price: ,1.93,Amberg, 9550072   size:2.57,Price: ,2.74,The Draw, 58805   size:3.5,Price: ,3.45,x
1.119589414, Sport: ,Soccer, Time: ,Tue Jul 21 18:00:00 CEST 2015, Time: ,Tue Jul 21 18:00:00 CEST 2015, Event: ,NK Imotski v Cibalia, Favorite: ,NK Imotski, 7186809   size:141.57,Price: ,2.04,Cibalia, 447101   size:61.08,Price: ,2.52,The Draw, 58805   size:121.9,Price: ,3.4,ok
1.119498784, Sport: ,Soccer, Time: ,Tue Jul 21 17:00:00 CEST 2015, Time: ,Tue Jul 21 17:00:00 CEST 2015, Event: ,Milsami v Ludogorets, Favorite: ,Ludogorets, 5112599   size:334.92,Price: ,1.67,The Draw, 58805   size:48.79,Price: ,4.0,Milsami, 5637031   size:38.28,Price: ,6.2,x
1.119591288, Sport: ,Tennis, Time: ,Tue Jul 21 17:30:00 CEST 2015, Time: ,Tue Jul 21 17:30:00 CEST 2015, Event: ,Konta v Stefkova, Favorite: ,Johanna Konta, 5596561   size:4.07,Price: ,1.23,Barbora Stefkova, 8887755   size:18.39,Price: ,4.9,ok
1.119587073, Sport: ,Soccer, Time: ,Tue Jul 21 18:30:00 CEST 2015, Time: ,Tue Jul 21 18:30:00 CEST 2015, Event: ,Achilles 29 v NEC Nijmegen, Favorite: ,NEC Nijmegen, 48456   size:4.76,Price: ,1.52,The Draw, 58805   size:34.76,Price: ,4.7,Achilles 29, 4189472   size:4.95,Price: ,6.8,ok
1.119591322, Sport: ,Tennis, Time: ,Tue Jul 21 18:45:00 CEST 2015, Time: ,Tue Jul 21 18:45:00 CEST 2015, Event: ,Robson v Osaka, Favorite: ,Naomi Osaka, 7640637   size:4.03,Price: ,1.6,Laura Robson, 3166776   size:2.73,Price: ,2.36,x
