1.121380893, Sport: ,Soccer, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,NK Zagreb v Istra, Favorite: ,NK Zagreb, 189804   size:4.24,Price: ,2.56,Istra, 4057076   size:25.69,Price: ,2.88,The Draw, 58805   size:2.55,Price: ,3.45,x
1.121499915, Sport: ,Basketball, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Nova Ves v Nitra, Favorite: ,Nitra, 5942834   size:3.76,Price: ,1.33,Nova Ves, 6719643   size:3.29,Price: ,1.52,ok
1.121477107, Sport: ,Tennis, Time: ,Wed Oct 28 16:30:00 CET 2015, Time: ,Wed Oct 28 16:30:00 CET 2015, Event: ,Sadikovic v Stollar, Favorite: ,Amra Sadikovic, 4183959   size:3.29,Price: ,1.27,Fanni Stollar, 8944350   size:12.25,Price: ,4.2,ok
1.121363535, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Sport v KalPa, Favorite: ,Sport, 275249   size:97.05,Price: ,2.44,KalPa, 275250   size:97.56,Price: ,2.66,Tie, 60104   size:92.28,Price: ,3.85,x
1.121497171, Sport: ,Soccer, Time: ,Wed Oct 28 18:30:00 CET 2015, Time: ,Wed Oct 28 18:30:00 CET 2015, Event: ,Mantova v SPAL, Favorite: ,Mantova, 924269   size:44.14,Price: ,2.56,Spal, 3307906   size:151.38,Price: ,3.05,The Draw, 58805   size:2.75,Price: ,3.35,x
1.121495288, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,South Park FC v Chatham Town FC, Favorite: ,South Park FC, 10281321   size:10.82,Price: ,1.1,Chatham Town FC, 8377424   size:5.63,Price: ,4.2,The Draw, 58805   size:4.13,Price: ,2.88,x
1.121497226, Sport: ,Soccer, Time: ,Wed Oct 28 22:00:00 CET 2015, Time: ,Wed Oct 28 22:00:00 CET 2015, Event: ,Santos de Guapiles v Municipal Liberia, Favorite: ,Santos de Guapiles, 10135629   size:4.41,Price: ,1.68,Municipal Liberia, 7248303   size:3.46,Price: ,5.4,The Draw, 58805   size:83.67,Price: ,4.0,ok
1.121497501, Sport: ,Soccer, Time: ,Wed Oct 28 23:00:00 CET 2015, Time: ,Wed Oct 28 23:00:00 CET 2015, Event: ,CSD Comunicaciones v Antigua GFC, Favorite: ,CSD Comunicaciones, 4109938   size:2.55,Price: ,1.45,Antigua GFC, 8727831   size:36.49,Price: ,4.7,The Draw, 58805   size:52.44,Price: ,3.2,ok
1.121498396, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,UE Sant Andreu v UE Rubi, Favorite: ,UE Sant Andreu, 10381924   size:2.36,Price: ,2.12,UE Rubi, 6929307   size:2.02,Price: ,2.48,The Draw, 58805   size:6.49,Price: ,3.3,ok
1.121515138, Sport: ,Tennis, Time: ,Thu Oct 29 00:00:00 CET 2015, Time: ,Thu Oct 29 00:00:00 CET 2015, Event: ,Dutra Silva v Coppejans, Favorite: ,Rogerio Dutra Silva, 2301068   size:2.92,Price: ,1.71,Kimmer Coppejans, 7364095   size:24.35,Price: ,2.3,ok
1.121511216, Sport: ,Tennis, Time: ,Wed Oct 28 20:00:00 CET 2015, Time: ,Wed Oct 28 20:00:00 CET 2015, Event: ,G Dimitrov v Nadal, Favorite: ,Rafael Nadal, 2251410   size:953.91,Price: ,1.54,Grigor Dimitrov, 3120169   size:4.96,Price: ,2.8,ok
1.121377456, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,Torino v Genoa, Favorite: ,Torino, 44503   size:210.79,Price: ,2.08,Genoa, 60310   size:74.64,Price: ,4.2,The Draw, 58805   size:798.98,Price: ,3.5,x
1.121383728, Sport: ,Ice Hockey, Time: ,Wed Oct 28 19:00:00 CET 2015, Time: ,Wed Oct 28 19:00:00 CET 2015, Event: ,Leksand v Pantern, Favorite: ,Leksand, 2358271   size:10.86,Price: ,1.73,Pantern, 9322154   size:139.23,Price: ,3.3,Tie, 60104   size:6.19,Price: ,4.1,ok
1.121380978, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,Hearts v Celtic, Favorite: ,Celtic, 55223   size:19.18,Price: ,1.54,Hearts, 47993   size:10.38,Price: ,7.0,The Draw, 58805   size:207.98,Price: ,4.7,ok
1.121512020, Sport: ,Tennis, Time: ,Wed Oct 28 15:00:00 CET 2015, Time: ,Wed Oct 28 15:00:00 CET 2015, Event: ,Maria v Thandi, Favorite: ,Tatjana Maria, 7299657   size:231.19,Price: ,1.04,Karman Kaur Thandi, 9084827   size:2.75,Price: ,9.0,ok
1.121416348, Sport: ,Volleyball, Time: ,Wed Oct 28 20:00:00 CET 2015, Time: ,Wed Oct 28 20:00:00 CET 2015, Event: ,Dauphines Charleroi v Maritsa Plovdiv, Favorite: ,Dauphines Charleroi, 6781520   size:9.65,Price: ,1.32,Maritsa Plovdiv, 10410548   size:7.45,Price: ,3.05,x
1.121495178, Sport: ,Soccer, Time: ,Wed Oct 28 19:30:00 CET 2015, Time: ,Wed Oct 28 19:30:00 CET 2015, Event: ,Bnei Yehuda v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 197970   size:40.61,Price: ,2.12,Bnei Yehuda, 1561969   size:3.88,Price: ,3.7,The Draw, 58805   size:3.9,Price: ,3.65,x
1.121494242, Sport: ,Soccer, Time: ,Wed Oct 28 19:15:00 CET 2015, Time: ,Wed Oct 28 19:15:00 CET 2015, Event: ,Juan Aurich v Union Comercio, Favorite: ,Juan Aurich, 4462066   size:68.97,Price: ,1.55,Union Comercio, 5481419   size:10.48,Price: ,7.2,The Draw, 58805   size:191.55,Price: ,4.3,ok
1.121496786, Sport: ,Soccer, Time: ,Wed Oct 28 19:00:00 CET 2015, Time: ,Wed Oct 28 19:00:00 CET 2015, Event: ,Nova Iguacu v Tigres Brasil, Favorite: ,Nova Iguacu, 1362126   size:4.12,Price: ,1.07,Tigres Brasil, 3624428   size:4.12,Price: ,1.07,The Draw, 58805   size:5.06,Price: ,2.88,ok
1.121497116, Sport: ,Soccer, Time: ,Wed Oct 28 15:00:00 CET 2015, Time: ,Wed Oct 28 15:00:00 CET 2015, Event: ,Lecce v Matera, Favorite: ,Lecce, 508827   size:51.04,Price: ,2.18,Matera, 5445696   size:37.48,Price: ,5.6,The Draw, 58805   size:175.87,Price: ,2.6,ok
1.120878873, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,Man City v C Palace, Favorite: ,Man City, 47999   size:2169.91,Price: ,1.44,C Palace, 52689   size:233.92,Price: ,8.2,The Draw, 58805   size:1190.62,Price: ,5.2,ok
1.121420435, Sport: ,Volleyball, Time: ,Wed Oct 28 19:30:00 CET 2015, Time: ,Wed Oct 28 19:30:00 CET 2015, Event: ,CV Mitteldeutschland v TV Rottenburg, Favorite: ,TV Rottenburg, 4488523   size:3.68,Price: ,1.36,CV Mitteldeutschland, 7832176   size:4.04,Price: ,3.3,x
1.121498562, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,Albion Sports AFC v Bradford PA, Favorite: ,Bradford PA, 598919   size:10.82,Price: ,1.1,Albion Sports AFC, 8084896   size:5.0,Price: ,4.8,The Draw, 58805   size:10.82,Price: ,1.29,ok
1.121498286, Sport: ,Soccer, Time: ,Wed Oct 28 20:30:00 CET 2015, Time: ,Wed Oct 28 20:30:00 CET 2015, Event: ,FC Vilafranca v AE Prat, Favorite: ,AE Prat, 5878427   size:2.17,Price: ,2.3,FC Vilafranca, 9339209   size:4.43,Price: ,2.64,The Draw, 58805   size:6.56,Price: ,3.15,x
1.121381288, Sport: ,Soccer, Time: ,Wed Oct 28 19:30:00 CET 2015, Time: ,Wed Oct 28 19:30:00 CET 2015, Event: ,Red Star Zurich v Koniz, Favorite: ,Koniz, 6802687   size:4.91,Price: ,2.12,Red Star Zurich, 10122605   size:4.3,Price: ,3.4,The Draw, 58805   size:4.24,Price: ,3.55,ok
1.121494404, Sport: ,Soccer, Time: ,Wed Oct 28 23:45:00 CET 2015, Time: ,Wed Oct 28 23:45:00 CET 2015, Event: ,Melgar v Cienciano, Favorite: ,Melgar, 5839079   size:14.3,Price: ,1.65,Cienciano, 480160   size:42.49,Price: ,6.2,The Draw, 58805   size:70.89,Price: ,4.0,ok
1.121385127, Sport: ,Ice Hockey, Time: ,Wed Oct 28 19:30:00 CET 2015, Time: ,Wed Oct 28 19:30:00 CET 2015, Event: ,Medvescak Zagreb v Ak Bars, Favorite: ,AK Bars, 2582640   size:105.0,Price: ,2.28,Medvescak Zagreb, 4182882   size:53.64,Price: ,2.98,Tie, 60104   size:62.99,Price: ,3.75,ok
1.121479345, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,North Ferriby Utd v Stalybridge, Favorite: ,North Ferriby Utd, 3168552   size:3.76,Price: ,1.8,Stalybridge, 597720   size:13.43,Price: ,4.6,The Draw, 58805   size:3.99,Price: ,3.95,x
1.121511863, Sport: ,Tennis, Time: ,Wed Oct 28 19:00:00 CET 2015, Time: ,Wed Oct 28 19:00:00 CET 2015, Event: ,De Novak v Hernandez-Fernandez, Favorite: ,Jose Hernandez-Fernande, 9420497   size:7.54,Price: ,1.87,Dennis Novak, 7335936   size:5.67,Price: ,2.02,ok
1.121379120, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,Lyngby v AaB, Favorite: ,AaB, 28212   size:293.06,Price: ,1.63,Lyngby, 28218   size:20.55,Price: ,6.4,The Draw, 58805   size:122.04,Price: ,4.1,ok
1.121495731, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,Whitby Town v Blyth Spartans, Favorite: ,Blyth Spartans, 1282854   size:24.73,Price: ,2.14,Whitby Town, 62653   size:2.0,Price: ,3.15,The Draw, 58805   size:4.38,Price: ,3.8,ok
1.121377628, Sport: ,Soccer, Time: ,Wed Oct 28 20:30:00 CET 2015, Time: ,Wed Oct 28 20:30:00 CET 2015, Event: ,Standard v KV Mechelen, Favorite: ,Standard, 571279   size:42.23,Price: ,1.78,KV Mechelen, 196024   size:113.87,Price: ,4.8,The Draw, 58805   size:268.76,Price: ,4.1,ok
