1.119072510, Sport: ,Handball, Time: ,Wed Jun 10 18:10:00 CEST 2015, Time: ,Wed Jun 10 18:10:00 CEST 2015, Event: ,Czech Republic v France, Favorite: ,France, 620374   size:2.63,Price: ,1.13,Czech Republic, 620375   size:3.55,Price: ,9.0,Draw, 330157   size:7.56,Price: ,13.5,ok
1.119126033, Sport: ,Handball, Time: ,Wed Jun 10 20:30:00 CEST 2015, Time: ,Wed Jun 10 20:30:00 CEST 2015, Event: ,Italy v Romania, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,x
1.119128053, Sport: ,Tennis, Time: ,Thu Jun 11 04:00:00 CEST 2015, Time: ,Thu Jun 11 04:00:00 CEST 2015, Event: ,S Han v K Chang, Favorite: ,Kai-Chen Chang, 8887166   size:5.74,Price: ,1.12,Sung-Hee Han, 9497479   size:5.39,Price: ,5.6,ok
1.119040530, Sport: ,Basketball, Time: ,Wed Jun 10 20:05:00 CEST 2015, Time: ,Wed Jun 10 20:05:00 CEST 2015, Event: ,Maccabi Tel Aviv v Hapoel Eilat, Favorite: ,Maccabi Tel Aviv, 266273   size:1200.85,Price: ,1.15,Hapoel Eilat, 7758974   size:2.0,Price: ,7.0,x
1.119126039, Sport: ,Handball, Time: ,Wed Jun 10 19:30:00 CEST 2015, Time: ,Wed Jun 10 19:30:00 CEST 2015, Event: ,Luxembourg v Estonia, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,Estonia, 2261728   size:16.06,Price: ,1.49,x
1.119053533, Sport: ,Baseball, Time: ,Thu Jun 11 01:10:00 CEST 2015, Time: ,Thu Jun 11 01:10:00 CEST 2015, Event: ,SF @ NYM, Favorite: ,NY Mets (M Harvey), 6551353   size:5.0,Price: ,1.69,San Francisco (T Hudson), 8432632   size:323.0,Price: ,2.36,x
1.119118461, Sport: ,Tennis, Time: ,Wed Jun 10 17:00:00 CEST 2015, Time: ,Wed Jun 10 17:00:00 CEST 2015, Event: ,Mertl v Gombos, Favorite: ,Norbert Gombos, 8173023   size:2.58,Price: ,1.3,Jan Mertl, 3034493   size:2.1,Price: ,4.2,ok
1.119128058, Sport: ,Tennis, Time: ,Thu Jun 11 04:00:00 CEST 2015, Time: ,Thu Jun 11 04:00:00 CEST 2015, Event: ,R Ozaki v H Chang, Favorite: ,Hanna Chang, 9580452   size:241.98,Price: ,1.03,Risa Ozaki, 7593284   size:43.05,Price: ,1.08,x
1.119053469, Sport: ,Baseball, Time: ,Wed Jun 10 19:05:00 CEST 2015, Time: ,Wed Jun 10 19:05:00 CEST 2015, Event: ,WSH @ NYY, Favorite: ,NY Yankees (N Eovaldi), 9389895   size:107.55,Price: ,1.83,Washington (G Gonzalez), 6292847   size:401.21,Price: ,2.18,x
1.119126036, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Belgium v Greece, Favorite: ,Belgium, 2260889   size:155.91,Price: ,1.77,Greece, 624110   size:2.61,Price: ,2.5,Draw, 330157   size:11.01,Price: ,11.0,ok
