1.121617019, Sport: ,Soccer, Time: ,Mon Nov 02 20:45:00 CET 2015, Time: ,Mon Nov 02 20:45:00 CET 2015, Event: ,Farnborough v Bideford AFC, Favorite: ,Farnborough, 256188   size:3.08,Price: ,2.06,Bideford AFC, 8140170   size:2.66,Price: ,3.4,The Draw, 58805   size:5.0,Price: ,3.75,x
1.121607571, Sport: ,Basketball, Time: ,Mon Nov 02 18:55:00 CET 2015, Time: ,Mon Nov 02 18:55:00 CET 2015, Event: ,Maccabi Ashdod v Hapoel Eilat, Favorite: ,Maccabi Ashdod, 7758972   size:139.92,Price: ,1.03,Hapoel Eilat, 7758974   size:139.92,Price: ,1.03,ok
1.121471261, Sport: ,Soccer, Time: ,Mon Nov 02 21:00:00 CET 2015, Time: ,Mon Nov 02 21:00:00 CET 2015, Event: ,Fort William v Cove Rangers, Favorite: ,Cove Rangers, 284608   size:67.86,Price: ,1.1,Fort William, 7636064   size:20.98,Price: ,6.6,The Draw, 58805   size:25.85,Price: ,8.0,ok
1.121613297, Sport: ,Soccer, Time: ,Mon Nov 02 18:30:00 CET 2015, Time: ,Mon Nov 02 18:30:00 CET 2015, Event: ,Jong Sparta v Brabant United U23, Favorite: ,Jong Sparta, 6249623   size:2.79,Price: ,1.13,Brabant United U23, 10140535   size:2.79,Price: ,3.85,The Draw, 58805   size:2.79,Price: ,6.0,ok
1.121451439, Sport: ,Soccer, Time: ,Mon Nov 02 19:30:00 CET 2015, Time: ,Mon Nov 02 19:30:00 CET 2015, Event: ,ADO Den Haag (Res) v SC Cambuur (Res), Favorite: ,ADO Den Haag (Res), 10138947   size:5.89,Price: ,1.21,SC Cambuur (Res), 10138946   size:5.89,Price: ,1.21,The Draw, 58805   size:10.0,Price: ,3.5,ok
1.121452889, Sport: ,Soccer, Time: ,Mon Nov 02 20:30:00 CET 2015, Time: ,Mon Nov 02 20:30:00 CET 2015, Event: ,Cagliari v Vicenza, Favorite: ,Cagliari, 60297   size:589.03,Price: ,1.61,Vicenza, 7338   size:23.25,Price: ,7.0,The Draw, 58805   size:495.19,Price: ,4.1,ok
1.121451274, Sport: ,Soccer, Time: ,Mon Nov 02 18:30:00 CET 2015, Time: ,Mon Nov 02 18:30:00 CET 2015, Event: ,Jong Twente v Almere City U23, Favorite: ,Jong Twente, 3350963   size:138.52,Price: ,1.06,Almere City U23, 10140536   size:7.99,Price: ,2.72,The Draw, 58805   size:5.3,Price: ,4.1,x
1.121607574, Sport: ,Basketball, Time: ,Mon Nov 02 18:45:00 CET 2015, Time: ,Mon Nov 02 18:45:00 CET 2015, Event: ,Maccabi Kiryat Gat v Maccabi Haifa, Favorite: ,Maccabi Kiryat Gat, 10405174   size:139.92,Price: ,1.03,Maccabi Haifa, 4953243   size:139.92,Price: ,1.03,x
1.121452488, Sport: ,Soccer, Time: ,Mon Nov 02 19:45:00 CET 2015, Time: ,Mon Nov 02 19:45:00 CET 2015, Event: ,Schaffhausen v Chiasso, Favorite: ,Schaffhausen, 328835   size:96.79,Price: ,2.5,Chiasso, 457842   size:39.11,Price: ,3.15,The Draw, 58805   size:190.36,Price: ,3.45,ok
1.121565550, Sport: ,Basketball, Time: ,Tue Nov 03 01:35:00 CET 2015, Time: ,Tue Nov 03 01:35:00 CET 2015, Event: ,San Antonio @ New York, Favorite: ,San Antonio, 13121   size:99.63,Price: ,1.3,New York, 13106   size:4.36,Price: ,4.2,ok
