1.121561452, Sport: ,Soccer, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,Homburg v Saarbrucken, Favorite: ,Saarbrucken, 110687   size:103.1,Price: ,2.4,Homburg, 2049065   size:32.53,Price: ,3.1,The Draw, 58805   size:2.0,Price: ,3.55,x
1.121603538, Sport: ,Tennis, Time: ,Sat Oct 31 15:15:00 CET 2015, Time: ,Sat Oct 31 15:15:00 CET 2015, Event: ,Albot v Rosol, Favorite: ,Lukas Rosol, 2258415   size:279.37,Price: ,1.32,Radu Albot, 6603898   size:2.55,Price: ,3.15,ok
1.121493724, Sport: ,American Football, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Saskatchewan @ Calgary, Favorite: ,Calgary, 2026163   size:2.55,Price: ,1.09,Saskatchewan, 2026227   size:70.89,Price: ,7.6,ok
1.121415394, Sport: ,Soccer, Time: ,Sat Oct 31 15:00:00 CET 2015, Time: ,Sat Oct 31 15:00:00 CET 2015, Event: ,Brescia v Latina, Favorite: ,Brescia, 7407   size:31.95,Price: ,2.34,Latina, 5287538   size:1580.15,Price: ,3.65,The Draw, 58805   size:127.08,Price: ,3.2,ok
1.121492993, Sport: ,Soccer, Time: ,Sat Oct 31 16:00:00 CET 2015, Time: ,Sat Oct 31 16:00:00 CET 2015, Event: ,Bytovia Bytow v Pogon Siedlce, Favorite: ,Bytovia Bytow, 5876553   size:5.0,Price: ,2.2,Pogon Siedlce, 7186877   size:6.79,Price: ,3.7,The Draw, 58805   size:10.97,Price: ,3.35,ok
1.121522291, Sport: ,Basketball, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,Phoenix Hagen v Fraport Skyliners, Favorite: ,Fraport Skyliners, 5956938   size:3.28,Price: ,1.38,Phoenix Hagen, 4228376   size:2.55,Price: ,3.2,ok
1.121603531, Sport: ,Tennis, Time: ,Sat Oct 31 11:45:00 CET 2015, Time: ,Sat Oct 31 11:45:00 CET 2015, Event: ,Ramos-Vinolas v P Mathieu, Favorite: ,Albert Ramos-Vinolas, 8621877   size:69.03,Price: ,1.74,Paul-Henri Mathieu, 8259186   size:91.88,Price: ,1.88,x
1.121345191, Sport: ,Soccer, Time: ,Sat Oct 31 16:00:00 CET 2015, Time: ,Sat Oct 31 16:00:00 CET 2015, Event: ,Newcastle v Stoke, Favorite: ,Newcastle, 25422   size:123.32,Price: ,2.4,Stoke, 69720   size:119.61,Price: ,3.4,The Draw, 58805   size:5427.22,Price: ,3.45,x
1.121603651, Sport: ,Darts, Time: ,Sat Oct 31 15:15:00 CET 2015, Time: ,Sat Oct 31 15:15:00 CET 2015, Event: ,Anderson v Whitlock, Favorite: ,Gary Anderson, 2409760   size:6.37,Price: ,1.31,Simon Whitlock, 2658195   size:7.27,Price: ,3.65,ok
1.121603530, Sport: ,Tennis, Time: ,Sat Oct 31 18:45:00 CET 2015, Time: ,Sat Oct 31 18:45:00 CET 2015, Event: ,Halys v M Granollers, Favorite: ,Marcel Granollers, 3035263   size:85.39,Price: ,1.56,Quentin Halys, 7287690   size:18.22,Price: ,2.26,ok
