1.121385083, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,SCL Tigers v Kloten Flyers, Favorite: ,Kloten Flyers, 243255   size:9.01,Price: ,1.99,SCL Tigers, 243257   size:2.18,Price: ,2.88,Tie, 60104   size:7.35,Price: ,3.95
1.121385084, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Lausanne HC v Geneve Servette, Favorite: ,Lausanne HC, 7555451   size:2.8,Price: ,2.24,Geneve Servette, 4932959   size:2.56,Price: ,2.46,Tie, 60104   size:7.42,Price: ,3.95
1.121385090, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Ambri Piotta v Davos, Favorite: ,Davos, 243249   size:2.94,Price: ,2.14,Ambri Piotta, 2584459   size:2.42,Price: ,2.6,Tie, 60104   size:6.53,Price: ,4.1
1.121385108, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Zug v Bern, Favorite: ,Zug, 257975   size:2.45,Price: ,2.04,Bern, 243256   size:83.39,Price: ,2.7,Tie, 60104   size:39.57,Price: ,4.6
1.121395823, Sport: ,Tennis, Time: ,Fri Oct 23 20:00:00 CEST 2015, Time: ,Fri Oct 23 20:00:00 CEST 2015, Event: ,A Krajicek v D Novikov, Favorite: ,Austin Krajicek, 3288367   size:6.64,Price: ,1.54,Dennis Novikov, 6217982   size:32.04,Price: ,2.54
1.121272613, Sport: ,Soccer, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Northwich v Chorley, Favorite: ,Chorley, 4231709   size:2.55,Price: ,2.18,Northwich, 18557   size:2.11,Price: ,2.98,The Draw, 58805   size:4.28,Price: ,3.75
1.121344241, Sport: ,Rugby Union, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Gloucester v Saracens, Favorite: ,Saracens, 8881   size:360.49,Price: ,1.6,Gloucester, 168   size:2.48,Price: ,2.54,Draw, 246289   size:3.61,Price: ,21.0
1.121257175, Sport: ,Soccer, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Limerick v Shamrock Rovers, Favorite: ,Shamrock Rovers, 184325   size:3.6,Price: ,1.96,Limerick, 385757   size:5.62,Price: ,4.2,The Draw, 58805   size:4.93,Price: ,3.85
1.121362319, Sport: ,Basketball, Time: ,Fri Oct 23 10:15:00 CEST 2015, Time: ,Fri Oct 23 10:15:00 CEST 2015, Event: ,Blackwater Elite v NLEX Road Warriors, Favorite: ,NLEX Road Warriors, 8911710   size:179.0,Price: ,1.28,Blackwater Elite, 8911707   size:46.21,Price: ,4.0
1.121434641, Sport: ,Tennis, Time: ,Fri Oct 23 12:30:00 CEST 2015, Time: ,Fri Oct 23 12:30:00 CEST 2015, Event: ,Kr Pliskova v Shapatava, Favorite: ,Kristyna Pliskova, 2403863   size:71.36,Price: ,1.33,Sofia Shapatava, 3375695   size:80.18,Price: ,3.25
