1.121649293, Sport: ,Ice Hockey, Time: ,Thu Nov 12 19:45:00 CET 2015, Time: ,Thu Nov 12 19:45:00 CET 2015, Event: ,Geneve Servette v ZSC Lions, Favorite: ,ZSC Lions, 243260   size:2.14,Price: ,2.32,Geneve Servette, 4932959   size:58.01,Price: ,2.56,Tie, 60104   size:34.56,Price: ,4.3,x
1.121766493, Sport: ,Basketball, Time: ,Fri Nov 13 04:35:00 CET 2015, Time: ,Fri Nov 13 04:35:00 CET 2015, Event: ,LA Clippers @ Phoenix, Favorite: ,LA Clippers, 237489   size:24.97,Price: ,1.77,Phoenix, 13128   size:9.53,Price: ,2.28,x
1.121653809, Sport: ,Soccer, Time: ,Thu Nov 12 21:00:00 CET 2015, Time: ,Thu Nov 12 21:00:00 CET 2015, Event: ,Bolivia v Venezuela, Favorite: ,Bolivia, 61303   size:6831.99,Price: ,1.97,Venezuela, 15302   size:843.05,Price: ,4.4,The Draw, 58805   size:1251.48,Price: ,3.65,ok
1.121771240, Sport: ,Tennis, Time: ,Fri Nov 13 01:00:00 CET 2015, Time: ,Fri Nov 13 01:00:00 CET 2015, Event: ,Sandgren v Rola, Favorite: ,Blaz Rola, 8174357   size:50.45,Price: ,1.84,Tennys Sandgren, 6604266   size:25.99,Price: ,2.06,x
1.121805920, Sport: ,Snooker, Time: ,Thu Nov 12 20:00:00 CET 2015, Time: ,Thu Nov 12 20:00:00 CET 2015, Event: ,Y Bingtao v N Robertson, Favorite: ,Neil Robertson, 2278787   size:35.31,Price: ,1.18,Yan Bingtao, 7359272   size:4.23,Price: ,5.0,ok
1.121733725, Sport: ,Basketball, Time: ,Thu Nov 12 20:15:00 CET 2015, Time: ,Thu Nov 12 20:15:00 CET 2015, Event: ,Maccabi Tel Aviv v Darussafaka, Favorite: ,Darussafaka, 631285   size:2.82,Price: ,1.03,Maccabi Tel Aviv, 266273   size:42.37,Price: ,1.33,ok
1.121696061, Sport: ,Ice Hockey, Time: ,Fri Nov 13 01:00:00 CET 2015, Time: ,Fri Nov 13 01:00:00 CET 2015, Event: ,Minnesota @ Carolina, Favorite: ,Minnesota, 2109894   size:14.1,Price: ,2.42,Carolina, 2108027   size:92.99,Price: ,2.88,Tie, 60104   size:294.0,Price: ,3.8,x
1.121696220, Sport: ,Ice Hockey, Time: ,Fri Nov 13 04:30:00 CET 2015, Time: ,Fri Nov 13 04:30:00 CET 2015, Event: ,NY Islanders @ Los Angeles, Favorite: ,Los Angeles, 2112286   size:346.0,Price: ,2.28,NY Islanders, 60105   size:120.59,Price: ,3.0,Tie, 60104   size:319.0,Price: ,3.9,ok
1.121759612, Sport: ,Soccer, Time: ,Thu Nov 12 23:30:00 CET 2015, Time: ,Thu Nov 12 23:30:00 CET 2015, Event: ,Deportivo La Guaira v Mineros Guayana, Favorite: ,Deportivo La Guaira, 7658015   size:31.21,Price: ,1.82,Mineros Guayana, 7456728   size:7.79,Price: ,4.9,The Draw, 58805   size:51.1,Price: ,3.9,x
1.121696068, Sport: ,Ice Hockey, Time: ,Fri Nov 13 01:30:00 CET 2015, Time: ,Fri Nov 13 01:30:00 CET 2015, Event: ,Vancouver @ Ottawa, Favorite: ,Vancouver, 2109691   size:106.0,Price: ,2.58,Ottawa, 2108072   size:95.0,Price: ,2.6,Tie, 60104   size:106.03,Price: ,4.1,x
1.121759331, Sport: ,Tennis, Time: ,Thu Nov 12 19:43:00 CET 2015, Time: ,Thu Nov 12 19:43:00 CET 2015, Event: ,Sonego v R Ram, Favorite: ,Rajeev Ram, 2488011   size:159.72,Price: ,1.82,Lorenzo Sonego, 8826925   size:364.54,Price: ,2.16,ok
1.121654222, Sport: ,Soccer, Time: ,Thu Nov 12 20:00:00 CET 2015, Time: ,Thu Nov 12 20:00:00 CET 2015, Event: ,Morocco v Equatorial Guinea, Favorite: ,Morocco, 75103   size:150.0,Price: ,1.25,Equatorial Guinea, 2110436   size:35.29,Price: ,25.0,The Draw, 58805   size:46.24,Price: ,6.2,ok
1.121766776, Sport: ,Basketball, Time: ,Thu Nov 12 23:00:00 CET 2015, Time: ,Thu Nov 12 23:00:00 CET 2015, Event: ,Mogi v Pinheiros, Favorite: ,Mogi, 8948840   size:10.52,Price: ,1.4,Pinheiros, 6733502   size:16.31,Price: ,3.3,ok
1.121743316, Sport: ,American Football, Time: ,Fri Nov 13 01:30:00 CET 2015, Time: ,Fri Nov 13 01:30:00 CET 2015, Event: ,Virginia Tech @ Georgia Tech, Favorite: ,Georgia Tech, 588240   size:2.72,Price: ,1.74,Virginia Tech, 484728   size:5.56,Price: ,2.16,x
1.121759890, Sport: ,Tennis, Time: ,Fri Nov 13 00:45:00 CET 2015, Time: ,Fri Nov 13 00:45:00 CET 2015, Event: ,Clezar v F Arguello, Favorite: ,Facundo Arguello, 6129383   size:21.39,Price: ,1.6,Guilherme Clezar, 5304142   size:98.07,Price: ,2.44,x
1.121766777, Sport: ,Basketball, Time: ,Thu Nov 12 23:00:00 CET 2015, Time: ,Thu Nov 12 23:00:00 CET 2015, Event: ,Sao Jose v Caxias do Sul, Favorite: ,Sao Jose, 7072335   size:90.96,Price: ,1.24,Caxias do Sul, 10484471   size:8.68,Price: ,4.4,x
1.121766774, Sport: ,Basketball, Time: ,Thu Nov 12 23:00:00 CET 2015, Time: ,Thu Nov 12 23:00:00 CET 2015, Event: ,Brasilia v Franca, Favorite: ,Brasilia, 8948838   size:2.82,Price: ,1.03,Franca, 8948836   size:2.82,Price: ,1.03,x
1.121760994, Sport: ,Darts, Time: ,Thu Nov 12 23:00:00 CET 2015, Time: ,Thu Nov 12 23:00:00 CET 2015, Event: ,Martin Adams v Kim Huybrechts, Favorite: ,Kim Huybrechts, 5707918   size:4.93,Price: ,1.56,Martin Adams, 2650132   size:11.18,Price: ,2.7,ok
1.121665677, Sport: ,Soccer, Time: ,Fri Nov 13 01:00:00 CET 2015, Time: ,Fri Nov 13 01:00:00 CET 2015, Event: ,Argentina v Brazil, Favorite: ,Argentina, 55212   size:114.31,Price: ,2.8,Brazil, 1408   size:236.15,Price: ,2.92,The Draw, 58805   size:3391.09,Price: ,3.3,x
1.121747300, Sport: ,Basketball, Time: ,Thu Nov 12 19:45:00 CET 2015, Time: ,Thu Nov 12 19:45:00 CET 2015, Event: ,Uni Girona (W) v Ekaterinburg (W), Favorite: ,Ekaterinburg (W), 6068594   size:0.0,Price: ,0.0,Uni Girona (W), 10411231   size:2.56,Price: ,1.12,ok
1.121733659, Sport: ,Basketball, Time: ,Fri Nov 13 00:00:00 CET 2015, Time: ,Fri Nov 13 00:00:00 CET 2015, Event: ,Boca Jrs v Argentino, Favorite: ,Boca Jrs, 6719112   size:11.07,Price: ,1.29,Argentino, 6719106   size:8.0,Price: ,4.0,x
1.121770854, Sport: ,Tennis, Time: ,Thu Nov 12 20:05:00 CET 2015, Time: ,Thu Nov 12 20:05:00 CET 2015, Event: ,Caro Garcia v Hogenkamp, Favorite: ,Caroline Garcia, 5248977   size:14319.71,Price: ,1.05,Richel Hogenkamp, 6440521   size:115.17,Price: ,15.0,ok
1.121696196, Sport: ,Ice Hockey, Time: ,Fri Nov 13 03:00:00 CET 2015, Time: ,Fri Nov 13 03:00:00 CET 2015, Event: ,Edmonton @ Arizona, Favorite: ,Arizona, 8867880   size:26.97,Price: ,2.34,Edmonton, 2109967   size:540.0,Price: ,2.8,Tie, 60104   size:334.0,Price: ,3.9,ok
1.121747337, Sport: ,Basketball, Time: ,Thu Nov 12 20:30:00 CET 2015, Time: ,Thu Nov 12 20:30:00 CET 2015, Event: ,DIKE Napoli (W) v Miskolc (W), Favorite: ,DIKE Napoli (W), 10466214   size:16.36,Price: ,1.62,Miskolc (W), 8997162   size:10.61,Price: ,2.1,x
