1.121113810, Sport: ,Soccer, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Crusaders v Institute, Favorite: ,Institute, 539983   size:2.6,Price: ,1.12,Crusaders, 539982   size:27.01,Price: ,1.2,The Draw, 58805   size:3.44,Price: ,7.2,x
1.121115039, Sport: ,Ice Hockey, Time: ,Thu Oct 15 02:05:00 CEST 2015, Time: ,Thu Oct 15 02:05:00 CEST 2015, Event: ,Chicago @ Philadelphia, Favorite: ,Chicago, 2109831   size:2.87,Price: ,2.14,Philadelphia, 2109791   size:2.19,Price: ,2.8,Tie, 60104   size:7.34,Price: ,3.7,x
1.121225408, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Hirnyk-Sport v Hirnyk, Favorite: ,Hirnyk, 7709692   size:2.34,Price: ,2.14,Hirnyk-Sport, 4994300   size:5.0,Price: ,2.38,The Draw, 58805   size:6.67,Price: ,2.96,x
1.121110143, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Varda SE v Bekescsaba, Favorite: ,Varda SE, 7615839   size:3.51,Price: ,1.07,Bekescsaba, 505949   size:3.51,Price: ,1.07,The Draw, 58805   size:30.0,Price: ,1.4,x
1.121224397, Sport: ,Tennis, Time: ,Wed Oct 14 09:00:00 CEST 2015, Time: ,Wed Oct 14 09:00:00 CEST 2015, Event: ,Arruabarrena v Gavrilova, Favorite: ,Daria Gavrilova, 5053424   size:273.68,Price: ,1.58,Lara Arruabarrena, 7137471   size:9.62,Price: ,2.7,ok
1.121110308, Sport: ,Soccer, Time: ,Wed Oct 14 15:15:00 CEST 2015, Time: ,Wed Oct 14 15:15:00 CEST 2015, Event: ,Kozarmisleny v Diosgyori, Favorite: ,Diosgyori, 2018266   size:3.27,Price: ,1.53,Kozarmisleny, 4182840   size:7.55,Price: ,5.0,The Draw, 58805   size:16.44,Price: ,3.55,x
1.121113818, Sport: ,Soccer, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Dungannon Swifts v Cliftonville, Favorite: ,Cliftonville, 539979   size:3.62,Price: ,1.58,Dungannon Swifts, 623959   size:66.76,Price: ,5.0,The Draw, 58805   size:94.82,Price: ,3.9,x
1.121113812, Sport: ,Soccer, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Limavady Utd v Ballymena, Favorite: ,Ballymena, 539985   size:3.51,Price: ,1.07,Limavady Utd, 539980   size:5.7,Price: ,1.28,The Draw, 58805   size:2.54,Price: ,1.39,ok
1.121113814, Sport: ,Soccer, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Coleraine v HW Welders, Favorite: ,Coleraine, 166863   size:3.51,Price: ,1.07,HW Welders, 4435926   size:5.7,Price: ,1.24,The Draw, 58805   size:2.54,Price: ,1.39,x
1.121195692, Sport: ,Tennis, Time: ,Wed Oct 14 15:45:00 CEST 2015, Time: ,Wed Oct 14 15:45:00 CEST 2015, Event: ,Duckworth/Nguyen v Le/Vu, Favorite: ,Duckworth/Nguyen, 10407906   size:131.47,Price: ,1.02,Le/Vu, 10407907   size:4.38,Price: ,8.2,ok
