1.119809225, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,Lietava Jonava v FBK Kaunas, Favorite: ,FBK Kaunas, 180566   size:20.91,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119803004, Sport: ,Soccer, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,Shurtan v Neftchi Fargona, Favorite: ,Neftchi Fargona, 4170422   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119725792, Sport: ,Soccer, Time: ,Sun Aug 02 20:30:00 CEST 2015, Time: ,Sun Aug 02 20:30:00 CEST 2015, Event: ,Bassano Virtus v Pontedera, Favorite: ,Bassano Virtus, 3260780   size:2.55,Price: ,1.83,The Draw, 58805   size:2.83,Price: ,3.7,Pontedera, 5727544   size:8.19,Price: ,4.8,ok
1.119667229, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Groningen v PSV, Favorite: ,PSV, 48451   size:157.67,Price: ,1.49,The Draw, 58805   size:56.1,Price: ,4.9,Groningen, 48450   size:102.46,Price: ,7.2,ok
1.119818940, Sport: ,Tennis, Time: ,Sun Aug 02 19:00:00 CEST 2015, Time: ,Sun Aug 02 19:00:00 CEST 2015, Event: ,Uchiyama v Millman, Favorite: ,John Millman, 4415206   size:8.68,Price: ,1.31,Yasutaka Uchiyama, 5858048   size:61.46,Price: ,4.0,ok
1.119664510, Sport: ,Soccer, Time: ,Sun Aug 02 20:00:00 CEST 2015, Time: ,Sun Aug 02 20:00:00 CEST 2015, Event: ,Oud-Heverlee Leuven v Anderlecht, Favorite: ,Anderlecht, 58163   size:562.8,Price: ,1.63,The Draw, 58805   size:100.76,Price: ,4.3,Oud-Heverlee Leuven, 1311877   size:42.01,Price: ,6.2,ok
1.119815550, Sport: ,Tennis, Time: ,Sun Aug 02 15:15:00 CEST 2015, Time: ,Sun Aug 02 15:15:00 CEST 2015, Event: ,Struff v Kovalik, Favorite: ,Jan-Lennard Struff, 8259098   size:35.39,Price: ,1.56,Jozef Kovalik, 7287668   size:29.86,Price: ,2.5,ok
1.119663786, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,FC Koln v Valencia, Favorite: ,Valencia, 66183   size:26.7,Price: ,2.38,FC Koln, 44783   size:13.53,Price: ,3.1,The Draw, 58805   size:30.24,Price: ,3.45,x
1.119661004, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Lillestrom v Sandefjord, Favorite: ,Lillestrom, 10770   size:935.44,Price: ,1.67,The Draw, 58805   size:8.36,Price: ,4.4,Sandefjord, 199646   size:227.69,Price: ,5.6,ok
1.119644341, Sport: ,Soccer, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,Valbo FF v Bodens, Favorite: ,Bodens, 780884   size:2.31,Price: ,1.57,Valbo FF, 9371557   size:4.7,Price: ,4.2,The Draw, 58805   size:2.55,Price: ,4.3,x
