1.119741378, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Estudiantes de San Luis v Douglas Haig, Favorite: ,Estudiantes de San Luis, 9229724   size:2.55,Price: ,2.42,The Draw, 58805   size:10.43,Price: ,2.96,Douglas Haig, 6570644   size:2.55,Price: ,3.45,x
1.119804517, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,CSKA Sofia v FC Ashdod, Favorite: ,FC Ashdod, 6145706   size:4025.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,ok
1.119659578, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,Rynninge v IK Gauthiod, Favorite: ,IK Gauthiod, 6290360   size:5.16,Price: ,2.08,Rynninge, 384092   size:4.34,Price: ,2.48,The Draw, 58805   size:3.2,Price: ,3.35,ok
1.119736586, Sport: ,Volleyball, Time: ,Sun Aug 02 10:30:00 CEST 2015, Time: ,Sun Aug 02 10:30:00 CEST 2015, Event: ,South Korea v Pakistan, Favorite: ,South Korea, 1538770   size:176.77,Price: ,1.09,Pakistan, 6438762   size:30.84,Price: ,7.6,ok
1.119736588, Sport: ,Volleyball, Time: ,Sun Aug 02 12:30:00 CEST 2015, Time: ,Sun Aug 02 12:30:00 CEST 2015, Event: ,Thailand v Oman, Favorite: ,Thailand, 1243242   size:291.28,Price: ,1.02,Oman, 7712695   size:18.0,Price: ,1.81,ok
1.119804871, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Mirandela v Guimaraes B, Favorite: ,Guimaraes B, 6563316   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119784665, Sport: ,Basketball, Time: ,Sun Aug 02 12:00:00 CEST 2015, Time: ,Sun Aug 02 12:00:00 CEST 2015, Event: ,Poland v Czech Republic, Favorite: ,Czech Republic, 1228989   size:255.99,Price: ,1.02,Poland, 1228596   size:66.0,Price: ,1.06,x
1.119659570, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Eskilstuna City v Konyaspor KIF, Favorite: ,Eskilstuna City, 6163989   size:2.67,Price: ,1.29,The Draw, 58805   size:2.02,Price: ,4.7,Konyaspor KIF, 6419265   size:16.61,Price: ,5.7,x
1.119811291, Sport: ,Tennis, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,Lipovsek Puches v Rafael Matos, Favorite: ,Tomas Lipovsek Puches, 8174492   size:2.55,Price: ,1.52,Rafael Matos, 8842507   size:7.56,Price: ,2.24,ok
1.119804077, Sport: ,Soccer, Time: ,Sun Aug 02 10:30:00 CEST 2015, Time: ,Sun Aug 02 10:30:00 CEST 2015, Event: ,FC Banik Ostrava U21 v FK Jablonec 97 U21, Favorite: ,FC Banik Ostrava U21, 6550998   size:45.87,Price: ,1.45,The Draw, 58805   size:16.85,Price: ,5.0,FK Jablonec 97 U21, 6551136   size:11.66,Price: ,5.7,x
1.119801120, Sport: ,Soccer, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,Ararat Yerevan v FC Ulisses, Favorite: ,Ararat Yerevan, 46920   size:19.13,Price: ,1.03,FC Ulisses, 6501910   size:16.12,Price: ,1.97,The Draw, 58805   size:12.5,Price: ,3.25,ok
1.119699910, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Mafra v Leixoes, Favorite: ,Mafra, 2268747   size:2.55,Price: ,2.6,Leixoes, 146050   size:8.67,Price: ,2.88,The Draw, 58805   size:3.55,Price: ,3.35,x
1.119812388, Sport: ,Tennis, Time: ,Sun Aug 02 12:45:00 CEST 2015, Time: ,Sun Aug 02 12:45:00 CEST 2015, Event: ,Zekic v C Ramirez, Favorite: ,Miljan Zekic, 7444811   size:2.84,Price: ,1.03,Cesar Ramirez, 2863142   size:7.28,Price: ,1.07,x
1.119664490, Sport: ,Soccer, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,Jagiellonia Bialystock v Zaglebie Lubin, Favorite: ,Jagiellonia Bialystock, 7391394   size:21.09,Price: ,2.32,The Draw, 58805   size:178.24,Price: ,3.4,Zaglebie Lubin, 166904   size:28.65,Price: ,3.45,x
1.119802327, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,BEC Tero Sasana v Sisaket, Favorite: ,BEC Tero Sasana, 7391108   size:16.49,Price: ,1.64,The Draw, 58805   size:27.87,Price: ,3.8,Sisaket, 7619553   size:12.28,Price: ,6.6,x
1.119659582, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Skovde AIK v Stenungsunds IF, Favorite: ,Skovde AIK, 2382929   size:2.55,Price: ,1.37,The Draw, 58805   size:4.39,Price: ,4.9,Stenungsunds IF, 2388699   size:24.5,Price: ,5.2,ok
1.119807338, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Santiago Wanderers v Union La Calera, Favorite: ,Santiago Wanderers, 913363   size:23.8,Price: ,1.75,The Draw, 58805   size:33.7,Price: ,4.0,Union La Calera, 5271439   size:23.88,Price: ,5.1,ok
1.119801591, Sport: ,Soccer, Time: ,Sun Aug 02 11:15:00 CEST 2015, Time: ,Sun Aug 02 11:15:00 CEST 2015, Event: ,Pachanga Diliman v Manila Jeepney, Favorite: ,Manila Jeepney, 9238040   size:2.55,Price: ,2.42,The Draw, 58805   size:2.84,Price: ,4.4,x
1.119638226, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,Velbert v FC Koln II, Favorite: ,FC Koln II, 5288926   size:11.25,Price: ,1.08,Velbert, 516223   size:3.74,Price: ,2.94,The Draw, 58805   size:2.55,Price: ,3.4,x
1.119801233, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,CA Bragantino U20 v RB Brasil U20, Favorite: ,RB Brasil U20, 10103846   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,ok
1.119659586, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Varmdo IF v IK Sleipner, Favorite: ,IK Sleipner, 804930   size:2.18,Price: ,1.61,The Draw, 58805   size:3.02,Price: ,3.55,Varmdo IF, 4638397   size:3.29,Price: ,4.6,ok
1.119812155, Sport: ,Tennis, Time: ,Sun Aug 02 11:00:00 CEST 2015, Time: ,Sun Aug 02 11:00:00 CEST 2015, Event: ,Cornea v P Davydenko, Favorite: ,Philipp Davydenko, 7429697   size:14.18,Price: ,1.54,Vlad Victor Cornea, 8574157   size:3.57,Price: ,2.4,ok
1.119659580, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Sandvikens v Enskede, Favorite: ,Sandvikens, 792229   size:2.55,Price: ,1.88,Enskede, 788771   size:4.43,Price: ,2.9,The Draw, 58805   size:2.75,Price: ,3.45,x
1.119662620, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,China v South Korea, Favorite: ,China, 51089   size:33.08,Price: ,2.44,The Draw, 58805   size:11.29,Price: ,3.3,South Korea, 47965   size:301.34,Price: ,3.35,x
