1.121351480, Sport: ,Basketball, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Rain or Shine v Purefoods Hotshots, Favorite: ,Rain Or Shine, 3880438   size:3.6,Price: ,1.71,Purefoods Hotshots, 9581251   size:2.55,Price: ,2.2,ok
1.121355563, Sport: ,Soccer, Time: ,Wed Oct 21 15:00:00 CEST 2015, Time: ,Wed Oct 21 15:00:00 CEST 2015, Event: ,FC Stumbras v Utenis Utena, Favorite: ,FC Stumbras, 7661326   size:44.04,Price: ,1.81,Utenis Utena, 9284713   size:3.0,Price: ,2.84,The Draw, 58805   size:53.73,Price: ,3.35,ok
1.121375810, Sport: ,Tennis, Time: ,Wed Oct 21 14:45:00 CEST 2015, Time: ,Wed Oct 21 14:45:00 CEST 2015, Event: ,Sevastova v Ka Pliskova, Favorite: ,Karolina Pliskova, 6199453   size:440.43,Price: ,1.33,Anastasija Sevastova, 2422070   size:20.29,Price: ,3.55,x
1.121362120, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Maria v Barthel, Favorite: ,Mona Barthel, 5056975   size:359.2,Price: ,1.27,Tatjana Maria, 7299657   size:197.96,Price: ,4.4,ok
1.121346456, Sport: ,Ice Hockey, Time: ,Wed Oct 21 03:05:00 CEST 2015, Time: ,Wed Oct 21 03:05:00 CEST 2015, Event: ,Washington @ Calgary, Favorite: ,Washington, 2109756   size:350.14,Price: ,2.26,Calgary, 975675   size:6.93,Price: ,2.94,Tie, 60104   size:322.06,Price: ,4.3,ok
1.121362889, Sport: ,Tennis, Time: ,Wed Oct 21 13:30:00 CEST 2015, Time: ,Wed Oct 21 13:30:00 CEST 2015, Event: ,P Cuevas v R Haase, Favorite: ,Pablo Cuevas, 2424953   size:109.25,Price: ,1.69,Robin Haase, 2309796   size:108.01,Price: ,2.26,x
1.121362521, Sport: ,Basketball, Time: ,Wed Oct 21 04:00:00 CEST 2015, Time: ,Wed Oct 21 04:00:00 CEST 2015, Event: ,Oklahoma City @ Utah, Favorite: ,Oklahoma City, 3363394   size:262.33,Price: ,1.52,Utah, 13119   size:29.0,Price: ,2.7,ok
1.121233219, Sport: ,Soccer, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,Juventus U19 v Mgladbach U19, Favorite: ,Juventus U19, 2502329   size:3.28,Price: ,1.79,Mgladbach U19, 6327659   size:8.66,Price: ,2.58,The Draw, 58805   size:42.28,Price: ,4.1,ok
1.121232889, Sport: ,Soccer, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Atletico Madrid U19 v FC Astana U19, Favorite: ,Atletico Madrid U19, 10261955   size:12040.09,Price: ,1.01,FC Astana U19, 10261996   size:2.87,Price: ,85.0,The Draw, 58805   size:4.0,Price: ,100.0,ok
1.121353651, Sport: ,Soccer, Time: ,Wed Oct 21 03:00:00 CEST 2015, Time: ,Wed Oct 21 03:00:00 CEST 2015, Event: ,Uni Cesar Vallejo v Sporting Cristal, Favorite: ,Uni Cesar Vallejo, 4897906   size:49.02,Price: ,2.26,Sporting Cristal, 328696   size:54.45,Price: ,3.2,The Draw, 58805   size:63.11,Price: ,3.85,x
1.121346450, Sport: ,Ice Hockey, Time: ,Wed Oct 21 02:05:00 CEST 2015, Time: ,Wed Oct 21 02:05:00 CEST 2015, Event: ,Tampa Bay @ Nashville, Favorite: ,Nashville, 2109832   size:277.0,Price: ,2.1,Tampa Bay, 2109715   size:20.07,Price: ,2.32,Tie, 60104   size:220.08,Price: ,3.0,x
1.121350823, Sport: ,Basketball, Time: ,Wed Oct 21 03:00:00 CEST 2015, Time: ,Wed Oct 21 03:00:00 CEST 2015, Event: ,La Union v Instituto Atletico Cent, Favorite: ,La Union, 6343998   size:4.31,Price: ,1.43,Instituto Atletico Cent, 10346458   size:181.19,Price: ,3.05,x
1.121356006, Sport: ,Soccer, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,MSK Zilina U19 v Dunajska Streda U19, Favorite: ,MSK Zilina U19, 7313728   size:3.76,Price: ,1.33,Dunajska Streda U19, 10210805   size:3.0,Price: ,3.35,The Draw, 58805   size:12.21,Price: ,3.0,x
1.121355676, Sport: ,Soccer, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,Metalurg Skopje v Shkendija, Favorite: ,Shkendija, 8654501   size:136.53,Price: ,1.29,Metalurg Skopje, 4807181   size:29.94,Price: ,5.8,The Draw, 58805   size:44.92,Price: ,3.9,ok
1.121332610, Sport: ,Tennis, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Rojer/Tecau v Huey/Kontinen, Favorite: ,Rojer/Tecau, 8176467   size:2.55,Price: ,1.53,Huey/Kontinen, 10300311   size:2.55,Price: ,2.48,ok
1.121360890, Sport: ,Tennis, Time: ,Wed Oct 21 15:15:00 CEST 2015, Time: ,Wed Oct 21 15:15:00 CEST 2015, Event: ,Troicki v Gabashvili, Favorite: ,Viktor Troicki, 2263624   size:53.99,Price: ,1.67,Teymuraz Gabashvili, 4877292   size:5.0,Price: ,2.38,x
1.121362150, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Ramialison v Schnyder, Favorite: ,Patty Schnyder, 4843506   size:102.04,Price: ,1.4,Irina Ramialison, 7289605   size:91.41,Price: ,3.25,x
1.121362152, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Eraydin v Georges, Favorite: ,Myrtille Georges, 7283251   size:5.72,Price: ,1.23,Basak Eraydin, 4874442   size:5.0,Price: ,4.9,x
1.121233827, Sport: ,Soccer, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,AC Sparta Praha U19 v FC Zbrojovka Brno U19, Favorite: ,AC Sparta Praha U19, 6533101   size:3.76,Price: ,1.33,FC Zbrojovka Brno U19, 6573638   size:4.11,Price: ,4.4,The Draw, 58805   size:11.41,Price: ,3.5,ok
1.121060476, Sport: ,Cricket, Time: ,Wed Oct 21 03:30:00 CEST 2015, Time: ,Wed Oct 21 03:30:00 CEST 2015, Event: ,Ireland U19 v Nepal U19, Favorite: ,Ireland U19, 10380956   size:2.61,Price: ,1.38,Nepal U19, 8149307   size:2.43,Price: ,2.06,x
1.121120229, Sport: ,Volleyball, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Incheon Korean Air Jumb v Seoul Woori Card Hansae, Favorite: ,Incheon Korean Air Jumb, 10389010   size:2774.55,Price: ,1.01,Seoul Woori Card Hansae, 10391680   size:74.83,Price: ,2.18,x
