1.121121817, Sport: ,Soccer, Time: ,Fri Oct 16 20:30:00 CEST 2015, Time: ,Fri Oct 16 20:30:00 CEST 2015, Event: ,Austria Klagenfurt v LASK Linz, Favorite: ,LASK Linz, 453570   size:4.99,Price: ,1.95,Austria Klagenfurt, 4902204   size:41.37,Price: ,4.2,The Draw, 58805   size:2.64,Price: ,3.7,x
1.121224629, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Gentofte v Frederikshavn, Favorite: ,Gentofte, 8834861   size:2.46,Price: ,1.1,Frederikshavn, 70626   size:2.46,Price: ,1.1,Tie, 60104   size:31.62,Price: ,5.3,x
1.121228909, Sport: ,Basketball, Time: ,Fri Oct 16 14:00:00 CEST 2015, Time: ,Fri Oct 16 14:00:00 CEST 2015, Event: ,Maccabi Haifa v Ironi Nahariya, Favorite: ,Maccabi Haifa, 4953243   size:5.71,Price: ,1.13,Ironi Nahariya, 8894680   size:30.29,Price: ,1.34,ok
1.121241983, Sport: ,Soccer, Time: ,Fri Oct 16 16:00:00 CEST 2015, Time: ,Fri Oct 16 16:00:00 CEST 2015, Event: ,Veracruz U20 v Club Santos Laguna U20, Favorite: ,Veracruz U20, 8270292   size:3.51,Price: ,1.07,Club Santos Laguna U20, 6144871   size:3.51,Price: ,1.07,The Draw, 58805   size:2.58,Price: ,1.39,x
1.121244415, Sport: ,Ice Hockey, Time: ,Sat Oct 17 04:30:00 CEST 2015, Time: ,Sat Oct 17 04:30:00 CEST 2015, Event: ,Minnesota @ Los Angeles, Favorite: ,Los Angeles, 2112286   size:87.85,Price: ,2.0,Minnesota, 2109894   size:200.0,Price: ,2.4,Tie, 60104   size:111.0,Price: ,3.35,x
1.121240659, Sport: ,Soccer, Time: ,Fri Oct 16 11:00:00 CEST 2015, Time: ,Fri Oct 16 11:00:00 CEST 2015, Event: ,FK Jablonec 97 U21 v FK Teplice U21, Favorite: ,FK Jablonec 97 U21, 6551136   size:5.22,Price: ,1.9,FK Teplice U21, 6563632   size:4.5,Price: ,3.4,The Draw, 58805   size:4.99,Price: ,4.0,x
1.121121183, Sport: ,Soccer, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Drochtersen-Assel v Lubeck, Favorite: ,Drochtersen-Assel, 9988838   size:36.7,Price: ,2.56,Lubeck, 199183   size:28.79,Price: ,2.76,The Draw, 58805   size:13.86,Price: ,3.45,x
1.121271170, Sport: ,Tennis, Time: ,Fri Oct 16 10:30:00 CEST 2015, Time: ,Fri Oct 16 10:30:00 CEST 2015, Event: ,Lacko v Berankis, Favorite: ,Ricardas Berankis, 2923248   size:71.56,Price: ,1.95,Lukas Lacko, 2263634   size:25.83,Price: ,2.02,x
1.121121181, Sport: ,Soccer, Time: ,Fri Oct 16 20:00:00 CEST 2015, Time: ,Fri Oct 16 20:00:00 CEST 2015, Event: ,Vendee Les Herbiers v Sedan, Favorite: ,Vendee Les Herbiers, 4421448   size:3.51,Price: ,2.56,Sedan, 44792   size:18.36,Price: ,3.25,The Draw, 58805   size:4.57,Price: ,3.0,x
1.121244410, Sport: ,Ice Hockey, Time: ,Sat Oct 17 04:00:00 CEST 2015, Time: ,Sat Oct 17 04:00:00 CEST 2015, Event: ,Colorado @ Anaheim, Favorite: ,Colorado, 2108117   size:12.3,Price: ,1.02,Anaheim, 60109   size:107.14,Price: ,1.82,Tie, 60104   size:12.3,Price: ,1.02,ok
