1.119399047, Sport: ,Soccer, Time: ,Sat Jul 11 22:15:00 CEST 2015, Time: ,Sat Jul 11 22:15:00 CEST 2015, Event: ,Envigado v Cortulua, Favorite: ,Envigado, 5180320   size:2.66,Price: ,1.77,The Draw, 58805   size:3.76,Price: ,3.8,Cortulua, 9188271   size:3.08,Price: ,4.3,x
1.119439329, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Alloa v Keith, Favorite: ,Alloa, 203715   size:5.71,Price: ,1.15,The Draw, 58805   size:56.56,Price: ,6.0,Keith, 284609   size:35.31,Price: ,10.0,ok
1.119350960, Sport: ,Soccer, Time: ,Sat Jul 11 17:00:00 CEST 2015, Time: ,Sat Jul 11 17:00:00 CEST 2015, Event: ,Fjardabyggd v Vikingur Olafsvik, Favorite: ,Vikingur Olafsvik, 3965659   size:20.81,Price: ,2.48,Fjardabyggd, 3968878   size:7.78,Price: ,2.96,The Draw, 58805   size:2.76,Price: ,3.55,x
1.119386771, Sport: ,Soccer, Time: ,Sat Jul 11 17:30:00 CEST 2015, Time: ,Sat Jul 11 17:30:00 CEST 2015, Event: ,Viitorul Constanta v CFR Cluj, Favorite: ,Viitorul Constanta, 5431165   size:2.78,Price: ,2.48,The Draw, 58805   size:27.28,Price: ,3.25,x
1.119353556, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Lancaster City v Blackpool, Favorite: ,Blackpool, 64964   size:5.71,Price: ,1.29,The Draw, 58805   size:77.24,Price: ,4.6,Lancaster City, 1034137   size:46.34,Price: ,7.0,x
1.119353318, Sport: ,Soccer, Time: ,Sat Jul 11 12:00:00 CEST 2015, Time: ,Sat Jul 11 12:00:00 CEST 2015, Event: ,G-Osaka v Kofu, Favorite: ,G-Osaka, 441083   size:1757.76,Price: ,1.46,The Draw, 58805   size:7.18,Price: ,4.6,Kofu, 1405179   size:4.44,Price: ,9.6,ok
1.119442966, Sport: ,Soccer, Time: ,Sat Jul 11 19:00:00 CEST 2015, Time: ,Sat Jul 11 19:00:00 CEST 2015, Event: ,Jagiellonia Bialystock v Dolcan Zabki, Favorite: ,Jagiellonia Bialystock, 7391394   size:3.13,Price: ,1.5,The Draw, 58805   size:6.88,Price: ,3.95,Dolcan Zabki, 4135276   size:74.14,Price: ,4.8,ok
1.119440301, Sport: ,Soccer, Time: ,Sat Jul 11 22:00:00 CEST 2015, Time: ,Sat Jul 11 22:00:00 CEST 2015, Event: ,Fortaleza (Col) v Depor FC, Favorite: ,Fortaleza (Col), 8220184   size:2.54,Price: ,1.26,The Draw, 58805   size:2.54,Price: ,4.6,Depor FC, 5519111   size:5.09,Price: ,10.0,ok
1.119350604, Sport: ,Soccer, Time: ,Sat Jul 11 13:45:00 CEST 2015, Time: ,Sat Jul 11 13:45:00 CEST 2015, Event: ,Jiangsu Sainty v Shandong Luneng, Favorite: ,Shandong Luneng, 2329275   size:4.98,Price: ,2.34,Jiangsu Sainty, 5440200   size:28.27,Price: ,3.15,The Draw, 58805   size:108.18,Price: ,3.65,ok
1.119355299, Sport: ,Soccer, Time: ,Sat Jul 11 14:00:00 CEST 2015, Time: ,Sat Jul 11 14:00:00 CEST 2015, Event: ,SC Viktoria 06 Griesheim v Kickers Offenbach, Favorite: ,Kickers Offenbach, 247869   size:137.66,Price: ,1.06,SC Viktoria 06 Griesheim, 9789251   size:10.54,Price: ,1.08,The Draw, 58805   size:5.5,Price: ,2.04,ok
1.119352461, Sport: ,Soccer, Time: ,Sat Jul 11 10:00:00 CEST 2015, Time: ,Sat Jul 11 10:00:00 CEST 2015, Event: ,Platinum Stars v Township Rollers FC, Favorite: ,Platinum Stars, 6919711   size:2.69,Price: ,1.63,Township Rollers FC, 9788908   size:2.66,Price: ,2.54,The Draw, 58805   size:2.66,Price: ,3.2,x
1.119444243, Sport: ,Soccer, Time: ,Sat Jul 11 19:00:00 CEST 2015, Time: ,Sat Jul 11 19:00:00 CEST 2015, Event: ,RKSV Wittenhorst v VVV, Favorite: ,VVV, 503419   size:18.52,Price: ,1.02,The Draw, 58805   size:2.78,Price: ,1.25,ok
1.119468455, Sport: ,Tennis, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Altamirano v R Balzerani, Favorite: ,Riccardo Balzerani, 9937063   size:43.95,Price: ,1.03,x
1.119350954, Sport: ,Soccer, Time: ,Sat Jul 11 19:00:00 CEST 2015, Time: ,Sat Jul 11 19:00:00 CEST 2015, Event: ,NK Zagreb v Osijek, Favorite: ,NK Zagreb, 189804   size:19.13,Price: ,1.98,The Draw, 58805   size:12.23,Price: ,3.7,Osijek, 16777   size:20.48,Price: ,4.0,x
1.119350038, Sport: ,Soccer, Time: ,Sat Jul 11 19:30:00 CEST 2015, Time: ,Sat Jul 11 19:30:00 CEST 2015, Event: ,Limerick v Galway Utd, Favorite: ,Galway Utd, 318841   size:8.65,Price: ,1.91,The Draw, 58805   size:513.62,Price: ,3.8,Limerick, 385757   size:33.51,Price: ,4.4,ok
1.119446676, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Juventud Unida Miguel v CA San Telmo, Favorite: ,CA San Telmo, 9487926   size:137.66,Price: ,1.06,The Draw, 58805   size:2.78,Price: ,1.25,x
1.119447525, Sport: ,Soccer, Time: ,Sat Jul 11 13:00:00 CEST 2015, Time: ,Sat Jul 11 13:00:00 CEST 2015, Event: ,FK Lashyn Taraz v FK Ekibastuz, Favorite: ,FK Ekibastuz, 7397604   size:10.54,Price: ,1.08,The Draw, 58805   size:5.5,Price: ,2.04,ok
1.119445107, Sport: ,Soccer, Time: ,Sat Jul 11 17:00:00 CEST 2015, Time: ,Sat Jul 11 17:00:00 CEST 2015, Event: ,VV UNA v FC Eindhoven, Favorite: ,FC Eindhoven, 503439   size:3.45,Price: ,1.36,The Draw, 58805   size:85.33,Price: ,4.3,VV UNA, 7598659   size:56.38,Price: ,6.0,ok
1.119445329, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Wrexham v Everton U21, Favorite: ,Everton U21, 6689709   size:5.22,Price: ,2.3,Wrexham, 63604   size:2.23,Price: ,2.6,The Draw, 58805   size:4.38,Price: ,3.45,ok
1.119412560, Sport: ,Soccer, Time: ,Sat Jul 11 22:00:00 CEST 2015, Time: ,Sat Jul 11 22:00:00 CEST 2015, Event: ,Misr El Makasa v Al Ittihad (EGY), Favorite: ,Misr El Makasa, 5905941   size:2.84,Price: ,1.97,The Draw, 58805   size:6.75,Price: ,3.25,Al Ittihad (EGY), 7023879   size:2.54,Price: ,3.7,ok
1.119328920, Sport: ,Mixed Martial Arts, Time: ,Sun Jul 12 04:00:00 CEST 2015, Time: ,Sun Jul 12 04:00:00 CEST 2015, Event: ,Mendes v McGregor, Favorite: ,Conor McGregor, 7135537   size:70.07,Price: ,1.55,Chad Mendes, 4654338   size:665.4,Price: ,2.74,ok
