1.122357969, Sport: ,Basketball, Time: ,Wed Dec 23 20:30:00 CET 2015, Time: ,Wed Dec 23 20:30:00 CET 2015, Event: ,Pesaro v Armani Milano, Favorite: ,Armani Milano, 952727   size:8.49,Price: ,1.27,Pesaro, 978668   size:9.28,Price: ,4.1,x
1.122323175, Sport: ,Handball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Eisenach v Bergischer, Favorite: ,Eisenach, 5833106   size:2.6,Price: ,1.65,Bergischer, 4500054   size:7.23,Price: ,2.94,Draw, 330157   size:3.18,Price: ,6.0,ok
1.122372818, Sport: ,Soccer, Time: ,Thu Dec 24 01:00:00 CET 2015, Time: ,Thu Dec 24 01:00:00 CET 2015, Event: ,Parham FC v Ottos Rangers FC, Favorite: ,Parham FC, 8031571   size:2.55,Price: ,1.21,Ottos Rangers FC, 9013816   size:9.25,Price: ,8.8,The Draw, 58805   size:15.95,Price: ,5.5,x
1.122302930, Sport: ,Soccer, Time: ,Wed Dec 23 20:30:00 CET 2015, Time: ,Wed Dec 23 20:30:00 CET 2015, Event: ,Livorno v Ascoli, Favorite: ,Livorno, 201326   size:217.52,Price: ,1.61,Ascoli, 201261   size:7.93,Price: ,7.8,The Draw, 58805   size:243.96,Price: ,3.9,x
1.122371454, Sport: ,Soccer, Time: ,Wed Dec 23 19:30:00 CET 2015, Time: ,Wed Dec 23 19:30:00 CET 2015, Event: ,CD Sarinena v CF Atletico Escalerillas, Favorite: ,CD Sarinena, 6415490   size:2.55,Price: ,1.9,CF Atletico Escalerillas, 10622043   size:2.61,Price: ,3.7,The Draw, 58805   size:2.63,Price: ,3.2,ok
1.122371733, Sport: ,Tennis, Time: ,Wed Dec 23 06:25:00 CET 2015, Time: ,Wed Dec 23 06:25:00 CET 2015, Event: ,Zhanlan Wei v Tori Kinard, Favorite: ,Tori Kinard, 6564416   size:3.01,Price: ,1.35,Zhanlan Wei, 10279165   size:2.27,Price: ,3.1,x
1.122364809, Sport: ,Basketball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Dabrowa Gornicza v Polpharma Starogard, Favorite: ,Dabrowa Gornicza, 8889616   size:3.08,Price: ,1.15,Polpharma Starogard, 2125690   size:16.85,Price: ,2.58,ok
1.122307944, Sport: ,Basketball, Time: ,Thu Dec 24 01:00:00 CET 2015, Time: ,Thu Dec 24 01:00:00 CET 2015, Event: ,Utah Valley @ Louisville, Favorite: ,Louisville, 332190   size:27.12,Price: ,1.01,Utah Valley, 4324485   size:3.0,Price: ,1.06,ok
1.122307948, Sport: ,Basketball, Time: ,Thu Dec 24 02:00:00 CET 2015, Time: ,Thu Dec 24 02:00:00 CET 2015, Event: ,New Mexico State @ Baylor, Favorite: ,New Mexico State, 719427   size:3.0,Price: ,1.06,Baylor, 705559   size:3.0,Price: ,1.06,x
1.122373077, Sport: ,Soccer, Time: ,Wed Dec 23 11:30:00 CET 2015, Time: ,Wed Dec 23 11:30:00 CET 2015, Event: ,Guardian Angel SC v Calangute SC, Favorite: ,Calangute SC, 8802811   size:2.48,Price: ,2.02,Guardian Angel SC, 10139588   size:2.65,Price: ,3.8,The Draw, 58805   size:3.0,Price: ,3.45,ok
1.122363459, Sport: ,Soccer, Time: ,Wed Dec 23 14:00:00 CET 2015, Time: ,Wed Dec 23 14:00:00 CET 2015, Event: ,Nepal v Sri Lanka, Favorite: ,Nepal, 4357666   size:22.02,Price: ,2.02,Sri Lanka, 920034   size:4.64,Price: ,4.1,The Draw, 58805   size:5.39,Price: ,3.2,x
1.122360620, Sport: ,Basketball, Time: ,Wed Dec 23 15:15:00 CET 2015, Time: ,Wed Dec 23 15:15:00 CET 2015, Event: ,Kolossus Rhodes v AEK Athens, Favorite: ,AEK Athens, 266282   size:8.49,Price: ,1.51,Kolossus Rhodes, 4278049   size:2.55,Price: ,2.68,ok
1.122360587, Sport: ,Basketball, Time: ,Wed Dec 23 17:30:00 CET 2015, Time: ,Wed Dec 23 17:30:00 CET 2015, Event: ,Lietkabelis v Nevezis, Favorite: ,Lietkabelis, 6214834   size:3.08,Price: ,1.05,Nevezis, 5154509   size:3.08,Price: ,1.05,ok
1.122360466, Sport: ,Basketball, Time: ,Thu Dec 24 02:05:00 CET 2015, Time: ,Thu Dec 24 02:05:00 CET 2015, Event: ,Milwaukee @ Philadelphia, Favorite: ,Milwaukee, 13115   size:2.55,Price: ,1.13,Philadelphia, 13103   size:2.38,Price: ,2.1,x
1.122357973, Sport: ,Basketball, Time: ,Wed Dec 23 20:45:00 CET 2015, Time: ,Wed Dec 23 20:45:00 CET 2015, Event: ,Dinamo Sassari v Reggio Emilia, Favorite: ,Dinamo Sassari, 5520916   size:2.55,Price: ,1.74,Reggio Emilia, 958950   size:2.55,Price: ,2.18,ok
