1.122431474, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CD Getxo v Pasala Kirol Elkartea, Favorite: ,CD Getxo, 7097874   size:5.27,Price: ,2.62,Pasala Kirol Elkartea, 9339252   size:2.24,Price: ,2.7,The Draw, 58805   size:4.44,Price: ,3.15,x
1.122446561, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Azuaga v CP Amanecer, Favorite: ,Azuaga, 10622040   size:4.26,Price: ,1.13,CP Amanecer, 10621823   size:5.0,Price: ,2.02,The Draw, 58805   size:5.0,Price: ,2.92,x
1.122446441, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,AD Sabinanigo v CD Illueca, Favorite: ,AD Sabinanigo, 6069401   size:9.22,Price: ,1.06,CD Illueca, 8923240   size:9.22,Price: ,1.06,The Draw, 58805   size:16.32,Price: ,2.88,ok
1.122444141, Sport: ,Soccer, Time: ,Sun Jan 03 22:30:00 CET 2016, Time: ,Sun Jan 03 22:30:00 CET 2016, Event: ,Flamengo U20 v RB Brasil U20, Favorite: ,Flamengo U20, 6006854   size:2.55,Price: ,1.95,RB Brasil U20, 10103846   size:2.55,Price: ,3.55,The Draw, 58805   size:2.72,Price: ,3.65,ok
1.122431518, Sport: ,Soccer, Time: ,Sun Jan 03 11:30:00 CET 2016, Time: ,Sun Jan 03 11:30:00 CET 2016, Event: ,Deportivo Alaves II v SD Deusto, Favorite: ,Deportivo Alaves II, 6929140   size:2.55,Price: ,2.64,SD Deusto, 10243244   size:48.42,Price: ,2.98,The Draw, 58805   size:4.09,Price: ,3.2,ok
1.122431512, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Conil v CD San Roque de Cadiz, Favorite: ,CD San Roque de Cadiz, 7717173   size:4.05,Price: ,2.44,Conil, 9315718   size:3.85,Price: ,2.64,The Draw, 58805   size:2.55,Price: ,3.35,x
1.122443845, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,EC Taubate U20 v Sabia FC Caxias U20, Favorite: ,EC Taubate U20, 7343282   size:3.68,Price: ,1.36,Sabia FC Caxias U20, 10681063   size:15.32,Price: ,5.7,The Draw, 58805   size:21.75,Price: ,4.3,ok
1.122446439, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,AD Almudevar v Villanueva CF, Favorite: ,AD Almudevar, 8135176   size:2.55,Price: ,1.57,Villanueva CF, 8041212   size:19.72,Price: ,4.7,The Draw, 58805   size:2.55,Price: ,3.5,x
1.122431464, Sport: ,Soccer, Time: ,Sun Jan 03 11:30:00 CET 2016, Time: ,Sun Jan 03 11:30:00 CET 2016, Event: ,CD Berio FT v CD Aurrera de Ondarroa, Favorite: ,CD Berio FT, 8822721   size:2.32,Price: ,2.6,CD Aurrera de Ondarroa, 10263192   size:4.12,Price: ,2.78,The Draw, 58805   size:5.27,Price: ,3.25,ok
1.122431500, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CF Gava v UE Sant Andreu, Favorite: ,CF Gava, 6581259   size:3.13,Price: ,1.97,UE Sant Andreu, 10381924   size:2.55,Price: ,3.65,The Draw, 58805   size:2.04,Price: ,3.15,x
