1.121778753, Sport: ,Soccer, Time: ,Sat Nov 21 10:15:00 CET 2015, Time: ,Sat Nov 21 10:15:00 CET 2015, Event: ,Trinec v Pardubice, Favorite: ,Trinec, 2951815   size:9.39,Price: ,2.26,Pardubice, 4940265   size:79.47,Price: ,3.0,The Draw, 58805   size:10.27,Price: ,3.65,x
1.121804191, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Eastleigh v Grimsby, Favorite: ,Grimsby, 48001   size:136.11,Price: ,2.18,Eastleigh, 1222691   size:17.11,Price: ,3.4,The Draw, 58805   size:4.18,Price: ,3.75,ok
1.121785393, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Cambridge Utd v Accrington S, Favorite: ,Accrington S, 498119   size:224.91,Price: ,2.34,Cambridge Utd, 256400   size:181.49,Price: ,3.25,The Draw, 58805   size:198.48,Price: ,3.65,ok
1.121804197, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Torquay v Lincoln, Favorite: ,Lincoln, 148737   size:338.86,Price: ,2.08,Torquay, 50808   size:105.32,Price: ,3.6,The Draw, 58805   size:24.84,Price: ,3.8,ok
1.121804195, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Macclesfield v Bromley, Favorite: ,Macclesfield, 69817   size:18.13,Price: ,1.82,Bromley, 1282856   size:43.75,Price: ,4.6,The Draw, 58805   size:56.38,Price: ,4.0,ok
1.121937749, Sport: ,Tennis, Time: ,Sat Nov 21 15:00:00 CET 2015, Time: ,Sat Nov 21 15:00:00 CET 2015, Event: ,Oceane Dodin v Freya Christie, Favorite: ,Oceane Dodin, 7289631   size:85.18,Price: ,1.34,Freya Christie, 8624170   size:11.64,Price: ,3.4,ok
1.121937508, Sport: ,Soccer, Time: ,Sat Nov 21 13:30:00 CET 2015, Time: ,Sat Nov 21 13:30:00 CET 2015, Event: ,Persebaya United v Persib Bandung, Favorite: ,Persebaya United, 10298043   size:8.45,Price: ,1.04,Persib Bandung, 5221477   size:8.45,Price: ,1.04,The Draw, 58805   size:2.85,Price: ,1.25,ok
1.121801921, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Berwick v Clyde, Favorite: ,Berwick, 69812   size:38.96,Price: ,2.68,Clyde, 328050   size:166.07,Price: ,2.68,The Draw, 58805   size:4.79,Price: ,3.75,x
1.121951918, Sport: ,Tennis, Time: ,Sat Nov 21 22:00:00 CET 2015, Time: ,Sat Nov 21 22:00:00 CET 2015, Event: ,Cervantes v Schwartzman, Favorite: ,Diego Schwartzman, 8736474   size:2.2,Price: ,1.51,Inigo Cervantes, 6297238   size:52.58,Price: ,2.7,x
1.121740440, Sport: ,Soccer, Time: ,Sat Nov 21 20:00:00 CET 2015, Time: ,Sat Nov 21 20:00:00 CET 2015, Event: ,Monaco v Nantes, Favorite: ,Monaco, 361706   size:169.66,Price: ,1.8,Nantes, 10774   size:90.85,Price: ,5.5,The Draw, 58805   size:89.8,Price: ,3.75,ok
