1.119982794, Sport: ,Soccer, Time: ,Thu Aug 13 11:15:00 CEST 2015, Time: ,Thu Aug 13 11:15:00 CEST 2015, Event: ,Manila Jeepney v Forza FC, Favorite: ,Manila Jeepney, 9238040   size:3.54,Price: ,1.08,Forza FC, 9271142   size:10.0,Price: ,3.0,The Draw, 58805   size:10.0,Price: ,3.5,ok
1.119983761, Sport: ,Soccer, Time: ,Thu Aug 13 18:00:00 CEST 2015, Time: ,Thu Aug 13 18:00:00 CEST 2015, Event: ,FC Ararat v JK Sillamae Kalev II, Favorite: ,JK Sillamae Kalev II, 7716546   size:140.08,Price: ,1.06,The Draw, 58805   size:3.24,Price: ,1.26,x
1.119983481, Sport: ,Soccer, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Spartak Subotica (W) v FC Noroc Nimoreni (w), Favorite: ,Spartak Subotica (W), 7555491   size:69.25,Price: ,1.02,The Draw, 58805   size:2.72,Price: ,11.5,FC Noroc Nimoreni (w), 6571039   size:2.88,Price: ,40.0,ok
1.119973641, Sport: ,Tennis, Time: ,Thu Aug 13 11:00:00 CEST 2015, Time: ,Thu Aug 13 11:00:00 CEST 2015, Event: ,Munoz-De La Nava v Michon, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:2.55,Price: ,1.38,Axel Michon, 4994683   size:23.33,Price: ,3.6,x
1.120004695, Sport: ,Tennis, Time: ,Thu Aug 13 13:00:00 CEST 2015, Time: ,Thu Aug 13 13:00:00 CEST 2015, Event: ,Gabric v Bogdan, Favorite: ,Ana Bogdan, 3875013   size:5.83,Price: ,1.19,Anna Gabric, 9148890   size:186.22,Price: ,4.2,ok
1.120004692, Sport: ,Tennis, Time: ,Thu Aug 13 15:00:00 CEST 2015, Time: ,Thu Aug 13 15:00:00 CEST 2015, Event: ,Lottner. v Eric, Favorite: ,Antonia Lottner, 7216203   size:5.83,Price: ,1.55,Doroteja Eric, 8839051   size:192.77,Price: ,2.4,ok
1.120005341, Sport: ,Tennis, Time: ,Thu Aug 13 18:30:00 CEST 2015, Time: ,Thu Aug 13 18:30:00 CEST 2015, Event: ,Bencic v Lisicki, Favorite: ,Belinda Bencic, 6390244   size:53.0,Price: ,1.92,Sabine Lisicki, 2403862   size:68.0,Price: ,1.95,ok
1.119997778, Sport: ,Soccer, Time: ,Thu Aug 13 16:30:00 CEST 2015, Time: ,Thu Aug 13 16:30:00 CEST 2015, Event: ,Pendikspor v Inegolspor, Favorite: ,Inegolspor, 1341525   size:140.08,Price: ,1.06,The Draw, 58805   size:2.8,Price: ,1.25,x
1.120004693, Sport: ,Tennis, Time: ,Thu Aug 13 14:00:00 CEST 2015, Time: ,Thu Aug 13 14:00:00 CEST 2015, Event: ,Kawa v Matteucci, Favorite: ,Katarzyna Kawa, 7186321   size:16.07,Price: ,1.67,Alice Matteucci, 7414273   size:192.77,Price: ,2.14,x
1.119859973, Sport: ,Soccer, Time: ,Thu Aug 13 18:00:00 CEST 2015, Time: ,Thu Aug 13 18:00:00 CEST 2015, Event: ,Sandefjord v Stabaek, Favorite: ,Stabaek, 50045   size:29.51,Price: ,1.95,The Draw, 58805   size:10.79,Price: ,4.0,Sandefjord, 199646   size:9.97,Price: ,4.1,ok
