1.119854114, Sport: ,Soccer, Time: ,Thu Aug 06 18:30:00 CEST 2015, Time: ,Thu Aug 06 18:30:00 CEST 2015, Event: ,Granitas Klaipeda v Kruoja, Favorite: ,Kruoja, 5434119   size:13.29,Price: ,2.24,Granitas Klaipeda, 7781105   size:5.0,Price: ,3.3,The Draw, 58805   size:7.0,Price: ,3.7,x
1.119853666, Sport: ,Soccer, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Grotta/Kria U19 v IBV KFS KFR U19, Favorite: ,IBV KFS KFR U19, 6403371   size:2.03,Price: ,1.09,The Draw, 58805   size:11.02,Price: ,1.29,x
1.119748827, Sport: ,Soccer, Time: ,Thu Aug 06 19:00:00 CEST 2015, Time: ,Thu Aug 06 19:00:00 CEST 2015, Event: ,IFK Goteborg v Belenenses, Favorite: ,IFK Goteborg, 30689   size:320.57,Price: ,1.77,The Draw, 58805   size:68.42,Price: ,3.85,Belenenses, 48786   size:21.69,Price: ,5.6,x
1.119852898, Sport: ,Soccer, Time: ,Thu Aug 06 19:00:00 CEST 2015, Time: ,Thu Aug 06 19:00:00 CEST 2015, Event: ,SD Gernika Club v Club Portugalete, Favorite: ,SD Gernika Club, 7654057   size:5.56,Price: ,2.46,Club Portugalete, 6283874   size:4.24,Price: ,2.48,The Draw, 58805   size:6.43,Price: ,3.45,x
1.119745756, Sport: ,Soccer, Time: ,Thu Aug 06 17:30:00 CEST 2015, Time: ,Thu Aug 06 17:30:00 CEST 2015, Event: ,Ilves Kissat v Atlantis, Favorite: ,Atlantis, 174384   size:7.87,Price: ,2.62,Ilves Kissat, 4674857   size:13.74,Price: ,2.68,The Draw, 58805   size:8.6,Price: ,3.75,ok
1.119872666, Sport: ,Tennis, Time: ,Thu Aug 06 16:47:00 CEST 2015, Time: ,Thu Aug 06 16:47:00 CEST 2015, Event: ,D Thiem v Montanes, Favorite: ,Dominic Thiem, 5720747   size:1347.44,Price: ,1.21,Albert Montanes, 2263599   size:9.32,Price: ,5.6,ok
1.119852618, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,CD Mensajero v Eibar, Favorite: ,Eibar, 247969   size:17.01,Price: ,1.32,The Draw, 58805   size:5.0,Price: ,5.0,CD Mensajero, 8532028   size:5.5,Price: ,9.0,x
1.119747651, Sport: ,Soccer, Time: ,Thu Aug 06 18:00:00 CEST 2015, Time: ,Thu Aug 06 18:00:00 CEST 2015, Event: ,FK Qabala v Apollon Limassol, Favorite: ,FK Qabala, 6586894   size:86.72,Price: ,2.58,The Draw, 58805   size:235.89,Price: ,3.25,ok
1.119642518, Sport: ,Snooker, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Ford v Taylor, Favorite: ,Tom Ford, 2278811   size:37.62,Price: ,1.33,Allan Taylor, 5760287   size:65.36,Price: ,3.4,ok
1.119856065, Sport: ,Tennis, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Kerber v Ana Konjuh, Favorite: ,Angelique Kerber, 2411840   size:175.34,Price: ,1.22,Ana Konjuh, 8173632   size:48.99,Price: ,5.3,ok
1.119724184, Sport: ,Baseball, Time: ,Thu Aug 06 20:10:00 CEST 2015, Time: ,Thu Aug 06 20:10:00 CEST 2015, Event: ,SD @ MIL, Favorite: ,Milwaukee (M Garza), 8432623   size:310.24,Price: ,1.87,San Diego (O Despaigne), 8643885   size:1062.0,Price: ,2.04,ok
1.119748079, Sport: ,Soccer, Time: ,Thu Aug 06 19:00:00 CEST 2015, Time: ,Thu Aug 06 19:00:00 CEST 2015, Event: ,Basaksehir v AZ Alkmaar, Favorite: ,Basaksehir, 10071088   size:51.54,Price: ,1.68,The Draw, 58805   size:452.31,Price: ,4.2,Az Alkmaar, 3631356   size:43.99,Price: ,5.8,x
1.119855375, Sport: ,Tennis, Time: ,Thu Aug 06 18:00:00 CEST 2015, Time: ,Thu Aug 06 18:00:00 CEST 2015, Event: ,Almagro/Berlocq v Carreno Busta/Sa, Favorite: ,Almagro/Berlocq, 10105799   size:6.39,Price: ,1.83,Carreno Busta/Sa, 10105797   size:40.0,Price: ,1.92,ok
1.119856344, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,Querrey v Ma Cilic, Favorite: ,Marin Cilic, 2263681   size:96.28,Price: ,1.55,Sam Querrey, 2263560   size:73.09,Price: ,2.8,ok
1.119853274, Sport: ,Soccer, Time: ,Thu Aug 06 18:00:00 CEST 2015, Time: ,Thu Aug 06 18:00:00 CEST 2015, Event: ,HUJK Emmaste v Raasiku FC Joker 1993, Favorite: ,Raasiku FC Joker 1993, 7320134   size:6.07,Price: ,1.22,HUJK Emmaste, 6649069   size:2.5,Price: ,1.91,The Draw, 58805   size:9.97,Price: ,3.6,ok
1.119854563, Sport: ,Soccer, Time: ,Thu Aug 06 19:30:00 CEST 2015, Time: ,Thu Aug 06 19:30:00 CEST 2015, Event: ,K Goteborg (W) v Kristianstads (W), Favorite: ,K Goteborg (W), 6481371   size:12.29,Price: ,1.48,The Draw, 58805   size:28.34,Price: ,4.7,Kristianstads (W), 5873773   size:19.97,Price: ,6.2,ok
1.119854002, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Linense v CD San Roque de Cadiz, Favorite: ,Linense, 3303612   size:2.55,Price: ,1.35,The Draw, 58805   size:2.55,Price: ,4.7,CD San Roque de Cadiz, 7717173   size:7.87,Price: ,7.2,ok
1.119853554, Sport: ,Soccer, Time: ,Thu Aug 06 19:30:00 CEST 2015, Time: ,Thu Aug 06 19:30:00 CEST 2015, Event: ,Fjolnir Bjorninn U19 v HK Kopavogur U19, Favorite: ,Fjolnir Bjorninn U19, 6388536   size:5.0,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,1.7,HK Kopavogur U19, 8232716   size:5.0,Price: ,1.71,x
1.119749528, Sport: ,Soccer, Time: ,Thu Aug 06 19:30:00 CEST 2015, Time: ,Thu Aug 06 19:30:00 CEST 2015, Event: ,AEK Larnaca v Bordeaux, Favorite: ,Bordeaux, 10501   size:8.83,Price: ,2.14,The Draw, 58805   size:699.17,Price: ,3.55,AEK Larnaca, 908335   size:67.0,Price: ,3.85,ok
1.119853038, Sport: ,Soccer, Time: ,Thu Aug 06 18:15:00 CEST 2015, Time: ,Thu Aug 06 18:15:00 CEST 2015, Event: ,Valletta v Gzira United FC, Favorite: ,Valletta, 166888   size:90.97,Price: ,1.08,Gzira United FC, 7177066   size:6.07,Price: ,1.11,The Draw, 58805   size:11.02,Price: ,1.29,ok
