1.121807224, Sport: ,Soccer, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,Spartak Moscow v FK Krasnodar, Favorite: ,Spartak Moscow, 5517   size:71.86,Price: ,2.74,FK Krasnodar, 4020902   size:14.22,Price: ,2.88,The Draw, 58805   size:1104.22,Price: ,3.4,ok
1.121938157, Sport: ,Basketball, Time: ,Sun Nov 22 20:00:00 CET 2015, Time: ,Sun Nov 22 20:00:00 CET 2015, Event: ,Anwil v Slask Wroclaw, Favorite: ,Anwil, 1312084   size:5.0,Price: ,1.34,Slask Wroclaw, 272970   size:16.13,Price: ,3.6,ok
1.121940917, Sport: ,Soccer, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Perez Zeledon v LD Alajuelense, Favorite: ,LD Alajuelense, 1395935   size:26.67,Price: ,1.79,Perez Zeledon, 10147088   size:11.81,Price: ,4.9,The Draw, 58805   size:18.68,Price: ,3.9,ok
1.121853605, Sport: ,American Football, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Hamilton @ Ottawa, Favorite: ,Ottawa, 8604244   size:22.23,Price: ,1.01,Hamilton, 2014691   size:2.85,Price: ,1.02,ok
1.121883234, Sport: ,Ice Hockey, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Frisk Asker v Stavanger, Favorite: ,Frisk Asker, 61425   size:2.85,Price: ,1.03,Stavanger, 518241   size:2.85,Price: ,1.03,Tie, 60104   size:2.85,Price: ,1.03,x
1.121883237, Sport: ,Ice Hockey, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Lorenskog v Kongsvinger, Favorite: ,Lorenskog, 61424   size:2.85,Price: ,1.03,Kongsvinger, 3725729   size:2.85,Price: ,1.03,Tie, 60104   size:2.85,Price: ,1.03,ok
1.121919099, Sport: ,Soccer, Time: ,Sun Nov 22 20:30:00 CET 2015, Time: ,Sun Nov 22 20:30:00 CET 2015, Event: ,CD Real Sociedad v CD Olimpia, Favorite: ,CD Real Sociedad, 9321002   size:12.0,Price: ,1.95,CD Olimpia, 1395933   size:12.0,Price: ,2.9,The Draw, 58805   size:4.56,Price: ,3.25,x
1.121944151, Sport: ,Soccer, Time: ,Sun Nov 22 16:30:00 CET 2015, Time: ,Sun Nov 22 16:30:00 CET 2015, Event: ,Al Jazira (UAE) v Al Nasr (UAE), Favorite: ,Al Nasr (UAE), 6203741   size:1842.43,Price: ,1.55,Al Jazira (UAE), 9300989   size:14.01,Price: ,6.4,The Draw, 58805   size:15.69,Price: ,4.4,ok
1.121951359, Sport: ,Basketball, Time: ,Mon Nov 23 02:00:00 CET 2015, Time: ,Mon Nov 23 02:00:00 CET 2015, Event: ,Golden State @ Denver, Favorite: ,Golden State, 13126   size:1243.99,Price: ,1.16,Denver, 13124   size:25.67,Price: ,7.0,ok
1.121952206, Sport: ,Tennis, Time: ,Mon Nov 23 02:00:00 CET 2015, Time: ,Mon Nov 23 02:00:00 CET 2015, Event: ,Jor Thompson v Ja Jung, Favorite: ,Jordan Thompson, 8145584   size:99.74,Price: ,1.43,Jason Jung, 7048850   size:6.4,Price: ,2.96,x
