1.122459028, Sport: ,Ice Hockey, Time: ,Mon Jan 04 15:00:00 CET 2016, Time: ,Mon Jan 04 15:00:00 CET 2016, Event: ,Sweden v Finland, Favorite: ,Sweden, 140139   size:125.0,Price: ,1.88,Finland, 140141   size:5.0,Price: ,3.05,Tie, 60104   size:16.38,Price: ,5.1,x
1.122446385, Sport: ,Soccer, Time: ,Sun Jan 03 21:00:00 CET 2016, Time: ,Sun Jan 03 21:00:00 CET 2016, Event: ,UWI FC v Humble Lions, Favorite: ,Humble Lions, 7666195   size:5.52,Price: ,2.64,UWI FC, 8115116   size:17.54,Price: ,2.78,The Draw, 58805   size:3.8,Price: ,3.15,x
1.122450730, Sport: ,Tennis, Time: ,Mon Jan 04 04:00:00 CET 2016, Time: ,Mon Jan 04 04:00:00 CET 2016, Event: ,Rodina v Babos, Favorite: ,Timea Babos, 4828174   size:692.73,Price: ,1.51,Evgeniya Rodina, 2415530   size:83.86,Price: ,2.92,ok
1.122456959, Sport: ,Soccer, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,Tanabi EC U20 v Juventude U20, Favorite: ,Juventude U20, 6147762   size:2.55,Price: ,1.33,Tanabi EC U20, 10677142   size:5.99,Price: ,3.05,The Draw, 58805   size:5.99,Price: ,3.35,ok
1.122415402, Sport: ,Ice Hockey, Time: ,Mon Jan 04 18:30:00 CET 2016, Time: ,Mon Jan 04 18:30:00 CET 2016, Event: ,Dinamo Riga v Slovan Bratislava, Favorite: ,Dinamo Riga, 3312399   size:62.0,Price: ,2.26,Slovan Bratislava, 1357713   size:62.0,Price: ,2.78,Tie, 60104   size:62.0,Price: ,4.1,x
1.122403609, Sport: ,Snooker, Time: ,Mon Jan 04 17:30:00 CET 2016, Time: ,Mon Jan 04 17:30:00 CET 2016, Event: ,Day v Walden, Favorite: ,Ricky Walden, 2278806   size:8.54,Price: ,1.76,Ryan Day, 2278798   size:2.55,Price: ,2.08,ok
1.122415371, Sport: ,Ice Hockey, Time: ,Mon Jan 04 15:00:00 CET 2016, Time: ,Mon Jan 04 15:00:00 CET 2016, Event: ,Severstal v Lokomotiv, Favorite: ,Lokomotiv, 2240051   size:101.0,Price: ,1.8,Severstal, 2560282   size:58.0,Price: ,3.95,Tie, 60104   size:33.43,Price: ,4.4,ok
1.122403605, Sport: ,Snooker, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,Hawkins v Milkins, Favorite: ,Barry Hawkins, 2278801   size:2.55,Price: ,1.62,Robert Milkins, 2278803   size:2.55,Price: ,2.26,x
1.122464586, Sport: ,Tennis, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,G Mina v Hernandez-Fernandez, Favorite: ,Gianni Mina, 4720523   size:13.84,Price: ,1.04,Jose Hernandez-Fernande, 9420497   size:13.84,Price: ,1.04,ok
1.122415376, Sport: ,Ice Hockey, Time: ,Mon Jan 04 17:30:00 CET 2016, Time: ,Mon Jan 04 17:30:00 CET 2016, Event: ,Dinamo Minsk v Ak Bars, Favorite: ,AK Bars, 2582640   size:63.0,Price: ,2.32,Dinamo Minsk, 3312412   size:63.0,Price: ,2.72,Tie, 60104   size:52.99,Price: ,4.0,ok
