1.121775925, Sport: ,Soccer, Time: ,Fri Nov 20 20:30:00 CET 2015, Time: ,Fri Nov 20 20:30:00 CET 2015, Event: ,Gent v Westerlo, Favorite: ,Gent, 350594   size:2439.43,Price: ,1.32,Westerlo, 51406   size:123.19,Price: ,11.0,The Draw, 58805   size:150.69,Price: ,6.0,ok
1.121861345, Sport: ,Basketball, Time: ,Sat Nov 21 01:00:00 CET 2015, Time: ,Sat Nov 21 01:00:00 CET 2015, Event: ,East Tennessee State @ Villanova, Favorite: ,East Tennessee State, 728325   size:8.42,Price: ,1.04,Villanova, 675919   size:8.42,Price: ,1.04,x
1.121882387, Sport: ,Basketball, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Evreux v Charleville Mezieres, Favorite: ,Evreux, 6718998   size:2.55,Price: ,1.25,Charleville Mezieres, 6719001   size:20.57,Price: ,3.25,ok
1.121776214, Sport: ,Soccer, Time: ,Fri Nov 20 18:30:00 CET 2015, Time: ,Fri Nov 20 18:30:00 CET 2015, Event: ,Bochum v Union Berlin, Favorite: ,Bochum, 67143   size:69.49,Price: ,1.98,Union Berlin, 50347   size:134.92,Price: ,4.1,The Draw, 58805   size:206.69,Price: ,3.9,x
1.121843001, Sport: ,Rugby Union, Time: ,Fri Nov 20 20:30:00 CET 2015, Time: ,Fri Nov 20 20:30:00 CET 2015, Event: ,Montpellier v Calvisano, Favorite: ,Montpellier, 632441   size:0.0,Price: ,0.0,Calvisano, 52261   size:31.0,Price: ,130.0,Draw, 246289   size:2.84,Price: ,120.0,ok
1.121882389, Sport: ,Basketball, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Nantes v Le Portel, Favorite: ,Le Portel, 6719000   size:2.55,Price: ,1.61,Nantes, 6719007   size:2.55,Price: ,1.76,x
1.121882388, Sport: ,Basketball, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Hyeres Toulon v Saint Quentin, Favorite: ,Hyeres Toulon, 1293965   size:3.7,Price: ,1.35,Saint Quentin, 6719006   size:2.55,Price: ,2.4,ok
1.121869731, Sport: ,Ice Hockey, Time: ,Fri Nov 20 19:30:00 CET 2015, Time: ,Fri Nov 20 19:30:00 CET 2015, Event: ,Eisbaren Berlin v Nurnberg, Favorite: ,Eisbaren Berlin, 233923   size:70.0,Price: ,1.99,Nurnberg, 1032175   size:70.0,Price: ,3.0,Tie, 60104   size:71.33,Price: ,4.8,x
1.121820381, Sport: ,Soccer, Time: ,Fri Nov 20 22:00:00 CET 2015, Time: ,Fri Nov 20 22:00:00 CET 2015, Event: ,Atletico GO v Oeste, Favorite: ,Atletico Go, 5326988   size:307.58,Price: ,1.95,Oeste, 3618374   size:111.55,Price: ,4.4,The Draw, 58805   size:3.75,Price: ,3.6,ok
1.121879091, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,JSM Bejaia U21 v ASO Chlef U21, Favorite: ,JSM Bejaia U21, 8036614   size:15.05,Price: ,2.2,ASO Chlef U21, 8249573   size:6.34,Price: ,3.1,The Draw, 58805   size:2.04,Price: ,3.35,ok
1.121880762, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Wisla Krakow U19 v MKS KSZO-Junior U19, Favorite: ,Wisla Krakow U19, 7579700   size:57.91,Price: ,1.7,MKS KSZO-Junior U19, 7583353   size:18.22,Price: ,5.8,The Draw, 58805   size:73.42,Price: ,3.7,x
1.121861340, Sport: ,Basketball, Time: ,Sat Nov 21 01:00:00 CET 2015, Time: ,Sat Nov 21 01:00:00 CET 2015, Event: ,Rider @ Maryland, Favorite: ,Rider, 697753   size:8.42,Price: ,1.04,Maryland, 29832   size:8.42,Price: ,1.04,x
1.121775001, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,MVV Maastricht v Achilles 29, Favorite: ,MVV Maastricht, 8704630   size:1074.38,Price: ,1.45,Achilles 29, 4189472   size:2.0,Price: ,8.2,The Draw, 58805   size:14.22,Price: ,5.1,x
1.121774394, Sport: ,Soccer, Time: ,Fri Nov 20 14:00:00 CET 2015, Time: ,Fri Nov 20 14:00:00 CET 2015, Event: ,FC Ashdod v Hapoel Nazareth Illit, Favorite: ,FC Ashdod, 6145706   size:4.25,Price: ,1.64,Hapoel Nazareth Illit, 5178712   size:3.91,Price: ,4.7,The Draw, 58805   size:2.0,Price: ,3.8,x
1.121881942, Sport: ,Soccer, Time: ,Fri Nov 20 21:00:00 CET 2015, Time: ,Fri Nov 20 21:00:00 CET 2015, Event: ,CD Tenerife II v Atletico Granadilla, Favorite: ,CD Tenerife II, 9320413   size:11.23,Price: ,1.14,Atletico Granadilla, 9315702   size:11.23,Price: ,1.14,The Draw, 58805   size:3.95,Price: ,2.9,ok
1.121773874, Sport: ,Soccer, Time: ,Fri Nov 20 18:30:00 CET 2015, Time: ,Fri Nov 20 18:30:00 CET 2015, Event: ,KSV Superfund v Austria Salzburg, Favorite: ,KSV Superfund, 4840627   size:290.59,Price: ,1.83,Austria Salzburg, 65363   size:93.63,Price: ,4.3,The Draw, 58805   size:6.97,Price: ,4.2,x
1.121868290, Sport: ,Ice Hockey, Time: ,Fri Nov 20 19:30:00 CET 2015, Time: ,Fri Nov 20 19:30:00 CET 2015, Event: ,Odense v Gentofte, Favorite: ,Odense, 70624   size:9.62,Price: ,1.85,Gentofte, 8834861   size:24.99,Price: ,3.05,Tie, 60104   size:17.45,Price: ,5.4,ok
1.121868293, Sport: ,Ice Hockey, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Herlev v Esbjerg, Favorite: ,Esbjerg, 70633   size:4.45,Price: ,1.47,Herlev, 227439   size:23.14,Price: ,4.3,Tie, 60104   size:13.25,Price: ,6.8,ok
1.121882111, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,Dinamo Kiev U19 v FK H-Z Uzh. U19, Favorite: ,Dinamo Kiev U19, 10262035   size:20.08,Price: ,1.01,FK H-Z Uzh. U19, 6579711   size:4.28,Price: ,13.5,The Draw, 58805   size:4.08,Price: ,8.4,ok
1.121775252, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,VVV v FC Eindhoven, Favorite: ,VVV, 503419   size:128.23,Price: ,1.8,FC Eindhoven, 503439   size:48.39,Price: ,4.8,The Draw, 58805   size:67.29,Price: ,4.1,ok
1.121920310, Sport: ,Tennis, Time: ,Fri Nov 20 21:30:00 CET 2015, Time: ,Fri Nov 20 21:30:00 CET 2015, Event: ,Moser/Sancic v Basic/Mektic, Favorite: ,Moser/Sancic, 10483069   size:96.82,Price: ,1.62,Basic/Mektic, 10530697   size:71.47,Price: ,2.32,x
1.121869708, Sport: ,Ice Hockey, Time: ,Fri Nov 20 19:30:00 CET 2015, Time: ,Fri Nov 20 19:30:00 CET 2015, Event: ,ERC Ingolstadt v Schwenninger, Favorite: ,ERC Ingolstadt, 233927   size:20.0,Price: ,1.85,Schwenninger, 348569   size:57.43,Price: ,3.5,Tie, 60104   size:37.86,Price: ,5.0,ok
1.121870130, Sport: ,Ice Hockey, Time: ,Fri Nov 20 17:30:00 CET 2015, Time: ,Fri Nov 20 17:30:00 CET 2015, Event: ,K Vantaa v TuTo, Favorite: ,TuTo, 4196542   size:2.84,Price: ,2.3,K Vantaa, 2597484   size:2.78,Price: ,2.36,Tie, 60104   size:116.75,Price: ,4.1,x
1.121781946, Sport: ,Handball, Time: ,Fri Nov 20 18:00:00 CET 2015, Time: ,Fri Nov 20 18:00:00 CET 2015, Event: ,Buducnost v Selgros Lublin, Favorite: ,Buducnost, 680920   size:2.85,Price: ,1.03,Selgros Lublin, 8884756   size:3.0,Price: ,1.67,Draw, 330157   size:2.75,Price: ,1.67,ok
1.121870134, Sport: ,Ice Hockey, Time: ,Fri Nov 20 17:30:00 CET 2015, Time: ,Fri Nov 20 17:30:00 CET 2015, Event: ,KeuPa v JYP Akatemia, Favorite: ,KeuPa, 7138769   size:3.21,Price: ,2.04,JYP Akatemia, 5847122   size:2.51,Price: ,2.6,Tie, 60104   size:124.81,Price: ,3.9,x
1.121879986, Sport: ,Soccer, Time: ,Fri Nov 20 21:10:00 CET 2015, Time: ,Fri Nov 20 21:10:00 CET 2015, Event: ,Ecuador U20 (W) v Colombia U20 (W), Favorite: ,Colombia U20 (W), 4835198   size:98.57,Price: ,1.38,Ecuador U20 (W), 8060041   size:44.99,Price: ,7.4,The Draw, 58805   size:76.15,Price: ,4.5,x
1.121881832, Sport: ,Soccer, Time: ,Fri Nov 20 18:10:00 CET 2015, Time: ,Fri Nov 20 18:10:00 CET 2015, Event: ,Najran (KSA) v Hajer (KSA), Favorite: ,Najran (KSA), 7857483   size:2.7,Price: ,2.42,Hajer (KSA), 6617052   size:2.3,Price: ,2.84,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.121880986, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,ACS Bucovina Radauti v SCM Petrotub Roman, Favorite: ,ACS Bucovina Radauti, 7209909   size:92.79,Price: ,1.15,SCM Petrotub Roman, 7273709   size:92.8,Price: ,1.15,The Draw, 58805   size:5.25,Price: ,3.8,x
1.121774852, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Almere City v Helmond Sport, Favorite: ,Almere City, 4835124   size:409.16,Price: ,2.5,Helmond Sport, 419129   size:13.43,Price: ,2.78,The Draw, 58805   size:56.86,Price: ,3.85,x
1.121775828, Sport: ,Soccer, Time: ,Fri Nov 20 12:30:00 CET 2015, Time: ,Fri Nov 20 12:30:00 CET 2015, Event: ,Geylang International v Warriors FC, Favorite: ,Warriors FC, 7120994   size:5.49,Price: ,2.4,Geylang International, 8279004   size:8.55,Price: ,2.86,The Draw, 58805   size:5.11,Price: ,3.65,x
1.121772794, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Epinal v Sedan, Favorite: ,Sedan, 44792   size:11.34,Price: ,2.48,Epinal, 2740568   size:33.12,Price: ,3.05,The Draw, 58805   size:5.0,Price: ,3.4,ok
1.121860555, Sport: ,Ice Hockey, Time: ,Fri Nov 20 17:30:00 CET 2015, Time: ,Fri Nov 20 17:30:00 CET 2015, Event: ,Assat v Karpat, Favorite: ,Karpat, 66430   size:92.0,Price: ,1.84,Assat, 66429   size:73.27,Price: ,3.8,Tie, 60104   size:63.0,Price: ,4.3,x
1.121882001, Sport: ,Soccer, Time: ,Fri Nov 20 22:00:00 CET 2015, Time: ,Fri Nov 20 22:00:00 CET 2015, Event: ,CF Union Viera v Real Sporting San Jose, Favorite: ,CF Union Viera, 7313631   size:11.23,Price: ,1.14,Real Sporting San Jose, 6117117   size:2.3,Price: ,1.24,The Draw, 58805   size:3.95,Price: ,2.9,ok
