1.120985815, Sport: ,Soccer, Time: ,Thu Oct 01 14:00:00 CEST 2015, Time: ,Thu Oct 01 14:00:00 CEST 2015, Event: ,Sogdiana Jizak v Dinamo Samarqand, Favorite: ,Sogdiana Jizak, 8294188   size:3.58,Price: ,1.07,Dinamo Samarqand, 5614420   size:3.58,Price: ,1.07,The Draw, 58805   size:10.0,Price: ,2.4,x
1.120972071, Sport: ,Tennis, Time: ,Thu Oct 01 00:45:00 CEST 2015, Time: ,Thu Oct 01 00:45:00 CEST 2015, Event: ,Brown/Kudla v Goransson/Lakat, Favorite: ,Brown/Kudla, 10344707   size:2.55,Price: ,1.12,Goransson/Lakat, 10344708   size:3.65,Price: ,5.7,x
1.121003694, Sport: ,Tennis, Time: ,Thu Oct 01 12:00:00 CEST 2015, Time: ,Thu Oct 01 12:00:00 CEST 2015, Event: ,Krajinovic v de Bakker, Favorite: ,Filip Krajinovic, 3509265   size:3.13,Price: ,1.08,Thiemo De Bakker, 8720949   size:3.13,Price: ,1.08,ok
1.120977881, Sport: ,Tennis, Time: ,Thu Oct 01 09:00:00 CEST 2015, Time: ,Thu Oct 01 09:00:00 CEST 2015, Event: ,Karatsev v Molchanov, Favorite: ,Aslan Karatsev, 7659748   size:2.55,Price: ,1.62,Denys Molchanov, 3474265   size:8.36,Price: ,2.28,x
1.120972076, Sport: ,Tennis, Time: ,Thu Oct 01 00:00:00 CEST 2015, Time: ,Thu Oct 01 00:00:00 CEST 2015, Event: ,Brunstrom/Nielsen v Behar/Gonzales, Favorite: ,Brunstrom/Nielsen, 6677971   size:2.59,Price: ,1.44,Behar/Gonzales, 10248541   size:2.55,Price: ,3.25,ok
1.120846156, Sport: ,Soccer, Time: ,Thu Oct 01 03:00:00 CEST 2015, Time: ,Thu Oct 01 03:00:00 CEST 2015, Event: ,Palmeiras v Internacional, Favorite: ,Palmeiras, 189952   size:44.35,Price: ,1.64,Internacional, 198137   size:60.88,Price: ,7.0,The Draw, 58805   size:11.98,Price: ,3.95,ok
1.120964856, Sport: ,Snooker, Time: ,Thu Oct 01 15:30:00 CEST 2015, Time: ,Thu Oct 01 15:30:00 CEST 2015, Event: ,G Wilson v O Lines, Favorite: ,Gary Wilson, 5764157   size:2.55,Price: ,1.93,Oliver Lines, 6575023   size:8.36,Price: ,1.94,x
1.120852743, Sport: ,Baseball, Time: ,Thu Oct 01 01:10:00 CEST 2015, Time: ,Thu Oct 01 01:10:00 CEST 2015, Event: ,MIA @ TB, Favorite: ,Tampa Bay (D Smyly), 8753731   size:10.08,Price: ,1.64,Miami (J Cosart), 8749484   size:630.12,Price: ,2.46,ok
1.120921841, Sport: ,Soccer, Time: ,Thu Oct 01 00:45:00 CEST 2015, Time: ,Thu Oct 01 00:45:00 CEST 2015, Event: ,Sport Loreto v Deportivo Municipal, Favorite: ,Sport Loreto, 9216261   size:245.82,Price: ,2.1,Deportivo Municipal, 7295377   size:5.73,Price: ,4.6,The Draw, 58805   size:50.14,Price: ,3.2,x
1.120964853, Sport: ,Snooker, Time: ,Thu Oct 01 15:30:00 CEST 2015, Time: ,Thu Oct 01 15:30:00 CEST 2015, Event: ,Fu v Davison, Favorite: ,Marco Fu, 2278808   size:2.55,Price: ,1.19,Paul Davison, 3439630   size:2.55,Price: ,4.5,ok
1.120984604, Sport: ,Soccer, Time: ,Thu Oct 01 03:00:00 CEST 2015, Time: ,Thu Oct 01 03:00:00 CEST 2015, Event: ,Alianza FC v Santa Tecla, Favorite: ,Alianza FC, 5698496   size:3.58,Price: ,1.07,Santa Tecla, 10152861   size:3.58,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.42,x
1.120969515, Sport: ,Tennis, Time: ,Thu Oct 01 10:00:00 CEST 2015, Time: ,Thu Oct 01 10:00:00 CEST 2015, Event: ,Setkic v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:434.79,Price: ,1.19,Aldin Setkic, 7366936   size:27.07,Price: ,5.0,ok
1.120972926, Sport: ,Soccer, Time: ,Thu Oct 01 03:00:00 CEST 2015, Time: ,Thu Oct 01 03:00:00 CEST 2015, Event: ,Alianza FC (Panama) v Tauro FC, Favorite: ,Tauro FC, 3298378   size:2.34,Price: ,2.14,Alianza FC (Panama), 8216009   size:4.19,Price: ,2.74,The Draw, 58805   size:6.81,Price: ,2.74,x
1.120963530, Sport: ,Tennis, Time: ,Wed Sep 30 22:45:00 CEST 2015, Time: ,Wed Sep 30 22:45:00 CEST 2015, Event: ,Barrientos/Struvay v Clezar/Neis, Favorite: ,Barrientos/Struvay, 8226198   size:6.38,Price: ,1.63,Clezar/Neis, 8861023   size:8.92,Price: ,2.32,x
1.120852790, Sport: ,Baseball, Time: ,Thu Oct 01 03:40:00 CEST 2015, Time: ,Thu Oct 01 03:40:00 CEST 2015, Event: ,COL @ ARI, Favorite: ,Arizona (C Anderson), 8522020   size:475.0,Price: ,1.63,Colorado (C Bettis), 7545057   size:103.0,Price: ,2.46,ok
1.120992379, Sport: ,Tennis, Time: ,Thu Oct 01 10:45:00 CEST 2015, Time: ,Thu Oct 01 10:45:00 CEST 2015, Event: ,Gonzalez/Petzschner v Huey/Kontinen, Favorite: ,Huey/Kontinen, 10300311   size:2.55,Price: ,1.71,Gonzalez/Petzschner, 10337927   size:2.55,Price: ,1.99,ok
