1.121305893, Sport: ,Soccer, Time: ,Sun Oct 25 22:00:00 CET 2015, Time: ,Sun Oct 25 22:00:00 CET 2015, Event: ,FC Edmonton v Jacksonville Armada, Favorite: ,FC Edmonton, 4850376   size:27.79,Price: ,1.9,Jacksonville Armada, 9212618   size:2.65,Price: ,3.8,The Draw, 58805   size:2.55,Price: ,3.35,x
1.121295568, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Moreirense v Setubal, Favorite: ,Moreirense, 191604   size:2.77,Price: ,2.64,Setubal, 321036   size:2.77,Price: ,3.35,The Draw, 58805   size:98.11,Price: ,3.0,x
1.121304687, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Guimaraes B v Gil Vicente, Favorite: ,Guimaraes B, 6563316   size:727.44,Price: ,2.4,Gil Vicente, 48784   size:75.57,Price: ,3.2,The Draw, 58805   size:510.89,Price: ,3.0,ok
1.121456066, Sport: ,Soccer, Time: ,Sun Oct 25 16:30:00 CET 2015, Time: ,Sun Oct 25 16:30:00 CET 2015, Event: ,CD Barco v Deportivo La Coruna II, Favorite: ,CD Barco, 8717585   size:3.16,Price: ,1.04,Deportivo La Coruna II, 9301052   size:2.43,Price: ,1.06,The Draw, 58805   size:347.0,Price: ,1.55,x
1.121299806, Sport: ,Soccer, Time: ,Sun Oct 25 23:00:00 CET 2015, Time: ,Sun Oct 25 23:00:00 CET 2015, Event: ,Columbus v DC Utd, Favorite: ,Columbus, 171903   size:650.11,Price: ,1.81,DC Utd, 436099   size:30.96,Price: ,5.0,The Draw, 58805   size:133.39,Price: ,4.0,ok
1.121354867, Sport: ,American Football, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Pittsburgh @ Kansas City, Favorite: ,Kansas City Chiefs, 50214   size:105.29,Price: ,1.65,Pittsburgh Steelers, 50208   size:132.66,Price: ,2.48,ok
1.121376511, Sport: ,Ice Hockey, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Lillehammer v Stavanger, Favorite: ,Lillehammer, 61429   size:10.76,Price: ,1.01,Stavanger, 518241   size:10.76,Price: ,1.01,Tie, 60104   size:10.76,Price: ,1.01,x
1.121297982, Sport: ,Soccer, Time: ,Sun Oct 25 18:30:00 CET 2015, Time: ,Sun Oct 25 18:30:00 CET 2015, Event: ,PAOK v Panathinaikos, Favorite: ,PAOK, 232095   size:4.99,Price: ,1.98,Panathinaikos, 50334   size:81.35,Price: ,4.9,The Draw, 58805   size:45.53,Price: ,3.3,ok
1.121468952, Sport: ,Tennis, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Gu Arrambide v Kryvonos, Favorite: ,Nikita Kryvonos, 8395347   size:4.5,Price: ,1.05,Guillermo Arrambide, 10456050   size:4.94,Price: ,4.4,ok
1.121389756, Sport: ,Basketball, Time: ,Sun Oct 25 19:00:00 CET 2015, Time: ,Sun Oct 25 19:00:00 CET 2015, Event: ,Cedevita v Zadar, Favorite: ,Cedevita, 4229279   size:4.03,Price: ,1.1,Zadar, 680759   size:2.55,Price: ,1.26,x
1.121300190, Sport: ,Soccer, Time: ,Sun Oct 25 22:00:00 CET 2015, Time: ,Sun Oct 25 22:00:00 CET 2015, Event: ,New York City v New England, Favorite: ,New England, 171907   size:10.97,Price: ,2.52,New York City, 9280784   size:6.3,Price: ,2.82,The Draw, 58805   size:105.59,Price: ,4.0,ok
1.121396172, Sport: ,Handball, Time: ,Sun Oct 25 17:15:00 CET 2015, Time: ,Sun Oct 25 17:15:00 CET 2015, Event: ,Rhein Neckar Lowen v Wetzlar, Favorite: ,Rhein Neckar Lowen, 2507296   size:30.74,Price: ,1.11,Wetzlar, 2507302   size:3.05,Price: ,11.0,Draw, 330157   size:61.15,Price: ,15.5,ok
1.121306971, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Tunisia A v Morocco A, Favorite: ,Morocco A, 7425965   size:3.57,Price: ,1.03,Tunisia A, 7425966   size:13.46,Price: ,2.12,The Draw, 58805   size:9.68,Price: ,2.94,ok
1.121385713, Sport: ,Ice Hockey, Time: ,Mon Oct 26 00:05:00 CET 2015, Time: ,Mon Oct 26 00:05:00 CET 2015, Event: ,Calgary @ NY Rangers, Favorite: ,NY Rangers, 60103   size:2.72,Price: ,2.1,Calgary, 975675   size:2.72,Price: ,3.35,Tie, 60104   size:3.52,Price: ,4.1,ok
1.121465316, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Deportivo Saprissa v Perez Zeledon, Favorite: ,Deportivo Saprissa, 1328422   size:2.68,Price: ,1.27,Perez Zeledon, 10147088   size:5.52,Price: ,8.6,The Draw, 58805   size:12.28,Price: ,5.2,ok
1.121466527, Sport: ,Soccer, Time: ,Mon Oct 26 00:00:00 CET 2015, Time: ,Mon Oct 26 00:00:00 CET 2015, Event: ,LD Alajuelense v Santos de Guapiles, Favorite: ,LD Alajuelense, 1395935   size:245.82,Price: ,1.55,Santos de Guapiles, 10135629   size:18.67,Price: ,6.8,The Draw, 58805   size:5.63,Price: ,4.1,ok
1.121295870, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Charleroi v Standard, Favorite: ,Charleroi, 65808   size:24.79,Price: ,2.68,Standard, 571279   size:7.08,Price: ,2.88,The Draw, 58805   size:692.41,Price: ,3.45,x
1.121354895, Sport: ,American Football, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Cleveland @ St Louis, Favorite: ,St Louis Rams, 50195   size:311.72,Price: ,1.45,Cleveland Browns, 50209   size:14.68,Price: ,3.15,ok
1.121468941, Sport: ,Tennis, Time: ,Sun Oct 25 17:08:00 CET 2015, Time: ,Sun Oct 25 17:08:00 CET 2015, Event: ,Cadogan v Astorga, Favorite: ,Mauricio Astorga, 7083211   size:2.55,Price: ,1.06,Joseph Cadogan, 9623552   size:2.55,Price: ,1.42,ok
1.121298462, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Terek Grozni v CSKA Moscow, Favorite: ,CSKA Moscow, 217210   size:727.28,Price: ,2.36,Terek Grozni, 939625   size:3.8,Price: ,3.6,The Draw, 58805   size:89.21,Price: ,3.15,x
