1.121818638, Sport: ,Soccer, Time: ,Mon Nov 23 18:30:00 CET 2015, Time: ,Mon Nov 23 18:30:00 CET 2015, Event: ,Jong Utrecht v Jong AZ Alkmaar, Favorite: ,Jong Utrecht, 5295292   size:17.94,Price: ,1.92,Jong AZ Alkmaar, 5320893   size:2.68,Price: ,3.5,The Draw, 58805   size:2.19,Price: ,4.2,x
1.121856430, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Norwich U21 v Man Utd U21, Favorite: ,Norwich U21, 6667764   size:10.0,Price: ,1.12,Man Utd U21, 6615321   size:10.0,Price: ,1.12,The Draw, 58805   size:11.47,Price: ,2.88,ok
1.121816570, Sport: ,Soccer, Time: ,Mon Nov 23 19:00:00 CET 2015, Time: ,Mon Nov 23 19:00:00 CET 2015, Event: ,Gaziantepspor v Basaksehir, Favorite: ,Basaksehir, 10071088   size:5.7,Price: ,2.04,Gaziantepspor, 46988   size:119.56,Price: ,4.2,The Draw, 58805   size:13.75,Price: ,3.55,ok
1.121819169, Sport: ,Soccer, Time: ,Mon Nov 23 20:45:00 CET 2015, Time: ,Mon Nov 23 20:45:00 CET 2015, Event: ,Wealdstone v Whitehawk, Favorite: ,Whitehawk, 4597875   size:5.0,Price: ,2.34,Wealdstone, 2608900   size:2.83,Price: ,3.15,The Draw, 58805   size:5.76,Price: ,3.65,x
1.121856434, Sport: ,Soccer, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Colchester U21 v Brentford U21, Favorite: ,Colchester U21, 6820442   size:10.0,Price: ,1.12,Brentford U21, 6628855   size:10.0,Price: ,1.12,The Draw, 58805   size:62.02,Price: ,3.1,ok
1.121818352, Sport: ,Soccer, Time: ,Mon Nov 23 19:30:00 CET 2015, Time: ,Mon Nov 23 19:30:00 CET 2015, Event: ,Sint Truidense (Youth) v Genk (Y), Favorite: ,Sint Truidense (Youth), 10158287   size:10.0,Price: ,1.12,Genk (Y), 7159134   size:10.0,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121819167, Sport: ,Soccer, Time: ,Mon Nov 23 18:00:00 CET 2015, Time: ,Mon Nov 23 18:00:00 CET 2015, Event: ,Balikesirspor v Altinordu, Favorite: ,Balikesirspor, 4985298   size:14.27,Price: ,2.46,Altinordu, 5290988   size:8.55,Price: ,3.15,The Draw, 58805   size:12.96,Price: ,3.4,x
1.121967646, Sport: ,Tennis, Time: ,Mon Nov 23 23:00:00 CET 2015, Time: ,Mon Nov 23 23:00:00 CET 2015, Event: ,Gibbs v Kudryavtseva, Favorite: ,Nicole Gibbs, 4946628   size:64.0,Price: ,1.33,Alla Kudryavtseva, 2263696   size:64.0,Price: ,3.65,ok
1.121952032, Sport: ,Basketball, Time: ,Mon Nov 23 18:35:00 CET 2015, Time: ,Mon Nov 23 18:35:00 CET 2015, Event: ,Hapoel Holon v Ironi Nahariya, Favorite: ,Hapoel Holon, 6796483   size:2.55,Price: ,1.58,Ironi Nahariya, 8894680   size:18.77,Price: ,2.5,x
1.121816725, Sport: ,Soccer, Time: ,Mon Nov 23 17:00:00 CET 2015, Time: ,Mon Nov 23 17:00:00 CET 2015, Event: ,Hapoel Rishon Lezion v Beitar Tel Aviv Ramla, Favorite: ,Hapoel Rishon Lezion, 5889551   size:11.33,Price: ,1.92,Beitar Tel Aviv Ramla, 6021023   size:3.83,Price: ,3.85,The Draw, 58805   size:2.68,Price: ,3.65,ok
