1.119162374, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,Duldaev v Du Lee, Favorite: ,Duckhee Lee, 8505197   size:193.09,Price: ,1.21,Daniiar Duldaev, 8520660   size:6.75,Price: ,5.1,ok
1.119159440, Sport: ,Tennis, Time: ,Tue Jun 16 13:45:00 CEST 2015, Time: ,Tue Jun 16 13:45:00 CEST 2015, Event: ,Andreozzi v Kudla, Favorite: ,Denis Kudla, 4829260   size:6.47,Price: ,1.15,Guido Andreozzi, 6603914   size:6.14,Price: ,5.5,ok
1.119156295, Sport: ,Tennis, Time: ,Tue Jun 16 08:45:00 CEST 2015, Time: ,Tue Jun 16 08:45:00 CEST 2015, Event: ,Saidkarimov v Shyla, Favorite: ,Yaraslav Shyla, 8520676   size:5.86,Price: ,1.08,Saida'Lo Saidkarimov, 9606278   size:3.14,Price: ,9.8,ok
1.119157066, Sport: ,Tennis, Time: ,Tue Jun 16 18:00:00 CEST 2015, Time: ,Tue Jun 16 18:00:00 CEST 2015, Event: ,St Robert v Munoz-De La Nava, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:5.55,Price: ,1.85,Stephane Robert, 4422812   size:5.09,Price: ,1.92,ok
1.119156297, Sport: ,Tennis, Time: ,Tue Jun 16 11:15:00 CEST 2015, Time: ,Tue Jun 16 11:15:00 CEST 2015, Event: ,Matsukevich v Khachanov, Favorite: ,Karen Khachanov, 7659623   size:7.56,Price: ,1.25,Denis Matsukevich, 7797760   size:63.25,Price: ,4.2,ok
1.119170037, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Maria v Caro Garcia, Favorite: ,Caroline Garcia, 5248977   size:3.54,Price: ,1.6,Tatjana Maria, 7299657   size:65.7,Price: ,2.52,ok
1.119158314, Sport: ,Tennis, Time: ,Tue Jun 16 13:45:00 CEST 2015, Time: ,Tue Jun 16 13:45:00 CEST 2015, Event: ,Vesely v Kukushkin, Favorite: ,Jiri Vesely, 7032143   size:26.29,Price: ,1.53,Mikhail Kukushkin, 2609424   size:11.89,Price: ,2.64,x
1.119156988, Sport: ,Tennis, Time: ,Tue Jun 16 13:15:00 CEST 2015, Time: ,Tue Jun 16 13:15:00 CEST 2015, Event: ,Krstin v Ignatik, Favorite: ,Uladzimir Ignatik, 3259323   size:5.75,Price: ,1.7,Pedja Krstin, 8257862   size:3.64,Price: ,2.2,ok
1.119157957, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,Gulbis v Stakhovsky, Favorite: ,Sergiy Stakhovsky, 2284304   size:491.01,Price: ,1.58,Ernests Gulbis, 2257536   size:12.98,Price: ,2.54,x
1.119156307, Sport: ,Tennis, Time: ,Tue Jun 16 08:00:00 CEST 2015, Time: ,Tue Jun 16 08:00:00 CEST 2015, Event: ,Tepavac v Grigelis, Favorite: ,Marko Tepavac, 8684410   size:29.27,Price: ,1.91,Laurynas Grigelis, 5707016   size:11.3,Price: ,2.0,x
1.119159519, Sport: ,Tennis, Time: ,Tue Jun 16 10:00:00 CEST 2015, Time: ,Tue Jun 16 10:00:00 CEST 2015, Event: ,Cecchinato v Langer, Favorite: ,Marco Cecchinato, 6374165   size:38.98,Price: ,1.21,Nils Langer, 7066939   size:2.3,Price: ,4.6,ok
