1.120157854, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Paide Linnameeskond v Levadia Tallinn, Favorite: ,Levadia Tallinn, 206564   size:29.61,Price: ,1.25,The Draw, 58805   size:6.83,Price: ,6.0,Paide Linnameeskond, 5407316   size:2.81,Price: ,14.5,
1.120157744, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Kivioli FC Irbis v Kuressaare, Favorite: ,Kuressaare, 5407305   size:3.86,Price: ,1.61,Kivioli FC Irbis, 7451174   size:3.5,Price: ,4.0,The Draw, 58805   size:2.3,Price: ,5.7,
1.120154603, Sport: ,Soccer, Time: ,Fri Aug 28 18:00:00 CEST 2015, Time: ,Fri Aug 28 18:00:00 CEST 2015, Event: ,Podbeskidzie B-B v Lechia Gdansk, Favorite: ,Lechia Gdansk, 3143305   size:10.58,Price: ,2.4,Podbeskidzie B-B, 4135278   size:22.78,Price: ,3.3,The Draw, 58805   size:3.72,Price: ,3.5,
1.120193418, Sport: ,Soccer, Time: ,Fri Aug 28 18:00:00 CEST 2015, Time: ,Fri Aug 28 18:00:00 CEST 2015, Event: ,Shakhtar v Metalurg Z, Favorite: ,Shakhtar, 477822   size:369.86,Price: ,1.09,The Draw, 58805   size:10.86,Price: ,14.0,Metalurg Z, 489141   size:19.99,Price: ,46.0,
1.120158019, Sport: ,Soccer, Time: ,Fri Aug 28 18:00:00 CEST 2015, Time: ,Fri Aug 28 18:00:00 CEST 2015, Event: ,FK Liepaja v FK Ventspils, Favorite: ,FK Liepaja, 9306437   size:2.45,Price: ,2.32,The Draw, 58805   size:4.5,Price: ,3.2,FK Ventspils, 46957   size:3.17,Price: ,3.4,
1.120271760, Sport: ,Hockey, Time: ,Fri Aug 28 18:15:00 CEST 2015, Time: ,Fri Aug 28 18:15:00 CEST 2015, Event: ,Belgium (W) v Scotland (W), Favorite: ,Belgium (W), 5764155   size:136.61,Price: ,2.06,Scotland (W), 10175604   size:4.75,Price: ,2.6,Draw, 318509   size:136.61,Price: ,3.9,
1.120154772, Sport: ,Soccer, Time: ,Fri Aug 28 18:30:00 CEST 2015, Time: ,Fri Aug 28 18:30:00 CEST 2015, Event: ,Austria Klagenfurt v KSV Superfund, Favorite: ,Austria Klagenfurt, 4902204   size:87.43,Price: ,2.56,KSV Superfund, 4840627   size:49.17,Price: ,2.96,The Draw, 58805   size:147.79,Price: ,3.55,
1.120154912, Sport: ,Soccer, Time: ,Fri Aug 28 18:30:00 CEST 2015, Time: ,Fri Aug 28 18:30:00 CEST 2015, Event: ,FC Wiener Neustadt v FAC Team fur Wien, Favorite: ,FC Wiener Neustadt, 3164919   size:238.4,Price: ,2.12,The Draw, 58805   size:137.94,Price: ,3.6,FAC Team fur Wien, 3258138   size:46.74,Price: ,3.75,
1.120158809, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Thisted v Jammerbught FC, Favorite: ,Thisted, 920044   size:3.63,Price: ,1.91,Jammerbught FC, 7441343   size:8.13,Price: ,3.1,The Draw, 58805   size:2.91,Price: ,3.75,
1.120223105, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Jahn Regensburg v Bayreuth, Favorite: ,Jahn Regensburg, 4855758   size:26.63,Price: ,1.39,The Draw, 58805   size:36.75,Price: ,5.3,Bayreuth, 1212737   size:7.52,Price: ,8.8,
1.120155053, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Aalesunds v Valerenga, Favorite: ,Aalesunds, 3038746   size:138.95,Price: ,2.6,Valerenga, 132563   size:512.69,Price: ,2.8,The Draw, 58805   size:61.86,Price: ,3.75,
1.120158811, Sport: ,Soccer, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,Hassleholms IF v Kvarnby, Favorite: ,Hassleholms IF, 9371563   size:2.0,Price: ,1.73,Kvarnby, 5606279   size:2.46,Price: ,3.25,The Draw, 58805   size:3.44,Price: ,3.65,
