1.121206478, Sport: ,Tennis, Time: ,Tue Oct 13 03:00:00 CEST 2015, Time: ,Tue Oct 13 03:00:00 CEST 2015, Event: ,Ozeki v Ayukawa, Favorite: ,Michika Ozeki, 8887168   size:276.31,Price: ,1.03,Mana Ayukawa, 7683134   size:8.2,Price: ,1.03,ok
1.121040365, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Austria v Liechtenstein, Favorite: ,Austria, 61463   size:130446.15,Price: ,1.05,Liechtenstein, 25909   size:6.09,Price: ,85.0,The Draw, 58805   size:205.6,Price: ,22.0,ok
1.121197301, Sport: ,Tennis, Time: ,Mon Oct 12 18:30:00 CEST 2015, Time: ,Mon Oct 12 18:30:00 CEST 2015, Event: ,Flipkens v Lepchenko, Favorite: ,Varvara Lepchenko, 2263576   size:244.84,Price: ,1.76,Kirsten Flipkens, 2264530   size:56.59,Price: ,2.26,x
1.121041172, Sport: ,Soccer, Time: ,Mon Oct 12 17:00:00 CEST 2015, Time: ,Mon Oct 12 17:00:00 CEST 2015, Event: ,Hapoel Nazareth Illit v Ironi Ramat HaSharon, Favorite: ,Ironi Ramat HaSharon, 6242601   size:26.08,Price: ,2.4,Hapoel Nazareth Illit, 5178712   size:31.21,Price: ,3.25,The Draw, 58805   size:14.97,Price: ,3.5,x
1.121145227, Sport: ,Soccer, Time: ,Mon Oct 12 17:00:00 CEST 2015, Time: ,Mon Oct 12 17:00:00 CEST 2015, Event: ,Croatia U21 v Russia U21, Favorite: ,Croatia U21, 210054   size:71.17,Price: ,1.96,Russia U21, 354489   size:2.7,Price: ,4.3,The Draw, 58805   size:51.97,Price: ,3.7,x
1.121107701, Sport: ,Ice Hockey, Time: ,Mon Oct 12 20:30:00 CEST 2015, Time: ,Mon Oct 12 20:30:00 CEST 2015, Event: ,Odense v Sonderjyske, Favorite: ,SonderjyskE, 925697   size:135.17,Price: ,2.08,Odense, 70624   size:4.15,Price: ,2.5,Tie, 60104   size:103.79,Price: ,4.3,ok
1.121106733, Sport: ,Basketball, Time: ,Mon Oct 12 20:30:00 CEST 2015, Time: ,Mon Oct 12 20:30:00 CEST 2015, Event: ,Paris Levallois v Lyon, Favorite: ,Lyon, 1297016   size:23.99,Price: ,1.8,Paris Levallois, 2638786   size:5.03,Price: ,2.18,ok
1.121194553, Sport: ,Soccer, Time: ,Mon Oct 12 21:00:00 CEST 2015, Time: ,Mon Oct 12 21:00:00 CEST 2015, Event: ,Sportivo AC Las Parejas v CGB Santa Rosa, Favorite: ,Sportivo AC Las Parejas, 9564589   size:10.55,Price: ,1.22,CGB Santa Rosa, 10103803   size:10.55,Price: ,1.22,The Draw, 58805   size:5.0,Price: ,3.2,ok
1.121188437, Sport: ,Tennis, Time: ,Tue Oct 13 09:15:00 CEST 2015, Time: ,Tue Oct 13 09:15:00 CEST 2015, Event: ,P Cuevas v Troicki, Favorite: ,Viktor Troicki, 2263624   size:598.34,Price: ,1.8,Pablo Cuevas, 2424953   size:26.27,Price: ,2.2,ok
1.121201938, Sport: ,Soccer, Time: ,Tue Oct 13 02:00:00 CEST 2015, Time: ,Tue Oct 13 02:00:00 CEST 2015, Event: ,Fortaleza (Col) v Real Cartagena, Favorite: ,Fortaleza (Col), 8220184   size:8.9,Price: ,2.08,Real Cartagena, 5284704   size:2.59,Price: ,3.6,The Draw, 58805   size:5.21,Price: ,3.35,ok
1.121110802, Sport: ,Ice Hockey, Time: ,Mon Oct 12 19:00:00 CEST 2015, Time: ,Mon Oct 12 19:00:00 CEST 2015, Event: ,Hasten v Pantern, Favorite: ,Tie, 60104   size:13.24,Price: ,1.01,Hasten, 5427573   size:5.71,Price: ,1.21,Pantern, 9322154   size:5.71,Price: ,1.21,ok
1.121205610, Sport: ,Tennis, Time: ,Tue Oct 13 09:00:00 CEST 2015, Time: ,Tue Oct 13 09:00:00 CEST 2015, Event: ,Y Bhambri v Mektic, Favorite: ,Yuki Bhambri, 3772081   size:5.71,Price: ,1.15,Nikola Mektic, 3658467   size:38.24,Price: ,5.6,ok
1.121206497, Sport: ,Tennis, Time: ,Tue Oct 13 04:30:00 CEST 2015, Time: ,Tue Oct 13 04:30:00 CEST 2015, Event: ,Shuto v Kakizawa, Favorite: ,Minami Shuto, 10347237   size:8.2,Price: ,1.03,Akari Kakizawa, 10347576   size:8.2,Price: ,1.03,x
1.121196320, Sport: ,Tennis, Time: ,Tue Oct 13 08:45:00 CEST 2015, Time: ,Tue Oct 13 08:45:00 CEST 2015, Event: ,D Sela v Ivashka, Favorite: ,Dudi Sela, 2263685   size:5.71,Price: ,1.28,Ilya Ivashka, 8304047   size:13.74,Price: ,3.95,ok
1.121100588, Sport: ,Soccer, Time: ,Tue Oct 13 09:30:00 CEST 2015, Time: ,Tue Oct 13 09:30:00 CEST 2015, Event: ,North Korea v Yemen, Favorite: ,Yemen, 920035   size:18.21,Price: ,1.08,North Korea, 548596   size:2.55,Price: ,1.14,The Draw, 58805   size:4.36,Price: ,7.2,x
1.121195198, Sport: ,Tennis, Time: ,Mon Oct 12 21:45:00 CEST 2015, Time: ,Mon Oct 12 21:45:00 CEST 2015, Event: ,Ma Gonzalez v J Paz, Favorite: ,Maximo Gonzalez, 2489416   size:2.55,Price: ,1.15,Juan Pablo Paz, 8461061   size:4.19,Price: ,6.4,ok
1.121119983, Sport: ,Basketball, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Zadar v Mega Vizura, Favorite: ,Mega Vizura, 7735104   size:6.1,Price: ,1.96,Zadar, 680759   size:3.11,Price: ,1.98,ok
1.121195193, Sport: ,Tennis, Time: ,Mon Oct 12 19:45:00 CEST 2015, Time: ,Mon Oct 12 19:45:00 CEST 2015, Event: ,Lipovsek Puches v Trungelliti, Favorite: ,Marco Trungelliti, 6498878   size:6.65,Price: ,1.5,Tomas Lipovsek Puches, 8174492   size:6.7,Price: ,2.8,ok
1.121196725, Sport: ,Tennis, Time: ,Mon Oct 12 16:52:00 CEST 2015, Time: ,Mon Oct 12 16:52:00 CEST 2015, Event: ,Solovyeva/Vogt v Duque-Mari/Soler-Espin, Favorite: ,Solovyeva/Vogt, 10408358   size:3.51,Price: ,1.35,Duque-Mari/Soler-Espin, 10408359   size:13.19,Price: ,2.34,ok
1.121194388, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Novelda CF v Elche Ilicitano, Favorite: ,Elche Ilicitano, 10243224   size:6.75,Price: ,2.8,Novelda CF, 6884092   size:5.4,Price: ,2.9,The Draw, 58805   size:7.15,Price: ,2.82,ok
1.121195508, Sport: ,Tennis, Time: ,Mon Oct 12 22:45:00 CEST 2015, Time: ,Mon Oct 12 22:45:00 CEST 2015, Event: ,Tiafoe v Michalicka, Favorite: ,Frances Tiafoe, 9399490   size:3.31,Price: ,1.51,Marek Michalicka, 7048682   size:32.45,Price: ,2.66,ok
1.121189112, Sport: ,Basketball, Time: ,Tue Oct 13 02:00:00 CEST 2015, Time: ,Tue Oct 13 02:00:00 CEST 2015, Event: ,New Orleans @ Chicago, Favorite: ,Chicago, 13117   size:8.2,Price: ,1.03,New Orleans, 6860646   size:5.71,Price: ,1.31,x
