1.119275265, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Tipsarevic v M Granollers, Favorite: ,Marcel Granollers, 3035263   size:330.75,Price: ,1.67,Janko Tipsarevic, 2249396   size:111.11,Price: ,2.46,ok
1.119277700, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,L Broady v Matosevic, Favorite: ,Marinko Matosevic, 4423909   size:153.47,Price: ,1.53,Liam Broady, 5626816   size:15.96,Price: ,2.86,x
1.119279327, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,Sharapova v Konta, Favorite: ,Maria Sharapova, 2261745   size:45716.74,Price: ,1.14,Johanna Konta, 5596561   size:53.56,Price: ,7.8,ok
1.119280153, Sport: ,Tennis, Time: ,Mon Jun 29 18:30:00 CEST 2015, Time: ,Mon Jun 29 18:30:00 CEST 2015, Event: ,Strycova v Stephens, Favorite: ,Sloane Stephens, 2923342   size:4.96,Price: ,1.61,Barbora Strycova, 9416669   size:8.11,Price: ,2.52,ok
1.119279050, Sport: ,Tennis, Time: ,Mon Jun 29 14:00:00 CEST 2015, Time: ,Mon Jun 29 14:00:00 CEST 2015, Event: ,Bopanna/Mergea v Smyczek/Vesely, Favorite: ,Bopanna/Mergea, 8890432   size:5.86,Price: ,1.13,Smyczek/Vesely, 9683210   size:7.16,Price: ,3.85,ok
1.119281493, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,Hercog v Davis, Favorite: ,Lauren Davis, 4176991   size:22.94,Price: ,1.86,Polona Hercog, 2548781   size:8.52,Price: ,2.1,ok
1.119273838, Sport: ,Tennis, Time: ,Mon Jun 29 15:30:00 CEST 2015, Time: ,Mon Jun 29 15:30:00 CEST 2015, Event: ,Ebden v Rola, Favorite: ,Matthew Ebden, 4423910   size:7.96,Price: ,1.21,Blaz Rola, 8174357   size:6.96,Price: ,5.1,ok
1.119273759, Sport: ,Tennis, Time: ,Mon Jun 29 14:45:00 CEST 2015, Time: ,Mon Jun 29 14:45:00 CEST 2015, Event: ,Struff v Tomic, Favorite: ,Bernard Tomic, 3588868   size:1265.84,Price: ,1.19,Jan-Lennard Struff, 8259098   size:10.7,Price: ,5.8,ok
1.119275295, Sport: ,Tennis, Time: ,Mon Jun 29 17:45:00 CEST 2015, Time: ,Mon Jun 29 17:45:00 CEST 2015, Event: ,Young v M Baghdatis, Favorite: ,Marcos Baghdatis, 2256469   size:56.89,Price: ,1.52,Donald Young, 2345091   size:5.11,Price: ,2.9,ok
1.119279573, Sport: ,Tennis, Time: ,Mon Jun 29 14:00:00 CEST 2015, Time: ,Mon Jun 29 14:00:00 CEST 2015, Event: ,Errani v Schiavone, Favorite: ,Sara Errani, 2309567   size:253.11,Price: ,1.44,Francesca Schiavone, 2256500   size:232.47,Price: ,3.15,ok
1.119279258, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Pennetta v Diyas, Favorite: ,Flavia Pennetta, 2248507   size:42.58,Price: ,1.67,Zarina Diyas, 4045175   size:6.71,Price: ,2.38,x
1.119274882, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,Saville v Gasquet, Favorite: ,Richard Gasquet, 2249399   size:201.36,Price: ,1.09,Luke Saville, 6965426   size:27.3,Price: ,10.5,ok
1.119277733, Sport: ,Tennis, Time: ,Mon Jun 29 15:30:00 CEST 2015, Time: ,Mon Jun 29 15:30:00 CEST 2015, Event: ,Monaco v F Mayer, Favorite: ,Florian Mayer, 2249400   size:72.82,Price: ,1.39,Juan Monaco, 2258417   size:29.49,Price: ,3.45,x
1.119295933, Sport: ,Tennis, Time: ,Mon Jun 29 15:00:00 CEST 2015, Time: ,Mon Jun 29 15:00:00 CEST 2015, Event: ,Authom v Lapentti, Favorite: ,Giovanni Lapentti, 1565   size:2.83,Price: ,1.92,Maxime Authom, 5908914   size:7.81,Price: ,2.0,ok
1.119282259, Sport: ,Tennis, Time: ,Mon Jun 29 14:45:00 CEST 2015, Time: ,Mon Jun 29 14:45:00 CEST 2015, Event: ,Jurak/Konjuh v Jankovic/Lucic-Baroni, Favorite: ,Jankovic/Lucic-Baroni, 7269481   size:4.29,Price: ,1.31,Jurak/Konjuh, 9685392   size:2.12,Price: ,2.96,x
1.119279149, Sport: ,Tennis, Time: ,Mon Jun 29 14:45:00 CEST 2015, Time: ,Mon Jun 29 14:45:00 CEST 2015, Event: ,Diatchenko v Friedsam, Favorite: ,Anna-Lena Friedsam, 7593369   size:8.85,Price: ,1.91,Vitalia Diatchenko, 3674500   size:8.37,Price: ,2.08,ok
1.119273751, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,Estrella Burgos v B Becker, Favorite: ,Victor Estrella Burgos, 7430580   size:5.56,Price: ,1.88,Benjamin Becker, 2249398   size:109.88,Price: ,2.04,ok
