1.119548165, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Helmond Sport v Dag and Red, Favorite: ,Helmond Sport, 419129   size:148.47,Price: ,1.97,Dag and Red, 66244   size:72.73,Price: ,2.98,The Draw, 58805   size:61.28,Price: ,3.35,ok
1.119430503, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Banik Ostrava v MFK Karvina, Favorite: ,Banik Ostrava, 367581   size:2.63,Price: ,2.0,MFK Karvina, 3358864   size:72.73,Price: ,2.98,The Draw, 58805   size:64.0,Price: ,3.25,x
1.119504341, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,MTK Budapest v Puskas Academia, Favorite: ,MTK Budapest, 473659   size:2.06,Price: ,1.65,The Draw, 58805   size:2.06,Price: ,3.4,Puskas Academia, 7429080   size:2.06,Price: ,4.4,ok
1.119546076, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Crusaders v Kilmarnock, Favorite: ,Kilmarnock, 56086   size:13.83,Price: ,1.59,The Draw, 58805   size:56.47,Price: ,3.55,Crusaders, 539982   size:48.8,Price: ,3.95,ok
1.119432934, Sport: ,Soccer, Time: ,Sat Jul 18 17:45:00 CEST 2015, Time: ,Sat Jul 18 17:45:00 CEST 2015, Event: ,Luzern v Sion, Favorite: ,Luzern, 65784   size:15.86,Price: ,2.08,The Draw, 58805   size:80.04,Price: ,3.5,Sion, 65785   size:43.42,Price: ,3.95,x
1.119551671, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Zlin v FC Nitra, Favorite: ,Zlin, 367580   size:208.71,Price: ,1.69,The Draw, 58805   size:58.77,Price: ,3.45,FC Nitra, 1506281   size:54.33,Price: ,3.65,ok
1.119548025, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Harrogate Town v Barrow, Favorite: ,Barrow, 62647   size:5.91,Price: ,1.83,The Draw, 58805   size:64.0,Price: ,3.25,ok
1.119550203, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Sigma Olomouc v Prostejov, Favorite: ,Sigma Olomouc, 50337   size:288.03,Price: ,1.3,The Draw, 58805   size:43.63,Price: ,4.3,Prostejov, 6607086   size:36.0,Price: ,6.4,ok
1.119571142, Sport: ,Tennis, Time: ,Sat Jul 18 15:45:00 CEST 2015, Time: ,Sat Jul 18 15:45:00 CEST 2015, Event: ,Stanek v Lapentti, Favorite: ,Giovanni Lapentti, 1565   size:73.05,Price: ,1.02,ok
1.119571144, Sport: ,Tennis, Time: ,Sat Jul 18 15:45:00 CEST 2015, Time: ,Sat Jul 18 15:45:00 CEST 2015, Event: ,Arvidsson v Goransson, Favorite: ,Andre Goransson, 9623875   size:73.05,Price: ,1.02,x
1.119547172, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,GKS Belchatow v GKS Katowice, Favorite: ,GKS Belchatow, 1209554   size:5.91,Price: ,1.73,The Draw, 58805   size:61.28,Price: ,3.35,GKS Katowice, 3351396   size:56.47,Price: ,3.55,ok
1.119430649, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Duisburg v Porto, Favorite: ,Porto, 48785   size:7.38,Price: ,1.63,The Draw, 58805   size:2.63,Price: ,3.75,Duisburg, 210943   size:2.63,Price: ,4.2,ok
1.119543931, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,AFC Wimbledon v Millwall, Favorite: ,Millwall, 56036   size:5.91,Price: ,2.16,AFC Wimbledon, 2662218   size:82.76,Price: ,2.74,The Draw, 58805   size:68.56,Price: ,3.1,x
1.119566904, Sport: ,Soccer, Time: ,Sat Jul 18 16:30:00 CEST 2015, Time: ,Sat Jul 18 16:30:00 CEST 2015, Event: ,FK Salaspils v FK Liepaja, Favorite: ,FK Liepaja, 9306437   size:142.57,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119541506, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,England U19 (W) v Spain U19 (W), Favorite: ,Spain U19 (W), 4728902   size:14.17,Price: ,1.71,The Draw, 58805   size:24.77,Price: ,3.7,ok
1.119571139, Sport: ,Tennis, Time: ,Sat Jul 18 15:45:00 CEST 2015, Time: ,Sat Jul 18 15:45:00 CEST 2015, Event: ,Luczak v Lindmark, Favorite: ,Stefan Lindmark, 9625340   size:73.05,Price: ,1.02,x
1.119569853, Sport: ,Tennis, Time: ,Sat Jul 18 17:15:00 CEST 2015, Time: ,Sat Jul 18 17:15:00 CEST 2015, Event: ,Becuzzi v Castagna, Favorite: ,Edoardo Castagna, 8697490   size:45.52,Price: ,1.03,ok
1.119546736, Sport: ,Soccer, Time: ,Sat Jul 18 16:30:00 CEST 2015, Time: ,Sat Jul 18 16:30:00 CEST 2015, Event: ,Feyenoord v VVV, Favorite: ,Feyenoord, 55264   size:288.03,Price: ,1.33,The Draw, 58805   size:45.0,Price: ,4.2,VVV, 503419   size:36.0,Price: ,5.9,x
1.119569737, Sport: ,Tennis, Time: ,Sat Jul 18 15:30:00 CEST 2015, Time: ,Sat Jul 18 15:30:00 CEST 2015, Event: ,Schmiedlova v Hercog, Favorite: ,Polona Hercog, 2548781   size:22.76,Price: ,1.06,Anna Karolina Schmiedlo, 9379842   size:2.06,Price: ,1.66,x
