1.121937974, Sport: ,Basketball, Time: ,Sun Nov 22 10:00:00 CET 2015, Time: ,Sun Nov 22 10:00:00 CET 2015, Event: ,Seoul Knights v Busan Sonicboom, Favorite: ,Seoul Knights, 7954787   size:2.55,Price: ,1.76,Busan Sonicboom, 8941900   size:2.55,Price: ,2.14,x
1.121946329, Sport: ,Soccer, Time: ,Sun Nov 22 12:30:00 CET 2015, Time: ,Sun Nov 22 12:30:00 CET 2015, Event: ,Sporting de Huelva (W) v Valencia (W), Favorite: ,Valencia (W), 5226526   size:12.98,Price: ,2.2,Sporting de Huelva (W), 5227757   size:84.08,Price: ,2.42,The Draw, 58805   size:22.08,Price: ,3.15,x
1.121808444, Sport: ,Soccer, Time: ,Sun Nov 22 13:45:00 CET 2015, Time: ,Sun Nov 22 13:45:00 CET 2015, Event: ,FC Zurich v Lugano, Favorite: ,FC Zurich, 65783   size:4.27,Price: ,1.85,Lugano, 65780   size:7.13,Price: ,4.5,The Draw, 58805   size:542.64,Price: ,4.0,ok
1.121947650, Sport: ,Soccer, Time: ,Sun Nov 22 11:30:00 CET 2015, Time: ,Sun Nov 22 11:30:00 CET 2015, Event: ,CD Alcala v CD San Roque de Cadiz, Favorite: ,CD Alcala, 4923751   size:2.55,Price: ,1.07,CD San Roque de Cadiz, 7717173   size:30.15,Price: ,1.1,The Draw, 58805   size:11.95,Price: ,2.88,ok
1.121948862, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,CD Mostoles v CDA Navalcarnero, Favorite: ,CD Mostoles, 9453568   size:28.53,Price: ,1.1,CDA Navalcarnero, 9376533   size:28.53,Price: ,1.1,The Draw, 58805   size:10.98,Price: ,2.88,x
1.121743727, Sport: ,American Football, Time: ,Sun Nov 22 22:25:00 CET 2015, Time: ,Sun Nov 22 22:25:00 CET 2015, Event: ,Green Bay @ Minnesota, Favorite: ,Green Bay Packers, 50192   size:239.34,Price: ,1.97,Minnesota Vikings, 50191   size:53.32,Price: ,2.0,ok
1.121866362, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,FC Cartagena v Marbella, Favorite: ,FC Cartagena, 5740008   size:115.36,Price: ,2.0,Marbella, 2250362   size:27.17,Price: ,4.2,The Draw, 58805   size:5.26,Price: ,3.35,ok
1.121866360, Sport: ,Soccer, Time: ,Sun Nov 22 15:00:00 CET 2015, Time: ,Sun Nov 22 15:00:00 CET 2015, Event: ,Sevilla B v Cadiz, Favorite: ,Cadiz, 516259   size:121.78,Price: ,2.66,Sevilla B, 6603999   size:3.13,Price: ,2.98,The Draw, 58805   size:59.21,Price: ,3.1,x
1.121937859, Sport: ,Basketball, Time: ,Sun Nov 22 18:15:00 CET 2015, Time: ,Sun Nov 22 18:15:00 CET 2015, Event: ,Varese v Bologna, Favorite: ,Varese, 276233   size:2.55,Price: ,1.39,Bologna, 978665   size:15.5,Price: ,3.3,ok
1.121939917, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Ravan Baku v Zira, Favorite: ,Zira, 10135613   size:5.0,Price: ,1.5,Ravan Baku, 6178623   size:5.0,Price: ,3.4,The Draw, 58805   size:14.36,Price: ,2.9,x
1.121789766, Sport: ,Soccer, Time: ,Sun Nov 22 22:30:00 CET 2015, Time: ,Sun Nov 22 22:30:00 CET 2015, Event: ,Sport Recife v Atletico PR, Favorite: ,Sport Recife, 2405306   size:19.76,Price: ,1.77,Atletico PR, 442159   size:34.82,Price: ,5.2,The Draw, 58805   size:85.85,Price: ,3.95,x
1.121809649, Sport: ,Soccer, Time: ,Sun Nov 22 14:30:00 CET 2015, Time: ,Sun Nov 22 14:30:00 CET 2015, Event: ,Fenix v Cerro, Favorite: ,Fenix, 328691   size:2.78,Price: ,2.36,Cerro, 2329297   size:2.85,Price: ,2.82,The Draw, 58805   size:5.01,Price: ,3.65,x
