1.121880876, Sport: ,Soccer, Time: ,Fri Nov 20 16:30:00 CET 2015, Time: ,Fri Nov 20 16:30:00 CET 2015, Event: ,Al Mesaimeer v Al Wakrah, Favorite: ,Al Wakrah, 5170863   size:2.55,Price: ,1.87,AL Mesaimeer, 9100532   size:2.55,Price: ,3.65,The Draw, 58805   size:3.95,Price: ,3.4,ok
1.121810405, Sport: ,Tennis, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Dodig/Melo v Matkowski/Zimonjic, Favorite: ,Dodig/Melo, 6195133   size:2.55,Price: ,1.35,Matkowski/Zimonjic, 9312205   size:67.04,Price: ,3.35,ok
1.121772243, Sport: ,Soccer, Time: ,Fri Nov 20 15:00:00 CET 2015, Time: ,Fri Nov 20 15:00:00 CET 2015, Event: ,ASM Oran v USM Alger, Favorite: ,USM Alger, 6505229   size:2.68,Price: ,2.08,ASM Oran, 8954905   size:2.86,Price: ,3.25,The Draw, 58805   size:2.04,Price: ,3.05,ok
1.121881045, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,ACSO Filiasi v CS National Sebis, Favorite: ,ACSO Filiasi, 9386588   size:10.0,Price: ,1.12,CS National Sebis, 7862165   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121883466, Sport: ,Tennis, Time: ,Fri Nov 20 01:59:00 CET 2015, Time: ,Fri Nov 20 01:59:00 CET 2015, Event: ,Jaziri v Fritz, Favorite: ,Taylor Fritz, 10279360   size:7237.04,Price: ,1.02,Malek Jaziri, 5776215   size:14.25,Price: ,15.5,ok
1.121772129, Sport: ,Soccer, Time: ,Fri Nov 20 14:30:00 CET 2015, Time: ,Fri Nov 20 14:30:00 CET 2015, Event: ,NorthEast Utd FC v Mumbai City, Favorite: ,NorthEast Utd FC, 10360661   size:3.44,Price: ,2.24,Mumbai City, 8897745   size:41.73,Price: ,3.45,The Draw, 58805   size:5.21,Price: ,3.25,ok
1.121881281, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,CS Osorhei v AFC Odorheiu Secuiesc, Favorite: ,CS Osorhei, 7773853   size:10.0,Price: ,1.12,AFC Odorheiu Secuiesc, 10493575   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,ok
1.121871924, Sport: ,Tennis, Time: ,Fri Nov 20 03:30:00 CET 2015, Time: ,Fri Nov 20 03:30:00 CET 2015, Event: ,Sugita v Ebden, Favorite: ,Matthew Ebden, 4423910   size:7.01,Price: ,1.68,Yuichi Sugita, 3374117   size:25.68,Price: ,2.4,ok
1.121857250, Sport: ,American Football, Time: ,Fri Nov 20 03:30:00 CET 2015, Time: ,Fri Nov 20 03:30:00 CET 2015, Event: ,Louisiana Monroe @ Texas State, Favorite: ,Texas State, 6624048   size:19.45,Price: ,1.46,Louisiana Monroe, 2154510   size:28.12,Price: ,3.1,ok
1.121774022, Sport: ,Soccer, Time: ,Fri Nov 20 16:30:00 CET 2015, Time: ,Fri Nov 20 16:30:00 CET 2015, Event: ,Lokomotiv Plovdiv v Montana, Favorite: ,Lokomotiv Plovdiv, 878125   size:2.55,Price: ,1.67,Montana, 3475110   size:5.14,Price: ,5.2,The Draw, 58805   size:2.55,Price: ,3.75,ok
1.121773295, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Hong Kong Rangers v Eastern AA, Favorite: ,Hong Kong Rangers, 9445585   size:10.0,Price: ,1.12,Eastern AA, 9253857   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121872176, Sport: ,Tennis, Time: ,Fri Nov 20 11:30:00 CET 2015, Time: ,Fri Nov 20 11:30:00 CET 2015, Event: ,Lee/Yang v Chan/Namigata, Favorite: ,Chan/Namigata, 10530501   size:3.13,Price: ,1.21,Lee/Yang, 9182417   size:12.33,Price: ,4.4,ok
1.121881336, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Dinamo Bucharest II v CS Petrolistul Boldesti, Favorite: ,Dinamo Bucharest II, 5806014   size:10.0,Price: ,1.12,CS Petrolistul Boldesti, 10540271   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121877076, Sport: ,Basketball, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,Anyang KGC Pro v Incheon Elephants, Favorite: ,Anyang KGC Pro, 10276570   size:8.61,Price: ,1.27,Incheon Elephants, 8248315   size:25.91,Price: ,3.75,ok
1.121871928, Sport: ,Tennis, Time: ,Fri Nov 20 03:30:00 CET 2015, Time: ,Fri Nov 20 03:30:00 CET 2015, Event: ,Yo Nishioka v Soeda, Favorite: ,Yoshihito Nishioka, 7137497   size:98.34,Price: ,1.85,Go Soeda, 2249835   size:7.54,Price: ,2.06,x
1.121880762, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Wisla Krakow U19 v MKS KSZO-Junior U19, Favorite: ,Wisla Krakow U19, 7579700   size:10.0,Price: ,1.12,MKS KSZO-Junior U19, 7583353   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
