1.122702083, Sport: ,Soccer, Time: ,Sat Jan 23 21:00:00 CET 2016, Time: ,Sat Jan 23 21:00:00 CET 2016, Event: ,Deportes Linares v Colchagua CD, Favorite: ,Deportes Linares, 7118826   size:6.29,Price: ,2.2,Colchagua CD, 7376195   size:2.35,Price: ,2.72,The Draw, 58805   size:4.43,Price: ,3.55
1.122702138, Sport: ,Soccer, Time: ,Sat Jan 23 22:00:00 CET 2016, Time: ,Sat Jan 23 22:00:00 CET 2016, Event: ,Deportes Melipilla v CD Trasandino, Favorite: ,Deportes Melipilla, 7084729   size:21.16,Price: ,2.4,CD Trasandino, 6615201   size:20.45,Price: ,2.74,The Draw, 58805   size:2.55,Price: ,3.3
1.122702002, Sport: ,Soccer, Time: ,Sun Jan 24 00:00:00 CET 2016, Time: ,Sun Jan 24 00:00:00 CET 2016, Event: ,La Serena v Curico Unido, Favorite: ,La Serena, 5129868   size:8.1,Price: ,2.34,Curico Unido, 5429246   size:6.11,Price: ,3.15,The Draw, 58805   size:8.26,Price: ,3.35
1.122722338, Sport: ,Soccer, Time: ,Sun Jan 24 08:45:00 CET 2016, Time: ,Sun Jan 24 08:45:00 CET 2016, Event: ,FC Infonet II v Nomme Kalju II, Favorite: ,FC Infonet II, 8866982   size:13.88,Price: ,1.04,Nomme Kalju II, 10396212   size:13.88,Price: ,1.04,The Draw, 58805   size:4.62,Price: ,1.12
1.122722393, Sport: ,Soccer, Time: ,Sun Jan 24 10:30:00 CET 2016, Time: ,Sun Jan 24 10:30:00 CET 2016, Event: ,Vandra Vaprus v FC Raasiku Joker, Favorite: ,Vandra Vaprus, 7143732   size:13.88,Price: ,1.04,FC Raasiku Joker, 7313708   size:13.88,Price: ,1.04,The Draw, 58805   size:5.55,Price: ,1.1
1.122725604, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,CD Toledo II v CD Quintanar del Rey, Favorite: ,CD Toledo II, 8859058   size:9.25,Price: ,1.06,CD Quintanar del Rey, 8357614   size:9.25,Price: ,1.06,The Draw, 58805   size:7.93,Price: ,1.07
1.122725569, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,Conquense v Munera CF, Favorite: ,Conquense, 565027   size:9.25,Price: ,1.06,Munera CF, 10215351   size:9.25,Price: ,1.06,The Draw, 58805   size:7.93,Price: ,1.07
1.122722270, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,Georgia U19 v Bulgaria U19, Favorite: ,Georgia U19, 1474125   size:13.88,Price: ,1.04,Bulgaria U19, 1472344   size:13.88,Price: ,1.04,The Draw, 58805   size:9.25,Price: ,1.06
1.122725563, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,CD Cuarte Industrial v CF Villa de Alagon, Favorite: ,The Draw, 58805   size:11.1,Price: ,1.05,CD Cuarte Industrial, 6400481   size:9.25,Price: ,1.06,CF Villa de Alagon, 8923239   size:9.25,Price: ,1.06
1.122725599, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,SD Formentera v UD Poblense, Favorite: ,The Draw, 58805   size:11.1,Price: ,1.05,SD Formentera, 7698054   size:9.25,Price: ,1.06,UD Poblense, 7295857   size:9.25,Price: ,1.06
