1.121133208, Sport: ,Handball, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,Lemgo v Gummersbach, Favorite: ,Draw, 330157   size:18.61,Price: ,1.02,Lemgo, 2201967   size:2.6,Price: ,1.92,Gummersbach, 2201945   size:2.1,Price: ,2.38,x
1.121188599, Sport: ,Tennis, Time: ,Sat Oct 10 22:45:00 CEST 2015, Time: ,Sat Oct 10 22:45:00 CEST 2015, Event: ,Kutrovsky v Roelofse, Favorite: ,Dimitar Kutrovsky, 6163094   size:3.08,Price: ,1.08,Ruan Roelofse, 7364224   size:3.08,Price: ,1.08,ok
1.121018992, Sport: ,Volleyball, Time: ,Sat Oct 10 17:00:00 CEST 2015, Time: ,Sat Oct 10 17:00:00 CEST 2015, Event: ,UBE Lilla-Grau v Ushuaia Ibiza, Favorite: ,Grau, 6742609   size:32.07,Price: ,1.01,Ibiza, 7715607   size:32.07,Price: ,1.01,x
1.121017781, Sport: ,Soccer, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Linfield v Glentoran, Favorite: ,Linfield, 44330   size:2.46,Price: ,1.62,Glentoran, 46944   size:15.01,Price: ,5.8,The Draw, 58805   size:5.0,Price: ,4.5,x
1.121018990, Sport: ,Volleyball, Time: ,Sat Oct 10 18:30:00 CEST 2015, Time: ,Sat Oct 10 18:30:00 CEST 2015, Event: ,Textil Santanderina v A.d. Caceres VB, Favorite: ,Textil Santanderina, 10256875   size:32.07,Price: ,1.01,Caceres, 10370366   size:32.07,Price: ,1.01,x
1.121103931, Sport: ,Soccer, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,Cadiz v Murcia, Favorite: ,Cadiz, 516259   size:2.69,Price: ,1.72,Murcia, 68244   size:5.21,Price: ,4.9,The Draw, 58805   size:4.38,Price: ,3.55,x
1.121017795, Sport: ,Soccer, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,Goslarer v TSV Schilksee, Favorite: ,Goslarer, 6542386   size:25.9,Price: ,1.55,TSV Schilksee, 9461156   size:17.63,Price: ,6.4,The Draw, 58805   size:2.83,Price: ,4.6,x
1.121119022, Sport: ,Soccer, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,FC Poltava v Hirnyk, Favorite: ,Hirnyk, 7709692   size:3.59,Price: ,2.2,FC Poltava, 4115367   size:2.88,Price: ,2.74,The Draw, 58805   size:3.97,Price: ,2.92,x
1.121017799, Sport: ,Soccer, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Carlstad Utd v Vasalunds IF, Favorite: ,Carlstad Utd, 5505024   size:8.5,Price: ,2.22,Vasalunds IF, 2996873   size:7.27,Price: ,3.3,The Draw, 58805   size:99.51,Price: ,3.7,x
1.121090319, Sport: ,American Football, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,Illinois @ Iowa, Favorite: ,Iowa, 673399   size:188.0,Price: ,1.24,Illinois, 2113608   size:2.6,Price: ,4.6,ok
