1.121584906, Sport: ,Soccer, Time: ,Sun Nov 08 19:00:00 CET 2015, Time: ,Sun Nov 08 19:00:00 CET 2015, Event: ,Sparta Prague v Teplice, Favorite: ,Sparta Prague, 110475   size:489.58,Price: ,1.31,Teplice, 174264   size:3.86,Price: ,11.5,The Draw, 58805   size:49.72,Price: ,6.0,ok
1.121716692, Sport: ,Tennis, Time: ,Sun Nov 08 10:00:00 CET 2015, Time: ,Sun Nov 08 10:00:00 CET 2015, Event: ,Begemann/Raja v Lee/Lu, Favorite: ,Begemann/Raja, 10482815   size:3.68,Price: ,1.54,Lee/Lu, 10482813   size:4.43,Price: ,2.3,x
1.121578226, Sport: ,Soccer, Time: ,Sun Nov 08 16:15:00 CET 2015, Time: ,Sun Nov 08 16:15:00 CET 2015, Event: ,Levadiakos v Veria, Favorite: ,Levadiakos, 531200   size:4.21,Price: ,2.08,Veria, 1210422   size:92.52,Price: ,4.2,The Draw, 58805   size:169.32,Price: ,3.35,x
1.121708806, Sport: ,Soccer, Time: ,Sun Nov 08 12:00:00 CET 2015, Time: ,Sun Nov 08 12:00:00 CET 2015, Event: ,Club Siero v UP Langreo, Favorite: ,Club Siero, 10298281   size:4.25,Price: ,1.07,UP Langreo, 6399742   size:4.25,Price: ,1.07,The Draw, 58805   size:7.0,Price: ,2.88,x
1.121580788, Sport: ,Soccer, Time: ,Sun Nov 08 13:00:00 CET 2015, Time: ,Sun Nov 08 13:00:00 CET 2015, Event: ,CS Uni Craiova v Targu Mures, Favorite: ,CS Uni Craiova, 7615862   size:280.63,Price: ,2.42,Targu Mures, 3413079   size:6.64,Price: ,3.55,The Draw, 58805   size:31.38,Price: ,3.15,x
1.121695249, Sport: ,Basketball, Time: ,Sun Nov 08 10:00:00 CET 2015, Time: ,Sun Nov 08 10:00:00 CET 2015, Event: ,Dongbu Promy v Jeonju KCC Egis, Favorite: ,Dongbu Promy, 5154590   size:130.2,Price: ,1.62,Jeonju KCC Egis, 8148243   size:2.55,Price: ,2.42,x
1.121695369, Sport: ,Basketball, Time: ,Sun Nov 08 18:00:00 CET 2015, Time: ,Sun Nov 08 18:00:00 CET 2015, Event: ,Polpharma Starogard v Trefl Sopot, Favorite: ,Trefl Sopot, 4235235   size:2.55,Price: ,1.59,Polpharma Starogard, 2125690   size:2.55,Price: ,2.46,x
1.121695365, Sport: ,Basketball, Time: ,Sun Nov 08 18:00:00 CET 2015, Time: ,Sun Nov 08 18:00:00 CET 2015, Event: ,Ostrow Wielkopolski v Turow Zgorzelec, Favorite: ,Turow Zgorzelec, 1434930   size:2.56,Price: ,1.39,Ostrow Wielkopolski, 10387986   size:4.0,Price: ,2.7,x
1.121717785, Sport: ,Tennis, Time: ,Sun Nov 08 14:45:00 CET 2015, Time: ,Sun Nov 08 14:45:00 CET 2015, Event: ,Neuchrist v Sancic, Favorite: ,Maximilian Neuchrist, 7797896   size:2.55,Price: ,1.1,Antonio Sancic, 8826899   size:2.55,Price: ,1.18,ok
1.121718874, Sport: ,Soccer, Time: ,Sun Nov 08 09:30:00 CET 2015, Time: ,Sun Nov 08 09:30:00 CET 2015, Event: ,Lucky Mile v Hong Kong FC, Favorite: ,Hong Kong FC, 5222607   size:2.55,Price: ,1.21,Lucky Mile, 8858491   size:9.61,Price: ,8.0,The Draw, 58805   size:6.44,Price: ,5.1,ok
1.121695361, Sport: ,Basketball, Time: ,Sun Nov 08 17:30:00 CET 2015, Time: ,Sun Nov 08 17:30:00 CET 2015, Event: ,Kutno v Szczecin, Favorite: ,Kutno, 8832805   size:2.55,Price: ,1.44,Szczecin, 8832807   size:2.55,Price: ,2.52,ok
1.121649462, Sport: ,Ice Hockey, Time: ,Sun Nov 08 16:00:00 CET 2015, Time: ,Sun Nov 08 16:00:00 CET 2015, Event: ,AIK v Tingsryd, Favorite: ,AIK, 2075196   size:54.02,Price: ,1.59,Tingsryd, 5877522   size:117.84,Price: ,4.0,Tie, 60104   size:107.12,Price: ,4.3,x
1.121581508, Sport: ,Soccer, Time: ,Sun Nov 08 16:30:00 CET 2015, Time: ,Sun Nov 08 16:30:00 CET 2015, Event: ,Ross Co v Celtic, Favorite: ,Celtic, 55223   size:438.26,Price: ,1.41,Ross Co, 674742   size:14.65,Price: ,9.0,The Draw, 58805   size:31.81,Price: ,5.3,ok
1.121704205, Sport: ,Soccer, Time: ,Sun Nov 08 16:00:00 CET 2015, Time: ,Sun Nov 08 16:00:00 CET 2015, Event: ,Nublense v Rangers (Chile), Favorite: ,Nublense, 3303740   size:11.96,Price: ,1.66,Rangers (Chile), 6105742   size:10.24,Price: ,2.94,The Draw, 58805   size:26.29,Price: ,2.92,ok
1.121581749, Sport: ,Soccer, Time: ,Sun Nov 08 17:00:00 CET 2015, Time: ,Sun Nov 08 17:00:00 CET 2015, Event: ,Maritimo v Rio Ave, Favorite: ,Maritimo, 46964   size:2.06,Price: ,2.22,Rio Ave, 495321   size:43.72,Price: ,3.85,The Draw, 58805   size:478.64,Price: ,3.3,ok
1.121646191, Sport: ,Basketball, Time: ,Sun Nov 08 17:00:00 CET 2015, Time: ,Sun Nov 08 17:00:00 CET 2015, Event: ,Tajfun v Union Olimpija, Favorite: ,Union Olimpija, 266278   size:7.55,Price: ,1.41,Tajfun, 8193254   size:7.55,Price: ,3.05,x
