1.122070105, Sport: ,Soccer, Time: ,Mon Dec 07 15:00:00 CET 2015, Time: ,Mon Dec 07 15:00:00 CET 2015, Event: ,Millwall U21 v Brentford U21, Favorite: ,Millwall U21, 6751920   size:3.67,Price: ,1.11,Brentford U21, 6628855   size:3.67,Price: ,1.11,The Draw, 58805   size:16.68,Price: ,3.1,ok
1.122144109, Sport: ,Handball, Time: ,Mon Dec 07 19:45:00 CET 2015, Time: ,Mon Dec 07 19:45:00 CET 2015, Event: ,Redbergslids v Ricoh, Favorite: ,Redbergslids, 3771721   size:2.78,Price: ,1.03,Ricoh, 8836769   size:5.97,Price: ,1.74,Draw, 330157   size:5.97,Price: ,1.74,x
1.122124016, Sport: ,Basketball, Time: ,Mon Dec 07 00:00:00 CET 2015, Time: ,Mon Dec 07 00:00:00 CET 2015, Event: ,Davidson @ North Carolina, Favorite: ,North Carolina, 332652   size:1804.73,Price: ,1.08,Davidson, 705251   size:19.59,Price: ,10.5,ok
1.122177077, Sport: ,Basketball, Time: ,Mon Dec 07 20:35:00 CET 2015, Time: ,Mon Dec 07 20:35:00 CET 2015, Event: ,Slask Wroclaw v Turow Zgorzelec, Favorite: ,Turow Zgorzelec, 1434930   size:8.05,Price: ,1.91,Slask Wroclaw, 272970   size:2.54,Price: ,1.97,ok
1.122152094, Sport: ,Basketball, Time: ,Mon Dec 07 00:00:00 CET 2015, Time: ,Mon Dec 07 00:00:00 CET 2015, Event: ,Dallas @ Washington, Favorite: ,Dallas, 13122   size:984.09,Price: ,1.82,Washington, 13105   size:300.0,Price: ,2.2,ok
1.122042362, Sport: ,Soccer, Time: ,Mon Dec 07 19:00:00 CET 2015, Time: ,Mon Dec 07 19:00:00 CET 2015, Event: ,Kaiserslautern II v Pirmasens, Favorite: ,Kaiserslautern II, 5391154   size:5.0,Price: ,1.86,Pirmasens, 1550831   size:10.36,Price: ,4.4,The Draw, 58805   size:2.54,Price: ,3.8,ok
1.122070113, Sport: ,Soccer, Time: ,Mon Dec 07 20:00:00 CET 2015, Time: ,Mon Dec 07 20:00:00 CET 2015, Event: ,Hull U21 v Leeds U21, Favorite: ,Hull U21, 10123519   size:3.67,Price: ,1.11,Leeds U21, 6867657   size:3.67,Price: ,1.11,The Draw, 58805   size:16.68,Price: ,3.15,x
1.122178684, Sport: ,Soccer, Time: ,Mon Dec 07 14:30:00 CET 2015, Time: ,Mon Dec 07 14:30:00 CET 2015, Event: ,Bristol City U21 v Cardiff U21, Favorite: ,Bristol City U21, 6597941   size:3.67,Price: ,1.11,Cardiff U21, 6820449   size:3.67,Price: ,1.11,The Draw, 58805   size:11.12,Price: ,3.15,x
1.122040502, Sport: ,Soccer, Time: ,Mon Dec 07 19:00:00 CET 2015, Time: ,Mon Dec 07 19:00:00 CET 2015, Event: ,AaB v Viborg, Favorite: ,AaB, 28212   size:72.59,Price: ,1.74,Viborg, 10780   size:40.04,Price: ,5.5,The Draw, 58805   size:283.79,Price: ,4.0,ok
1.121970548, Sport: ,American Football, Time: ,Mon Dec 07 02:30:00 CET 2015, Time: ,Mon Dec 07 02:30:00 CET 2015, Event: ,Indianapolis @ Pittsburgh, Favorite: ,Pittsburgh Steelers, 50208   size:15803.52,Price: ,1.24,Indianapolis Colts, 50200   size:135.56,Price: ,5.0,ok
1.122085852, Sport: ,Soccer, Time: ,Sun Dec 06 22:00:00 CET 2015, Time: ,Sun Dec 06 22:00:00 CET 2015, Event: ,Columbus v Portland Timbers, Favorite: ,Portland Timbers, 4004854   size:407.54,Price: ,2.0,Columbus, 171903   size:202.86,Price: ,4.1,The Draw, 58805   size:27.79,Price: ,3.75,ok
1.122070117, Sport: ,Soccer, Time: ,Mon Dec 07 20:00:00 CET 2015, Time: ,Mon Dec 07 20:00:00 CET 2015, Event: ,Nottm Forest U21 v Bolton U21, Favorite: ,Nottm Forest U21, 6815552   size:3.67,Price: ,1.11,Bolton U21, 6594013   size:3.67,Price: ,1.11,The Draw, 58805   size:19.45,Price: ,3.15,ok
1.122170060, Sport: ,Soccer, Time: ,Mon Dec 07 17:00:00 CET 2015, Time: ,Mon Dec 07 17:00:00 CET 2015, Event: ,Mexico U20 (W) v Haiti U20 (W), Favorite: ,Mexico U20 (W), 4835202   size:2.91,Price: ,1.03,Haiti U20 (W), 10585749   size:55.0,Price: ,38.0,The Draw, 58805   size:2.71,Price: ,22.0,ok
1.122166648, Sport: ,Ice Hockey, Time: ,Mon Dec 07 19:00:00 CET 2015, Time: ,Mon Dec 07 19:00:00 CET 2015, Event: ,Mora v Hasten, Favorite: ,Mora, 247115   size:10.11,Price: ,1.04,Hasten, 5427573   size:10.11,Price: ,1.04,Tie, 60104   size:5.97,Price: ,1.12,x
1.122177081, Sport: ,Basketball, Time: ,Mon Dec 07 19:00:00 CET 2015, Time: ,Mon Dec 07 19:00:00 CET 2015, Event: ,Zielona Gora v Siden Torun, Favorite: ,Zielona Gora, 6703617   size:1392.55,Price: ,1.1,Siden Torun, 8832718   size:2.54,Price: ,1.75,ok
1.122182797, Sport: ,Soccer, Time: ,Mon Dec 07 18:45:00 CET 2015, Time: ,Mon Dec 07 18:45:00 CET 2015, Event: ,Sao Paulo FC U20 v Flamengo U20, Favorite: ,Sao Paulo FC U20, 6714726   size:1027.87,Price: ,1.64,Flamengo U20, 6006854   size:312.27,Price: ,2.74,The Draw, 58805   size:15.78,Price: ,2.9,ok
1.122177241, Sport: ,Basketball, Time: ,Mon Dec 07 18:00:00 CET 2015, Time: ,Mon Dec 07 18:00:00 CET 2015, Event: ,Inter Bratislava v Svit, Favorite: ,Inter Bratislava, 6719594   size:2.78,Price: ,1.03,Svit, 6719642   size:2.78,Price: ,1.03,ok
1.122153175, Sport: ,Soccer, Time: ,Sun Dec 06 23:00:00 CET 2015, Time: ,Sun Dec 06 23:00:00 CET 2015, Event: ,Junior v Santa Fe, Favorite: ,Junior, 363629   size:47.81,Price: ,1.56,Santa Fe, 4908158   size:261.28,Price: ,7.6,The Draw, 58805   size:58.0,Price: ,4.2,ok
1.122070121, Sport: ,Soccer, Time: ,Mon Dec 07 20:00:00 CET 2015, Time: ,Mon Dec 07 20:00:00 CET 2015, Event: ,Watford U21 v Ipswich U21, Favorite: ,Watford U21, 10123520   size:3.67,Price: ,1.11,Ipswich U21, 6799679   size:3.67,Price: ,1.11,The Draw, 58805   size:16.68,Price: ,3.1,x
1.122162317, Sport: ,Basketball, Time: ,Mon Dec 07 17:30:00 CET 2015, Time: ,Mon Dec 07 17:30:00 CET 2015, Event: ,Khimki v Lokomotiv Kuban, Favorite: ,Khimki, 2154546   size:5.97,Price: ,1.4,Lokomotiv Kuban, 5508059   size:13.05,Price: ,3.1,ok
1.122042195, Sport: ,Soccer, Time: ,Mon Dec 07 18:30:00 CET 2015, Time: ,Mon Dec 07 18:30:00 CET 2015, Event: ,PEC Zwolle (Res) v Heracles Almelo (Res), Favorite: ,PEC Zwolle (Res), 10138963   size:3.67,Price: ,1.13,Heracles Almelo (Res), 10138993   size:3.67,Price: ,1.13,The Draw, 58805   size:16.68,Price: ,3.1,x
1.122178571, Sport: ,Soccer, Time: ,Mon Dec 07 20:30:00 CET 2015, Time: ,Mon Dec 07 20:30:00 CET 2015, Event: ,Alloa U20 v Stirling U20, Favorite: ,Alloa U20, 9243282   size:3.67,Price: ,1.13,Stirling U20, 9243449   size:3.67,Price: ,1.13,The Draw, 58805   size:12.51,Price: ,3.15,x
1.122070123, Sport: ,Soccer, Time: ,Mon Dec 07 20:00:00 CET 2015, Time: ,Mon Dec 07 20:00:00 CET 2015, Event: ,West Ham U21 v West Brom U21, Favorite: ,West Ham U21, 6586873   size:3.67,Price: ,1.11,West Brom U21, 6601846   size:3.67,Price: ,1.11,The Draw, 58805   size:20.85,Price: ,3.1,ok
1.122162839, Sport: ,Soccer, Time: ,Sun Dec 06 22:00:00 CET 2015, Time: ,Sun Dec 06 22:00:00 CET 2015, Event: ,Diriangen FC v UNAN Managua, Favorite: ,The Draw, 58805   size:9.72,Price: ,2.4,Diriangen FC, 9038383   size:33.0,Price: ,2.52,UNAN Managua, 9198508   size:33.0,Price: ,2.52,x
1.122041265, Sport: ,Soccer, Time: ,Mon Dec 07 17:00:00 CET 2015, Time: ,Mon Dec 07 17:00:00 CET 2015, Event: ,Hapoel Bnei Lod v Hapoel Nazareth Illit, Favorite: ,Hapoel Bnei Lod, 5337940   size:2.54,Price: ,1.49,Hapoel Nazareth Illit, 5178712   size:10.0,Price: ,4.7,The Draw, 58805   size:13.89,Price: ,3.1,x
1.122113751, Sport: ,Basketball, Time: ,Mon Dec 07 17:00:00 CET 2015, Time: ,Mon Dec 07 17:00:00 CET 2015, Event: ,Yambol v Levski Sofia, Favorite: ,Levski Sofia, 8783027   size:254.82,Price: ,1.3,Yambol, 7753534   size:57.92,Price: ,3.4,ok
1.122040694, Sport: ,Soccer, Time: ,Mon Dec 07 20:30:00 CET 2015, Time: ,Mon Dec 07 20:30:00 CET 2015, Event: ,Ath Bilbao B v Zaragoza, Favorite: ,Ath Bilbao B, 4943238   size:104.88,Price: ,2.7,Zaragoza, 48798   size:29.78,Price: ,3.2,The Draw, 58805   size:1120.61,Price: ,3.15,x
1.122184054, Sport: ,Soccer, Time: ,Mon Dec 07 15:25:00 CET 2015, Time: ,Mon Dec 07 15:25:00 CET 2015, Event: ,Kuwait SC v Al Sulaibikhat, Favorite: ,Kuwait SC, 3013377   size:85.0,Price: ,1.12,Al Sulaibikhat, 9342561   size:12.0,Price: ,1.84,The Draw, 58805   size:5.0,Price: ,1.93,ok
1.122152124, Sport: ,Basketball, Time: ,Mon Dec 07 00:00:00 CET 2015, Time: ,Mon Dec 07 00:00:00 CET 2015, Event: ,LA Lakers @ Detroit, Favorite: ,Detroit, 13111   size:2032.97,Price: ,1.21,LA Lakers, 2120881   size:113.54,Price: ,5.6,ok
1.122177247, Sport: ,Basketball, Time: ,Mon Dec 07 19:04:00 CET 2015, Time: ,Mon Dec 07 19:04:00 CET 2015, Event: ,Nassjo v Sodertalje, Favorite: ,Sodertalje, 6718429   size:2.78,Price: ,1.03,Nassjo, 7735757   size:2.54,Price: ,1.26,x
1.122049823, Sport: ,Soccer, Time: ,Sun Dec 06 23:00:00 CET 2015, Time: ,Sun Dec 06 23:00:00 CET 2015, Event: ,CS Cartagines v CS Uruguay, Favorite: ,CS Cartagines, 6624090   size:37.19,Price: ,1.44,CS Uruguay, 6624079   size:9.88,Price: ,8.8,The Draw, 58805   size:32.52,Price: ,4.8,ok
1.122040337, Sport: ,Soccer, Time: ,Mon Dec 07 21:00:00 CET 2015, Time: ,Mon Dec 07 21:00:00 CET 2015, Event: ,Guimaraes v Rio Ave, Favorite: ,Guimaraes, 50085   size:20.49,Price: ,2.56,Rio Ave, 495321   size:6.76,Price: ,3.3,The Draw, 58805   size:1438.45,Price: ,3.2,ok
1.122085224, Sport: ,Soccer, Time: ,Mon Dec 07 20:00:00 CET 2015, Time: ,Mon Dec 07 20:00:00 CET 2015, Event: ,Mantova v Alessandria, Favorite: ,Alessandria, 4077806   size:7.55,Price: ,2.42,Mantova, 924269   size:8.51,Price: ,2.86,The Draw, 58805   size:13.89,Price: ,3.1,ok
1.122085222, Sport: ,Soccer, Time: ,Mon Dec 07 19:55:00 CET 2015, Time: ,Mon Dec 07 19:55:00 CET 2015, Event: ,Hapoel Haifa v Maccabi Haifa, Favorite: ,Maccabi Haifa, 189818   size:12.37,Price: ,1.87,Hapoel Haifa, 5266551   size:53.34,Price: ,4.6,The Draw, 58805   size:22.55,Price: ,3.45,ok
1.122151977, Sport: ,Basketball, Time: ,Mon Dec 07 20:30:00 CET 2015, Time: ,Mon Dec 07 20:30:00 CET 2015, Event: ,Torino v Pistoia, Favorite: ,Torino, 10369578   size:1524.38,Price: ,1.04,Pistoia, 7735183   size:382.25,Price: ,1.04,x
1.122085226, Sport: ,Soccer, Time: ,Mon Dec 07 20:30:00 CET 2015, Time: ,Mon Dec 07 20:30:00 CET 2015, Event: ,Pontedera v Pisa, Favorite: ,Pisa, 501200   size:3.6,Price: ,2.58,Pontedera, 5727544   size:2.54,Price: ,2.86,The Draw, 58805   size:22.24,Price: ,3.15,ok
1.121970534, Sport: ,American Football, Time: ,Sun Dec 06 22:25:00 CET 2015, Time: ,Sun Dec 06 22:25:00 CET 2015, Event: ,Philadelphia @ New England, Favorite: ,New England Patriots, 50204   size:375.1,Price: ,1.23,Philadelphia Eagles, 50186   size:2.78,Price: ,4.2,x
1.122177050, Sport: ,Basketball, Time: ,Mon Dec 07 17:00:00 CET 2015, Time: ,Mon Dec 07 17:00:00 CET 2015, Event: ,Panathinaikos v Trikala, Favorite: ,Panathinaikos, 266270   size:0.0,Price: ,0.0,Trikala, 3315196   size:9.19,Price: ,1.25,ok
1.122168612, Sport: ,Soccer, Time: ,Sun Dec 06 22:15:00 CET 2015, Time: ,Sun Dec 06 22:15:00 CET 2015, Event: ,Oriente Petrolero v The Strongest, Favorite: ,Oriente Petrolero, 330231   size:216.84,Price: ,1.62,The Strongest, 328205   size:2.78,Price: ,6.8,The Draw, 58805   size:14.03,Price: ,4.0,x
