1.121793238, Sport: ,Soccer, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,Chambly Thelle v Golden Star, Favorite: ,Chambly Thelle, 6063132   size:3.59,Price: ,1.42,Golden Star, 10520056   size:8.69,Price: ,5.3,The Draw, 58805   size:16.76,Price: ,3.2,ok
1.121678112, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Truro City v Hemel Hempstead, Favorite: ,Truro City, 2406160   size:2.73,Price: ,2.44,Hemel Hempstead, 2133279   size:66.25,Price: ,2.86,The Draw, 58805   size:5.58,Price: ,3.7,x
1.121748381, Sport: ,Ice Hockey, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Sport v Assat, Favorite: ,Sport, 275249   size:12.84,Price: ,2.26,Assat, 66429   size:93.0,Price: ,2.92,Tie, 60104   size:53.0,Price: ,4.1,ok
1.121715007, Sport: ,Soccer, Time: ,Sat Nov 14 17:00:00 CET 2015, Time: ,Sat Nov 14 17:00:00 CET 2015, Event: ,Olhanense v Mafra, Favorite: ,Olhanense, 2524227   size:116.52,Price: ,2.16,Mafra, 2268747   size:7.78,Price: ,4.1,The Draw, 58805   size:16.55,Price: ,3.2,ok
1.121790759, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Farul Constanta v Ceahlaul, Favorite: ,Farul Constanta, 1556985   size:16.56,Price: ,1.39,Ceahlaul, 1557295   size:3.14,Price: ,9.0,The Draw, 58805   size:7.07,Price: ,5.3,ok
1.121678114, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Margate v Whitehawk, Favorite: ,Whitehawk, 4597875   size:3.92,Price: ,2.26,Margate, 42002   size:2.76,Price: ,3.15,The Draw, 58805   size:2.75,Price: ,3.75,ok
1.121671168, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Yeovil v Stevenage, Favorite: ,Stevenage, 49204   size:43.1,Price: ,2.6,Yeovil, 132555   size:20.15,Price: ,2.9,The Draw, 58805   size:283.12,Price: ,3.65,x
1.121813721, Sport: ,Tennis, Time: ,Sat Nov 14 09:30:00 CET 2015, Time: ,Sat Nov 14 09:30:00 CET 2015, Event: ,Maia Lumsden v Viktoriya Tomova, Favorite: ,Maia Lumsden, 9628654   size:17.87,Price: ,1.03,Viktoriya Tomova, 4597116   size:17.87,Price: ,1.03,x
1.121742965, Sport: ,Soccer, Time: ,Sat Nov 14 13:00:00 CET 2015, Time: ,Sat Nov 14 13:00:00 CET 2015, Event: ,Rozwoj Katowice v Sandecja Nowy Sacz, Favorite: ,Rozwoj Katowice, 7568776   size:92.68,Price: ,2.7,Sandecja Nowy Sacz, 4553548   size:29.79,Price: ,2.9,The Draw, 58805   size:7.0,Price: ,3.35,ok
1.121675889, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Queens Park v Peterhead, Favorite: ,Peterhead, 729810   size:26.78,Price: ,1.95,Queens Park, 729809   size:60.85,Price: ,4.1,The Draw, 58805   size:5.0,Price: ,3.75,ok
1.121834166, Sport: ,Tennis, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Kohen v Xiviller, Favorite: ,Alan Kohen, 8979624   size:30.07,Price: ,1.02,Nicolas Xiviller, 8999316   size:8.36,Price: ,1.04,ok
1.121791088, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Soimii Pancota v Unirea Tarlungeni, Favorite: ,Soimii Pancota, 6681487   size:2.54,Price: ,1.82,Unirea Tarlungeni, 7653661   size:2.54,Price: ,4.4,The Draw, 58805   size:6.29,Price: ,3.8,x
