1.121921069, Sport: ,Soccer, Time: ,Sun Nov 29 13:30:00 CET 2015, Time: ,Sun Nov 29 13:30:00 CET 2015, Event: ,Meuselwitz v Berliner AK, Favorite: ,Berliner AK, 4901948   size:65.69,Price: ,2.08,Meuselwitz, 4901941   size:5.37,Price: ,3.55,The Draw, 58805   size:5.37,Price: ,3.45,x
1.121984768, Sport: ,Ice Hockey, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Herning v Frederikshavn, Favorite: ,Herning, 70631   size:6.13,Price: ,2.18,Frederikshavn, 70626   size:141.9,Price: ,2.42,Tie, 60104   size:122.31,Price: ,3.9,x
1.122060737, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Lebrijana v Lucena CF, Favorite: ,Lebrijana, 9315717   size:5.38,Price: ,1.07,Lucena CF, 10243077   size:5.38,Price: ,1.07,The Draw, 58805   size:2.83,Price: ,1.25,x
1.122061706, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,UD Mutilvera v CA Osasuna II, Favorite: ,UD Mutilvera, 9397043   size:5.38,Price: ,1.07,CA Osasuna II, 9310975   size:5.38,Price: ,1.07,The Draw, 58805   size:2.83,Price: ,1.25,x
1.121921060, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Lubeck v TSV Havelse, Favorite: ,Lubeck, 199183   size:7.8,Price: ,2.16,TSV Havelse, 5340376   size:2.55,Price: ,3.45,The Draw, 58805   size:143.14,Price: ,3.55,ok
1.121921062, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Cloppenburg v Drochtersen-Assel, Favorite: ,Drochtersen-Assel, 9988838   size:14.75,Price: ,2.14,Cloppenburg, 10003037   size:6.66,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.6,x
1.121922390, Sport: ,Soccer, Time: ,Sun Nov 29 13:45:00 CET 2015, Time: ,Sun Nov 29 13:45:00 CET 2015, Event: ,Sion v Thun, Favorite: ,Sion, 65785   size:4.86,Price: ,2.14,Thun, 176184   size:5.59,Price: ,3.8,The Draw, 58805   size:6.45,Price: ,3.65,x
1.121985861, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Zhejiang Chouzhou v Sichuan, Favorite: ,Zhejiang Chouzhou, 8926899   size:390.22,Price: ,1.04,Sichuan, 8926907   size:1773.75,Price: ,1.04,ok
1.121985982, Sport: ,Basketball, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Gottingen v Bonn, Favorite: ,Bonn, 2293349   size:2.55,Price: ,1.4,Gottingen, 2566190   size:2.55,Price: ,3.15,x
1.121985862, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,SAPA Fehervar AV19 v Orli Znojmo, Favorite: ,SAPA Fehervar AV19, 4182888   size:6.13,Price: ,2.28,Orli Znojmo, 5797611   size:6.13,Price: ,2.34,Tie, 60104   size:53.0,Price: ,4.0,ok
1.121985986, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:20:00 CET 2015, Time: ,Sun Nov 29 17:20:00 CET 2015, Event: ,Plzen v Trinec, Favorite: ,Plzen, 563267   size:6.13,Price: ,2.08,Trinec, 563259   size:148.03,Price: ,2.58,Tie, 60104   size:6.13,Price: ,3.9,x
1.122058412, Sport: ,Soccer, Time: ,Sun Nov 29 11:00:00 CET 2015, Time: ,Sun Nov 29 11:00:00 CET 2015, Event: ,FK Krasnodar (Y) v Rostov (Y), Favorite: ,FK Krasnodar (Y), 9045039   size:9.44,Price: ,1.81,Rostov (Y), 9048042   size:23.75,Price: ,1.92,The Draw, 58805   size:16.88,Price: ,3.15,ok
1.121843482, Sport: ,Soccer, Time: ,Sun Nov 29 13:00:00 CET 2015, Time: ,Sun Nov 29 13:00:00 CET 2015, Event: ,Tottenham v Chelsea, Favorite: ,Tottenham, 48224   size:148.01,Price: ,2.64,Chelsea, 55190   size:98.6,Price: ,2.94,The Draw, 58805   size:12677.52,Price: ,3.55,x
1.122067244, Sport: ,Soccer, Time: ,Sun Nov 29 11:00:00 CET 2015, Time: ,Sun Nov 29 11:00:00 CET 2015, Event: ,SV Werder Bremen U19 v Viktoria Berlin U19, Favorite: ,SV Werder Bremen U19, 6336913   size:2.55,Price: ,1.32,Viktoria Berlin U19, 10186673   size:2.55,Price: ,4.9,The Draw, 58805   size:2.55,Price: ,4.5,ok
1.121922020, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Farense v Varzim, Favorite: ,Farense, 48788   size:14.0,Price: ,2.28,Varzim, 48795   size:5.0,Price: ,3.5,The Draw, 58805   size:6.66,Price: ,3.35,x
1.121923231, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Albacete v Elche, Favorite: ,Albacete, 309089   size:18.46,Price: ,2.22,Elche, 309111   size:55.42,Price: ,3.75,The Draw, 58805   size:275.0,Price: ,3.3,ok
1.121921054, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,VfV Hildesheim v Weiche Flensburg, Favorite: ,Weiche Flensburg, 6542371   size:2.01,Price: ,1.4,VfV Hildesheim, 10003038   size:2.83,Price: ,9.2,The Draw, 58805   size:20.13,Price: ,4.9,x
1.121888240, Sport: ,Soccer, Time: ,Sun Nov 29 16:00:00 CET 2015, Time: ,Sun Nov 29 16:00:00 CET 2015, Event: ,Hayes And Yeading v Eastbourne, Favorite: ,Hayes and Yeading, 2439370   size:20.51,Price: ,2.38,Eastbourne, 1034120   size:14.99,Price: ,3.0,The Draw, 58805   size:11.76,Price: ,3.55,x
1.121921056, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,TSV Schilksee v Hamburg II, Favorite: ,Hamburg II, 5375314   size:173.44,Price: ,1.52,TSV Schilksee, 9461156   size:4.82,Price: ,6.4,The Draw, 58805   size:19.04,Price: ,4.5,x
1.122039909, Sport: ,Snooker, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Dechawat Poomjaeng v ryan Day, Favorite: ,Ryan Day, 2278798   size:2.55,Price: ,1.43,Dechawat Poomjaeng, 5722690   size:2.55,Price: ,3.1,x
1.121921058, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Oldenburg v Hannover II, Favorite: ,Oldenburg, 5699221   size:10.64,Price: ,1.7,Hannover II, 5375313   size:2.55,Price: ,5.1,The Draw, 58805   size:2.55,Price: ,3.95,x
1.122061816, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,UE Sant Andreu v FC Asco, Favorite: ,UE Sant Andreu, 10381924   size:5.38,Price: ,1.07,FC Asco, 7568952   size:5.38,Price: ,1.07,The Draw, 58805   size:33.69,Price: ,1.26,x
1.122025636, Sport: ,Basketball, Time: ,Sat Nov 28 21:00:00 CET 2015, Time: ,Sat Nov 28 21:00:00 CET 2015, Event: ,Lleida v Barcelona B, Favorite: ,Lleida, 5021018   size:4.48,Price: ,1.87,Barcelona B, 6719087   size:2.55,Price: ,2.02,ok
1.122060603, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Coria CF v CD Utrera, Favorite: ,Coria CF, 6450526   size:5.08,Price: ,1.05,CD Utrera, 10185250   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,x
1.121985860, Sport: ,Basketball, Time: ,Sun Nov 29 13:00:00 CET 2015, Time: ,Sun Nov 29 13:00:00 CET 2015, Event: ,Xinjiang v Shandong, Favorite: ,Xinjiang, 8926908   size:2.83,Price: ,1.03,Shandong, 8926903   size:6.13,Price: ,1.21,ok
1.121911165, Sport: ,Handball, Time: ,Sun Nov 29 15:55:00 CET 2015, Time: ,Sun Nov 29 15:55:00 CET 2015, Event: ,Netherlands (W) v Russia (W), Favorite: ,Netherlands (W), 6497928   size:2.83,Price: ,1.03,Russia (W), 6257694   size:2.83,Price: ,1.03,Draw, 330157   size:2.83,Price: ,1.03,x
1.121856988, Sport: ,American Football, Time: ,Sun Nov 29 19:00:00 CET 2015, Time: ,Sun Nov 29 19:00:00 CET 2015, Event: ,New Orleans @ Houston, Favorite: ,Houston Texans, 179823   size:343.0,Price: ,1.61,New Orleans Saints, 50196   size:338.0,Price: ,2.54,ok
1.122058640, Sport: ,Soccer, Time: ,Sun Nov 29 11:30:00 CET 2015, Time: ,Sun Nov 29 11:30:00 CET 2015, Event: ,ACD San Marcial v Pena Balsamaiso CF, Favorite: ,ACD San Marcial, 8344332   size:5.08,Price: ,1.05,Pena Balsamaiso CF, 8826852   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,ok
1.122006088, Sport: ,Snooker, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Chris Wakelin v Michael Holt, Favorite: ,Michael Holt, 2278812   size:2.55,Price: ,1.57,Chris Wakelin, 7304578   size:2.55,Price: ,2.6,ok
1.121899113, Sport: ,Soccer, Time: ,Sat Nov 28 22:05:00 CET 2015, Time: ,Sat Nov 28 22:05:00 CET 2015, Event: ,Celta Vigo v Sporting Gijon, Favorite: ,Celta Vigo, 66483   size:6752.28,Price: ,1.44,Sporting Gijon, 68246   size:1263.02,Price: ,8.2,The Draw, 58805   size:816.76,Price: ,5.3,ok
1.122059610, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,CD Palencia v CD Burgos Promesas, Favorite: ,CD Palencia, 9282890   size:5.38,Price: ,1.07,CD Burgos Promesas, 10293071   size:5.38,Price: ,1.07,The Draw, 58805   size:2.83,Price: ,1.25,x
