1.121529107, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,KB Stars v Shinhan Bank S Birds, Favorite: ,KB Stars, 6739926   size:154.17,Price: ,1.16,Shinhan Bank S Birds, 5154533   size:335.45,Price: ,1.16,x
1.121422823, Sport: ,Soccer, Time: ,Sat Oct 31 22:05:00 CET 2015, Time: ,Sat Oct 31 22:05:00 CET 2015, Event: ,Sociedad v Celta Vigo, Favorite: ,Sociedad, 79323   size:62.12,Price: ,1.57,Celta Vigo, 66483   size:38.6,Price: ,8.2,The Draw, 58805   size:675.99,Price: ,4.0,x
1.121604216, Sport: ,Tennis, Time: ,Sun Nov 01 00:45:00 CET 2015, Time: ,Sun Nov 01 00:45:00 CET 2015, Event: ,Lorenzi/Romboli v de Bakker/Vervoort, Favorite: ,de Bakker/Vervoort, 10459506   size:75.98,Price: ,1.71,Lorenzi/Romboli, 10459507   size:3.42,Price: ,1.98,x
1.121522037, Sport: ,Basketball, Time: ,Sun Nov 01 01:30:00 CET 2015, Time: ,Sun Nov 01 01:30:00 CET 2015, Event: ,Gecr Indalo v Argentino, Favorite: ,Gecr Indalo, 6719074   size:5.9,Price: ,1.14,Argentino, 6719106   size:7.0,Price: ,6.0,ok
1.121463813, Sport: ,Soccer, Time: ,Sun Nov 01 06:30:00 CET 2015, Time: ,Sun Nov 01 06:30:00 CET 2015, Event: ,Sunray Cave JC Sun Hei v Metro Gallery, Favorite: ,Sunray Cave JC Sun Hei, 7088136   size:3.23,Price: ,1.09,Metro Gallery, 8287220   size:5.9,Price: ,1.18,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121503997, Sport: ,Soccer, Time: ,Sun Nov 01 01:30:00 CET 2015, Time: ,Sun Nov 01 01:30:00 CET 2015, Event: ,Union Mar del Plata v Atl Tucuman, Favorite: ,Atl Tucuman, 5181445   size:34.39,Price: ,1.86,Union Mar del Plata, 9229723   size:5.0,Price: ,5.3,The Draw, 58805   size:5.0,Price: ,3.4,ok
1.121447046, Sport: ,Soccer, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Fukuoka v Yokohama FC, Favorite: ,Fukuoka, 1405180   size:108.1,Price: ,1.75,Yokohama FC, 2319612   size:56.25,Price: ,6.0,The Draw, 58805   size:52.78,Price: ,3.7,ok
1.121493593, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Miami (FL) @ Duke, Favorite: ,Duke, 975037   size:173.0,Price: ,1.26,Miami (FL), 1257371   size:2.55,Price: ,4.5,x
1.121529217, Sport: ,Basketball, Time: ,Sun Nov 01 03:35:00 CET 2015, Time: ,Sun Nov 01 03:35:00 CET 2015, Event: ,Sacramento @ LA Clippers, Favorite: ,LA Clippers, 237489   size:6218.34,Price: ,1.17,Sacramento, 13127   size:33.41,Price: ,6.4,ok
1.121529172, Sport: ,Basketball, Time: ,Sun Nov 01 01:05:00 CET 2015, Time: ,Sun Nov 01 01:05:00 CET 2015, Event: ,Brooklyn @ Memphis, Favorite: ,Memphis, 119812   size:1458.72,Price: ,1.11,Brooklyn, 6758557   size:55.05,Price: ,9.2,ok
1.121604342, Sport: ,Tennis, Time: ,Sun Nov 01 03:30:00 CET 2015, Time: ,Sun Nov 01 03:30:00 CET 2015, Event: ,Pecotic v D Sela, Favorite: ,Dudi Sela, 2263685   size:10.62,Price: ,1.27,Matija Pecotic, 8713732   size:146.26,Price: ,4.1,ok
1.121560276, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Tauro FC v Sporting San Miguel, Favorite: ,Tauro FC, 3298378   size:7.09,Price: ,2.6,Sporting San Miguel, 7546734   size:7.98,Price: ,2.9,The Draw, 58805   size:5.74,Price: ,3.1,x
