1.122558573, Sport: ,Ice Hockey, Time: ,Thu Jan 14 18:30:00 CET 2016, Time: ,Thu Jan 14 18:30:00 CET 2016, Event: ,Storhamar Dragons v Stjernen Hockey, Favorite: ,Storhamar Dragons, 4385050   size:2.65,Price: ,1.03,Stjernen Hockey, 4138404   size:2.65,Price: ,1.03,Tie, 60104   size:2.65,Price: ,1.03,x
1.122581324, Sport: ,Soccer, Time: ,Fri Jan 15 10:30:00 CET 2016, Time: ,Fri Jan 15 10:30:00 CET 2016, Event: ,Hapoel Ramat Israel v Bnei Yaffo Orthodoksim, Favorite: ,Bnei Yaffo Orthodoksim, 10688712   size:4.25,Price: ,1.13,Hapoel Ramat Israel, 10396709   size:3.95,Price: ,1.14,The Draw, 58805   size:2.54,Price: ,2.9,ok
1.122583467, Sport: ,Tennis, Time: ,Fri Jan 15 04:00:00 CET 2016, Time: ,Fri Jan 15 04:00:00 CET 2016, Event: ,F Silva v Cheong- Kim, Favorite: ,Frederico Ferreira Silv, 9437339   size:70.25,Price: ,1.63,Cheong-Eui Kim, 8505207   size:2.1,Price: ,2.38,ok
1.122578142, Sport: ,Soccer, Time: ,Fri Jan 15 15:00:00 CET 2016, Time: ,Fri Jan 15 15:00:00 CET 2016, Event: ,Slaven Belupo v Koper, Favorite: ,Slaven Belupo, 170923   size:66.44,Price: ,1.87,Koper, 166903   size:30.94,Price: ,3.15,The Draw, 58805   size:28.31,Price: ,3.35,ok
1.122581202, Sport: ,Soccer, Time: ,Fri Jan 15 11:00:00 CET 2016, Time: ,Fri Jan 15 11:00:00 CET 2016, Event: ,Beitar Petah Tikva v MS Roch TLV, Favorite: ,Beitar Petah Tikva, 10292486   size:4.6,Price: ,1.12,MS Roch TLV, 10715481   size:4.6,Price: ,1.12,The Draw, 58805   size:2.55,Price: ,2.9,ok
1.122566605, Sport: ,Basketball, Time: ,Thu Jan 14 23:00:00 CET 2016, Time: ,Thu Jan 14 23:00:00 CET 2016, Event: ,Sao Jose v Cearense, Favorite: ,Cearense, 8948837   size:2.78,Price: ,1.8,Sao Jose, 7072335   size:28.84,Price: ,2.08,ok
1.122583506, Sport: ,Tennis, Time: ,Fri Jan 15 08:00:00 CET 2016, Time: ,Fri Jan 15 08:00:00 CET 2016, Event: ,Kretschmer/Satschko v Bhupathi/Raja, Favorite: ,Kretschmer/Satschko, 7810209   size:66.35,Price: ,1.57,Bhupathi/Raja, 10706508   size:66.35,Price: ,2.06,ok
1.122580117, Sport: ,Soccer, Time: ,Fri Jan 15 15:00:00 CET 2016, Time: ,Fri Jan 15 15:00:00 CET 2016, Event: ,Olympique de Medea v USMM Hadjout, Favorite: ,Olympique de Medea, 8900396   size:5.15,Price: ,1.26,USMM Hadjout, 8119372   size:6.31,Price: ,11.5,The Draw, 58805   size:23.36,Price: ,3.85,ok
1.122566603, Sport: ,Basketball, Time: ,Thu Jan 14 23:00:00 CET 2016, Time: ,Thu Jan 14 23:00:00 CET 2016, Event: ,Brasilia v Pinheiros, Favorite: ,Brasilia, 8948838   size:119.8,Price: ,1.64,Pinheiros, 6733502   size:58.0,Price: ,2.3,ok
1.122577226, Sport: ,Soccer, Time: ,Thu Jan 14 20:45:00 CET 2016, Time: ,Thu Jan 14 20:45:00 CET 2016, Event: ,Leamington v Altrincham, Favorite: ,Altrincham, 62505   size:5.0,Price: ,2.4,Leamington, 1282865   size:6.59,Price: ,3.1,The Draw, 58805   size:13.09,Price: ,3.5,x
1.122569285, Sport: ,Basketball, Time: ,Thu Jan 14 20:30:00 CET 2016, Time: ,Thu Jan 14 20:30:00 CET 2016, Event: ,Venezia (W) v TTT Riga (W), Favorite: ,TTT Riga (W), 10388076   size:3.25,Price: ,1.03,Venezia (W), 10462201   size:3.68,Price: ,1.3,x
1.122596885, Sport: ,Golf, Time: ,Fri Jan 15 02:20:00 CET 2016, Time: ,Fri Jan 15 02:20:00 CET 2016, Event: ,Fisher/Broberg v Marksaeng/Kim, Favorite: ,Fisher/Broberg, 10718186   size:2.69,Price: ,1.86,Marksaeng/Kim, 8421427   size:2.2,Price: ,2.26,Tie, 39905   size:97.4,Price: ,5.5,ok
1.122558567, Sport: ,Ice Hockey, Time: ,Thu Jan 14 18:30:00 CET 2016, Time: ,Thu Jan 14 18:30:00 CET 2016, Event: ,Manglerud/Star v Kongsvinger IL, Favorite: ,Manglerud/Star, 3725730   size:2.65,Price: ,1.03,Kongsvinger IL, 8870539   size:2.65,Price: ,1.03,Tie, 60104   size:2.65,Price: ,1.03,ok
1.122570954, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,Saipa Lappeenranta v Espoo Blues, Favorite: ,SaiPa Lappeenranta, 4245253   size:100.0,Price: ,1.44,Espoo Blues, 245509   size:68.0,Price: ,5.8,Tie, 60104   size:68.0,Price: ,5.9,ok
1.122494771, Sport: ,Soccer, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Maccabi Ahi Nazareth v Maccabi Yavne, Favorite: ,Maccabi Ahi Nazareth, 5188358   size:16.04,Price: ,2.46,Maccabi Yavne, 5415484   size:16.61,Price: ,2.46,The Draw, 58805   size:20.96,Price: ,3.1,ok
1.122482952, Sport: ,Ice Hockey, Time: ,Fri Jan 15 03:05:00 CET 2016, Time: ,Fri Jan 15 03:05:00 CET 2016, Event: ,New Jersey @ Colorado, Favorite: ,Colorado, 2108117   size:14.57,Price: ,2.36,New Jersey, 2112200   size:335.65,Price: ,2.78,Tie, 60104   size:294.0,Price: ,3.75,ok
1.122566612, Sport: ,Basketball, Time: ,Thu Jan 14 20:30:00 CET 2016, Time: ,Thu Jan 14 20:30:00 CET 2016, Event: ,Famila Schio (W) v Dynamo Kursk (W), Favorite: ,Dynamo Kursk (W), 10411144   size:2.55,Price: ,1.89,Famila Schio (W), 7137850   size:45.8,Price: ,1.98,x
1.122596916, Sport: ,Golf, Time: ,Fri Jan 15 02:50:00 CET 2016, Time: ,Fri Jan 15 02:50:00 CET 2016, Event: ,Westwood/Wood v Chawrasia/Aphibarnrat, Favorite: ,Westwood/Wood, 10718189   size:2.62,Price: ,1.91,Chawrasia/Aphibarnrat, 10718190   size:2.25,Price: ,2.22,Tie, 39905   size:97.4,Price: ,5.5,ok
