1.121985862, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,SAPA Fehervar AV19 v Orli Znojmo, Favorite: ,SAPA Fehervar AV19, 4182888   size:353.37,Price: ,2.34,Orli Znojmo, 5797611   size:211.47,Price: ,2.36,Tie, 60104   size:54.12,Price: ,4.0,ok
1.121985986, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:20:00 CET 2015, Time: ,Sun Nov 29 17:20:00 CET 2015, Event: ,Plzen v Trinec, Favorite: ,Plzen, 563267   size:6.13,Price: ,2.12,Trinec, 563259   size:6.13,Price: ,2.62,Tie, 60104   size:6.7,Price: ,4.4,x
1.121843482, Sport: ,Soccer, Time: ,Sun Nov 29 13:00:00 CET 2015, Time: ,Sun Nov 29 13:00:00 CET 2015, Event: ,Tottenham v Chelsea, Favorite: ,Tottenham, 48224   size:100.0,Price: ,2.7,Chelsea, 55190   size:119.06,Price: ,2.84,The Draw, 58805   size:331.25,Price: ,3.55,x
1.122039915, Sport: ,Snooker, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Oliver Lines v Mark Selby, Favorite: ,Mark Selby, 2280127   size:3.17,Price: ,1.22,Oliver Lines, 6575023   size:13.89,Price: ,5.1,ok
1.122005924, Sport: ,Ice Hockey, Time: ,Sun Nov 29 20:05:00 CET 2015, Time: ,Sun Nov 29 20:05:00 CET 2015, Event: ,Florida @ Detroit, Favorite: ,Tie, 60104   size:9.43,Price: ,1.04,Florida, 2112317   size:6.13,Price: ,2.18,Detroit, 975676   size:2.01,Price: ,1.89,ok
1.122044491, Sport: ,Soccer, Time: ,Sun Nov 29 22:15:00 CET 2015, Time: ,Sun Nov 29 22:15:00 CET 2015, Event: ,Independiente v Racing Club, Favorite: ,Independiente, 194512   size:4.34,Price: ,2.28,Racing Club, 198558   size:94.12,Price: ,3.9,The Draw, 58805   size:63.62,Price: ,3.15,x
1.121921052, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Luneburg v Braunschweig II, Favorite: ,Luneburg, 8710317   size:102.0,Price: ,2.26,Braunschweig II, 5437281   size:121.39,Price: ,3.3,The Draw, 58805   size:68.96,Price: ,3.5,x
1.121922020, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Farense v Varzim, Favorite: ,Farense, 48788   size:5.0,Price: ,2.36,Varzim, 48795   size:17.22,Price: ,3.45,The Draw, 58805   size:17.2,Price: ,3.25,x
1.121923231, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Albacete v Elche, Favorite: ,Albacete, 309089   size:272.65,Price: ,2.2,Elche, 309111   size:2.19,Price: ,3.8,The Draw, 58805   size:275.0,Price: ,3.3,ok
1.121921054, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,VfV Hildesheim v Weiche Flensburg, Favorite: ,Weiche Flensburg, 6542371   size:2.55,Price: ,1.39,VfV Hildesheim, 10003038   size:4.83,Price: ,7.6,The Draw, 58805   size:2.55,Price: ,5.0,x
