1.120973027, Sport: ,Soccer, Time: ,Wed Sep 30 03:00:00 CEST 2015, Time: ,Wed Sep 30 03:00:00 CEST 2015, Event: ,CD Plaza Amador v Arabe Unido, Favorite: ,CD Plaza Amador, 7899390   size:3.55,Price: ,1.07,Arabe Unido, 4067827   size:3.55,Price: ,1.07,The Draw, 58805   size:15.33,Price: ,1.27,x
1.120975448, Sport: ,Tennis, Time: ,Wed Sep 30 08:00:00 CEST 2015, Time: ,Wed Sep 30 08:00:00 CEST 2015, Event: ,Vandeweghe v Strycova, Favorite: ,Barbora Zahlavova Stryc, 9264110   size:102.18,Price: ,1.71,Coco Vandeweghe, 2328051   size:67.21,Price: ,2.26,x
1.120972059, Sport: ,Tennis, Time: ,Wed Sep 30 04:00:00 CEST 2015, Time: ,Wed Sep 30 04:00:00 CEST 2015, Event: ,Kato v Hozumi, Favorite: ,Eri Hozumi, 7657224   size:7.75,Price: ,1.76,Miyu Kato, 8839047   size:3.97,Price: ,2.18,x
1.120978838, Sport: ,Basketball, Time: ,Wed Sep 30 02:00:00 CEST 2015, Time: ,Wed Sep 30 02:00:00 CEST 2015, Event: ,Weber Bahia Estudiantes v Boca Jrs, Favorite: ,Weber Bahia Estudiantes, 6719105   size:420.56,Price: ,1.16,Boca Jrs, 6719112   size:42.75,Price: ,2.64,ok
1.120978837, Sport: ,Basketball, Time: ,Wed Sep 30 02:00:00 CEST 2015, Time: ,Wed Sep 30 02:00:00 CEST 2015, Event: ,Sionista v Quimsa, Favorite: ,Quimsa, 6243645   size:333.08,Price: ,1.14,Sionista, 6719083   size:420.56,Price: ,1.16,x
1.120969561, Sport: ,Tennis, Time: ,Wed Sep 30 14:30:00 CEST 2015, Time: ,Wed Sep 30 14:30:00 CEST 2015, Event: ,Naso v Cecchinato, Favorite: ,Marco Cecchinato, 6374165   size:2.55,Price: ,1.22,Gianluca Naso, 2967260   size:2.55,Price: ,4.5,ok
1.120978839, Sport: ,Basketball, Time: ,Wed Sep 30 13:00:00 CEST 2015, Time: ,Wed Sep 30 13:00:00 CEST 2015, Event: ,Incheon Elephants v Anyang KGC Pro, Favorite: ,Anyang KGC Pro, 10276570   size:370.09,Price: ,1.14,Incheon Elephants, 8248315   size:420.56,Price: ,1.16,x
1.120958798, Sport: ,Tennis, Time: ,Tue Sep 29 21:00:00 CEST 2015, Time: ,Tue Sep 29 21:00:00 CEST 2015, Event: ,Monteiro/Sakamoto v Kicker/Olivo, Favorite: ,Monteiro/Sakamoto, 10302603   size:4.5,Price: ,1.06,Kicker/Olivo, 9002385   size:9.6,Price: ,1.41,x
1.120957228, Sport: ,Tennis, Time: ,Wed Sep 30 11:45:00 CEST 2015, Time: ,Wed Sep 30 11:45:00 CEST 2015, Event: ,Luncanu/Yatsyk v Nedunchezhiya/Seeberger, Favorite: ,Luncanu/Yatsyk, 10343462   size:6.21,Price: ,1.04,Nedunchezhiya/Seeberger, 10343463   size:6.21,Price: ,1.04,x
1.120977983, Sport: ,Tennis, Time: ,Wed Sep 30 09:45:00 CEST 2015, Time: ,Wed Sep 30 09:45:00 CEST 2015, Event: ,Bolelli v Estrella Burgos, Favorite: ,Simone Bolelli, 2309797   size:46.57,Price: ,1.36,Victor Estrella Burgos, 7430580   size:53.0,Price: ,3.35,ok
