1.121157773, Sport: ,Golf, Time: ,Sat Oct 10 00:38:00 CEST 2015, Time: ,Sat Oct 10 00:38:00 CEST 2015, Event: ,D Johnson/Spieth v Day/Schwartzel, Favorite: ,D Johnson/Spieth, 10395643   size:171.32,Price: ,2.14,Day/Schwartzel, 10399567   size:4.99,Price: ,2.36,Tie, 39905   size:5.92,Price: ,6.4,ok
1.121157160, Sport: ,Tennis, Time: ,Fri Oct 09 17:45:00 CEST 2015, Time: ,Fri Oct 09 17:45:00 CEST 2015, Event: ,Carballes B/Carreno Bus v Cervantes/Vervoort, Favorite: ,Cervantes/Vervoort, 8860933   size:65.33,Price: ,1.65,Carballes B/Carreno Bus, 10384044   size:2.95,Price: ,2.08,ok
1.121114289, Sport: ,Ice Hockey, Time: ,Sat Oct 10 01:05:00 CEST 2015, Time: ,Sat Oct 10 01:05:00 CEST 2015, Event: ,Winnipeg @ New Jersey, Favorite: ,Winnipeg, 5866888   size:103.52,Price: ,2.44,New Jersey, 2112200   size:5.21,Price: ,2.76,Tie, 60104   size:344.55,Price: ,3.9,ok
1.121113993, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:30:00 CEST 2015, Time: ,Fri Oct 09 19:30:00 CEST 2015, Event: ,EHC Munchen v Augsburger, Favorite: ,EHC Munchen, 4923560   size:6.89,Price: ,1.64,Augsburg, 1031532   size:59.3,Price: ,4.3,Tie, 60104   size:56.13,Price: ,5.0,x
1.121115256, Sport: ,Basketball, Time: ,Sat Oct 10 01:00:00 CEST 2015, Time: ,Sat Oct 10 01:00:00 CEST 2015, Event: ,Instituto Atletico Cent v Atenas, Favorite: ,Instituto Atletico Cent, 10346458   size:8.19,Price: ,1.03,Atenas, 6719082   size:8.19,Price: ,1.03,x
1.121007709, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Drogheda v Cork City, Favorite: ,Cork City, 298594   size:985.67,Price: ,1.51,Drogheda, 184329   size:82.44,Price: ,7.6,The Draw, 58805   size:35.42,Price: ,4.5,x
1.121071197, Sport: ,Soccer, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Zaglebie Sosnowiec v Bytovia Bytow, Favorite: ,Zaglebie Sosnowiec, 2486936   size:90.28,Price: ,1.94,Bytovia Bytow, 5876553   size:76.67,Price: ,4.5,The Draw, 58805   size:67.38,Price: ,3.6,ok
1.121109284, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Pantern v Tingsryd, Favorite: ,Tingsryd, 5877522   size:11.37,Price: ,2.4,Pantern, 9322154   size:10.65,Price: ,2.56,Tie, 60104   size:5.41,Price: ,3.9,ok
1.121005808, Sport: ,Soccer, Time: ,Fri Oct 09 18:45:00 CEST 2015, Time: ,Fri Oct 09 18:45:00 CEST 2015, Event: ,Rep of Ireland U21 v Lithuania U21, Favorite: ,Rep of Ireland U21, 319469   size:117.45,Price: ,1.21,Lithuania U21, 210027   size:4.69,Price: ,20.0,The Draw, 58805   size:35.22,Price: ,7.6,ok
1.121018276, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Switzerland v San Marino, Favorite: ,Switzerland, 15293   size:350377.34,Price: ,1.01,San Marino, 210850   size:17.6,Price: ,400.0,The Draw, 58805   size:43.57,Price: ,100.0,ok
1.121068626, Sport: ,Rugby Union, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Pumas v Blue Bulls, Favorite: ,Pumas, 558485   size:5.12,Price: ,1.01,Blue Bulls, 243130   size:5.12,Price: ,1.01,Draw, 246289   size:5.12,Price: ,1.01,x
1.121007035, Sport: ,Soccer, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Germany U21 v Finland U21, Favorite: ,Germany U21, 210028   size:16.97,Price: ,1.21,Finland U21, 29833   size:37.84,Price: ,22.0,The Draw, 58805   size:8.15,Price: ,7.4,ok
1.121119580, Sport: ,Soccer, Time: ,Fri Oct 09 20:30:00 CEST 2015, Time: ,Fri Oct 09 20:30:00 CEST 2015, Event: ,Garden Village AFC v Taffs Well AFC, Favorite: ,Taffs Well AFC, 8270341   size:2.55,Price: ,1.7,Garden Village AFC, 9109408   size:2.52,Price: ,2.44,The Draw, 58805   size:3.52,Price: ,2.72,ok
1.121157421, Sport: ,Tennis, Time: ,Fri Oct 09 20:00:00 CEST 2015, Time: ,Fri Oct 09 20:00:00 CEST 2015, Event: ,Lipovsek Puches v Bagnis, Favorite: ,Facundo Bagnis, 4520808   size:25.1,Price: ,1.23,Tomas Lipovsek Puches, 8174492   size:7.84,Price: ,4.3,ok
1.121008005, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Athlone v Finn Harps, Favorite: ,Athlone, 385758   size:311.42,Price: ,2.76,Finn Harps, 385761   size:30.0,Price: ,2.78,The Draw, 58805   size:49.52,Price: ,3.55,x
1.121002941, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:45:00 CEST 2015, Time: ,Fri Oct 09 19:45:00 CEST 2015, Event: ,Bern v Lugano, Favorite: ,Bern, 243256   size:3.04,Price: ,2.02,Lugano, 243259   size:4.24,Price: ,2.88,Tie, 60104   size:6.32,Price: ,3.95,ok
1.121157390, Sport: ,Darts, Time: ,Fri Oct 09 20:00:00 CEST 2015, Time: ,Fri Oct 09 20:00:00 CEST 2015, Event: ,Michael Van Gerwen v Mark Webster, Favorite: ,Michael van Gerwen, 2475370   size:28640.01,Price: ,1.11,Mark Webster, 2409763   size:31.94,Price: ,9.0,ok
1.121018042, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,FYR Macedonia v Ukraine, Favorite: ,Ukraine, 61448   size:544.01,Price: ,1.54,FYR Macedonia, 29580   size:393.22,Price: ,9.2,The Draw, 58805   size:703.27,Price: ,4.1,ok
1.121090087, Sport: ,American Football, Time: ,Sat Oct 10 02:00:00 CEST 2015, Time: ,Sat Oct 10 02:00:00 CEST 2015, Event: ,NC State @ Virginia Tech, Favorite: ,Virginia Tech, 484728   size:4.99,Price: ,1.83,NC State, 484737   size:430.95,Price: ,2.12,ok
1.121018777, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,England v Estonia, Favorite: ,England, 27   size:226487.55,Price: ,1.15,Estonia, 124773   size:194.27,Price: ,32.0,The Draw, 58805   size:535.15,Price: ,9.4,ok
1.121107926, Sport: ,Ice Hockey, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,Hermes v Heinolan Peliitat, Favorite: ,Hermes, 272755   size:343.43,Price: ,2.0,Heinolan Peliitat, 6022874   size:7.31,Price: ,2.84,Tie, 60104   size:18.78,Price: ,4.6,x
1.120994259, Sport: ,Ice Hockey, Time: ,Fri Oct 09 18:30:00 CEST 2015, Time: ,Fri Oct 09 18:30:00 CEST 2015, Event: ,Sparta Prague v Plzen, Favorite: ,Sparta Prague, 284689   size:9.9,Price: ,1.74,Plzen, 563267   size:120.15,Price: ,3.75,Tie, 60104   size:89.78,Price: ,4.8,x
1.120994256, Sport: ,Ice Hockey, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,HC Olomouc v Karlovy Vary, Favorite: ,HC Olomouc, 7213810   size:10.51,Price: ,1.01,Karlovy Vary, 1366079   size:10.51,Price: ,1.01,Tie, 60104   size:10.51,Price: ,1.01,ok
1.121117970, Sport: ,Soccer, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Al Wahda (Abu Dhabi) v Al Ain, Favorite: ,Al Wahda (Abu Dhabi), 6132829   size:31.15,Price: ,2.4,Al Ain, 1252830   size:15.8,Price: ,3.05,The Draw, 58805   size:18.59,Price: ,3.55,x
1.121107923, Sport: ,Ice Hockey, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,KeuPa v SaPKo, Favorite: ,KeuPa, 7138769   size:9.84,Price: ,2.14,Sapko, 4196539   size:13.82,Price: ,2.66,Tie, 60104   size:5.79,Price: ,4.7,x
1.121068630, Sport: ,Rugby Union, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Western Province v Eastern Province Kings, Favorite: ,Western Province, 58523   size:59.29,Price: ,1.02,Eastern Province Kings, 8599257   size:67.38,Price: ,10.0,Draw, 246289   size:53.9,Price: ,15.0,ok
1.121103209, Sport: ,Soccer, Time: ,Fri Oct 09 18:30:00 CEST 2015, Time: ,Fri Oct 09 18:30:00 CEST 2015, Event: ,Besiktas v Osmanlispor, Favorite: ,Besiktas, 232068   size:17.02,Price: ,2.04,Osmanlispor, 8854605   size:15.9,Price: ,3.95,The Draw, 58805   size:93.72,Price: ,3.65,x
1.121107925, Sport: ,Ice Hockey, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,LeKi v JYP Akatemia, Favorite: ,Leki, 4196564   size:386.45,Price: ,1.8,JYP Akatemia, 5847122   size:4.09,Price: ,3.4,Tie, 60104   size:13.4,Price: ,4.8,ok
1.121101788, Sport: ,Basketball, Time: ,Sat Oct 10 02:00:00 CEST 2015, Time: ,Sat Oct 10 02:00:00 CEST 2015, Event: ,Atlanta @ New Orleans, Favorite: ,Atlanta, 13114   size:2.54,Price: ,1.23,New Orleans, 6860646   size:2.54,Price: ,1.43,ok
1.121157342, Sport: ,Tennis, Time: ,Fri Oct 09 18:30:00 CEST 2015, Time: ,Fri Oct 09 18:30:00 CEST 2015, Event: ,Marchenko v Kravchuk, Favorite: ,Illya Marchenko, 3691700   size:37.25,Price: ,1.49,Konstantin Kravchuk, 5011822   size:18.33,Price: ,2.84,ok
