1.122431516, Sport: ,Soccer, Time: ,Sun Jan 03 11:45:00 CET 2016, Time: ,Sun Jan 03 11:45:00 CET 2016, Event: ,CU Collado Villalba v CD Puerta Bonita, Favorite: ,CU Collado Villalba, 6929102   size:3.75,Price: ,1.16,CD Puerta Bonita, 9339205   size:3.75,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122431518, Sport: ,Soccer, Time: ,Sun Jan 03 11:30:00 CET 2016, Time: ,Sun Jan 03 11:30:00 CET 2016, Event: ,Deportivo Alaves II v SD Deusto, Favorite: ,Deportivo Alaves II, 6929140   size:101.52,Price: ,2.34,SD Deusto, 10243244   size:78.17,Price: ,2.74,The Draw, 58805   size:73.92,Price: ,2.84,ok
1.122431514, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Coria CF v CD Alcala, Favorite: ,Coria CF, 6450526   size:50.76,Price: ,2.34,CD Alcala, 4923751   size:43.6,Price: ,2.56,The Draw, 58805   size:34.35,Price: ,2.98,x
1.122444776, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Sao Bernardo FC U20 v Galvez EC U20, Favorite: ,Sao Bernardo FC U20, 7279636   size:5.99,Price: ,1.23,Galvez EC U20, 10681182   size:91.35,Price: ,5.6,The Draw, 58805   size:167.01,Price: ,4.4,ok
1.122443845, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,EC Taubate U20 v Sabia FC Caxias U20, Favorite: ,EC Taubate U20, 7343282   size:27.68,Price: ,1.02,Sabia FC Caxias U20, 10681063   size:27.68,Price: ,1.02,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.122446439, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,AD Almudevar v Villanueva CF, Favorite: ,The Draw, 58805   size:55.36,Price: ,1.01,AD Almudevar, 8135176   size:27.68,Price: ,1.02,Villanueva CF, 8041212   size:27.68,Price: ,1.02,ok
1.122431464, Sport: ,Soccer, Time: ,Sun Jan 03 11:30:00 CET 2016, Time: ,Sun Jan 03 11:30:00 CET 2016, Event: ,CD Berio FT v CD Aurrera de Ondarroa, Favorite: ,CD Berio FT, 8822721   size:50.76,Price: ,2.34,CD Aurrera de Ondarroa, 10263192   size:40.48,Price: ,2.68,The Draw, 58805   size:35.06,Price: ,2.94,ok
1.122431466, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CD Castellon v Recambios Colon UD, Favorite: ,CD Castellon, 8916596   size:3.69,Price: ,1.16,Recambios Colon UD, 10263174   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,ok
1.122400151, Sport: ,Rugby Union, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,Worcester v Harlequins, Favorite: ,Harlequins, 37893   size:2.61,Price: ,1.49,Worcester Warriors, 833555   size:5.34,Price: ,2.94,Draw, 246289   size:23.36,Price: ,20.0,ok
1.122431462, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,CD Barco v Ordenes CF, Favorite: ,CD Barco, 8717585   size:136.73,Price: ,1.99,Ordenes CF, 8811934   size:67.19,Price: ,3.05,The Draw, 58805   size:67.19,Price: ,3.05,x
1.122431506, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Ciudad Rodrigo CF v CD Cristo Atletico, Favorite: ,Ciudad Rodrigo CF, 10185166   size:3.69,Price: ,1.16,CD Cristo Atletico, 8278815   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122450687, Sport: ,Tennis, Time: ,Sun Jan 03 05:30:00 CET 2016, Time: ,Sun Jan 03 05:30:00 CET 2016, Event: ,Su Hsieh v Y Duan, Favorite: ,Su-Wei Hsieh, 8244521   size:72.28,Price: ,1.56,Ying-Ying Duan, 8243878   size:106.19,Price: ,2.52,ok
1.122409480, Sport: ,Ice Hockey, Time: ,Sun Jan 03 17:20:00 CET 2016, Time: ,Sun Jan 03 17:20:00 CET 2016, Event: ,Pardubice v Vitkovice Steel, Favorite: ,Tie, 60104   size:13.84,Price: ,1.04,Pardubice, 563269   size:5.99,Price: ,1.2,Vitkovice Steel, 2878390   size:5.99,Price: ,1.2,ok
1.122431468, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,CD Cebrerena v CD Becerril, Favorite: ,CD Cebrerena, 8479497   size:3.69,Price: ,1.16,CD Becerril, 8041102   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122443993, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Flamengo U20 v EC Santo Andre U20, Favorite: ,Flamengo U20, 6006854   size:5.99,Price: ,1.62,EC Santo Andre U20, 7331730   size:14.68,Price: ,2.02,The Draw, 58805   size:91.35,Price: ,3.0,x
1.122444289, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Goiania EC Goiania U20 v Ass Portuguesa U20, Favorite: ,Ass Portuguesa U20, 7279672   size:39.85,Price: ,1.42,Goiania EC Goiania U20, 10681109   size:5.99,Price: ,3.35,The Draw, 58805   size:5.99,Price: ,3.35,x
1.122446982, Sport: ,Soccer, Time: ,Sun Jan 03 14:15:00 CET 2016, Time: ,Sun Jan 03 14:15:00 CET 2016, Event: ,Umm Salal v Al Sadd (QAT), Favorite: ,Al Sadd (QAT), 4525676   size:6.5,Price: ,1.83,Umm Salal, 5174707   size:14.67,Price: ,3.1,The Draw, 58805   size:14.62,Price: ,3.3,x
1.122431490, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,CD Palencia v UD Santa Marta, Favorite: ,CD Palencia, 9282890   size:3.69,Price: ,1.16,UD Santa Marta, 6796961   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122431492, Sport: ,Soccer, Time: ,Sun Jan 03 11:15:00 CET 2016, Time: ,Sun Jan 03 11:15:00 CET 2016, Event: ,CD Santurtzi v UD Aretxabaleta, Favorite: ,CD Santurtzi, 8826846   size:5.99,Price: ,1.78,UD Aretxabaleta, 10185268   size:24.73,Price: ,3.75,The Draw, 58805   size:33.18,Price: ,3.05,x
1.122400546, Sport: ,Rugby Union, Time: ,Sat Jan 02 20:45:00 CET 2016, Time: ,Sat Jan 02 20:45:00 CET 2016, Event: ,Brive v Montpellier, Favorite: ,Brive, 632440   size:339.36,Price: ,1.66,Montpellier, 632441   size:9.56,Price: ,2.5,Draw, 246289   size:23.28,Price: ,22.0,ok
1.122433314, Sport: ,Basketball, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Usti nad Labem v Opava, Favorite: ,Opava, 7758596   size:5.99,Price: ,1.68,Usti Nad Labem, 7758609   size:5.26,Price: ,2.28,x
1.122431498, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CE Jupiter v AEC Manlleu, Favorite: ,CE Jupiter, 6797331   size:65.39,Price: ,2.04,AEC Manlleu, 6399678   size:33.18,Price: ,3.05,The Draw, 58805   size:34.35,Price: ,2.98,x
1.122407732, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Sabadell v Huracan CF, Favorite: ,Sabadell, 565026   size:4.07,Price: ,1.81,Huracan CF, 5759749   size:2.55,Price: ,5.5,The Draw, 58805   size:2.72,Price: ,3.35,x
1.122433431, Sport: ,Basketball, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Sheffield v Surrey, Favorite: ,Sheffield, 2938535   size:2.72,Price: ,1.03,Surrey, 6719046   size:2.72,Price: ,1.03,ok
1.122431494, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,CD Siete Villas v CD Guarnizo, Favorite: ,CD Siete Villas, 9320409   size:3.69,Price: ,1.16,CD Guarnizo, 6670872   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122433396, Sport: ,Basketball, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Cocinas Clavijo v Prat Joventut, Favorite: ,Cocinas Clavijo, 7736139   size:2.72,Price: ,1.03,Prat Joventut, 8832823   size:2.72,Price: ,1.03,x
