1.120866767, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,KAA Gent (W) v Lierse SK (W), Favorite: ,Lierse SK (W), 7021471   size:3.38,Price: ,1.48,KAA Gent (W), 7613482   size:3.77,Price: ,4.0,The Draw, 58805   size:3.61,Price: ,4.6,x
1.120860868, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Celta Vigo v Getafe, Favorite: ,Celta Vigo, 66483   size:11080.93,Price: ,1.51,Getafe, 248010   size:2080.67,Price: ,8.0,The Draw, 58805   size:1837.43,Price: ,4.6,x
1.121003953, Sport: ,Tennis, Time: ,Fri Oct 02 19:03:00 CEST 2015, Time: ,Fri Oct 02 19:03:00 CEST 2015, Event: ,G Escobar v Alejandro Gonzalez, Favorite: ,Alejandro Gonzalez, 6604262   size:785.24,Price: ,1.25,Gonzalo Escobar, 7660810   size:18.6,Price: ,4.5,ok
1.120967709, Sport: ,Soccer, Time: ,Sat Oct 03 03:30:00 CEST 2015, Time: ,Sat Oct 03 03:30:00 CEST 2015, Event: ,Venados FC v Coras Tepic, Favorite: ,Venados FC, 9988658   size:21.76,Price: ,2.24,Coras Tepic, 8692848   size:5.0,Price: ,2.66,The Draw, 58805   size:11.73,Price: ,3.3,x
1.120866522, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Pandurii v Viitorul Constanta, Favorite: ,Pandurii, 1556995   size:6.92,Price: ,2.28,Viitorul Constanta, 5431165   size:47.99,Price: ,3.7,The Draw, 58805   size:15.77,Price: ,3.35,ok
1.120865476, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Dordrecht v Jong Ajax, Favorite: ,Dordrecht, 507804   size:586.0,Price: ,1.48,Jong Ajax, 4184832   size:93.64,Price: ,7.2,The Draw, 58805   size:165.94,Price: ,5.3,x
1.120863254, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Trabzonspor v Torku Konyaspor, Favorite: ,Trabzonspor, 113125   size:553.92,Price: ,1.89,Torku Konyaspor, 6553233   size:122.66,Price: ,4.8,The Draw, 58805   size:59.37,Price: ,3.6,x
1.120861074, Sport: ,Soccer, Time: ,Fri Oct 02 21:30:00 CEST 2015, Time: ,Fri Oct 02 21:30:00 CEST 2015, Event: ,Setubal v Estoril, Favorite: ,Setubal, 321036   size:5.33,Price: ,2.64,Estoril, 505980   size:36.7,Price: ,3.05,The Draw, 58805   size:333.95,Price: ,3.3,ok
1.120965602, Sport: ,Soccer, Time: ,Sat Oct 03 02:30:00 CEST 2015, Time: ,Sat Oct 03 02:30:00 CEST 2015, Event: ,Queretaro v Tijuana, Favorite: ,Queretaro, 328926   size:25.37,Price: ,2.04,Tijuana, 5687741   siz,ok
1.120861634, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Evian TG v Lens, Favorite: ,Evian TG, 4864973   size:43.03,Price: ,2.32,Lens, 44793   size:19.77,Price: ,3.95,The Draw, 58805   size:64.87,Price: ,3.1,ok
1.120861247, Sport: ,Soccer, Time: ,Sat Oct 03 00:30:00 CEST 2015, Time: ,Sat Oct 03 00:30:00 CEST 2015, Event: ,Criciuma v Parana, Favorite: ,Criciuma, 356589   size:558.59,Price: ,2.02,Parana, 198129   size:10.68,Price: ,4.2,The Draw, 58805   size:61.31,Price: ,3.4,x
1.120968697, Sport: ,Soccer, Time: ,Fri Oct 02 20:25:00 CEST 2015, Time: ,Fri Oct 02 20:25:00 CEST 2015, Event: ,Dundalk v Longford, Favorite: ,Dundalk, 198746   size:143.62,Price: ,1.21,Longford, 184330   size:16.18,Price: ,14.5,The Draw, 58805   size:7.48,Price: ,8.2,ok
1.120865986, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Bodo Glimt v Valerenga, Favorite: ,Bodo Glimt, 373549   size:165.0,Price: ,2.5,Valerenga, 132563   size:641.69,Price: ,2.9,The Draw, 58805   size:318.59,Price: ,3.75,x
1.120861966, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Nancy v AC Ajaccio, Favorite: ,Nancy, 70468   size:84.92,Price: ,1.69,AC Ajaccio, 8720753   size:196.17,Price: ,7.0,The Draw, 58805   size:295.14,Price: ,3.65,ok
