1.122552717, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Sunderland v Bournemouth, Favorite: ,Bournemouth, 1141   size:1210.89,Price: ,2.6,Sunderland, 62783   size:601.02,Price: ,3.05,The Draw, 58805   size:10137.48,Price: ,3.4
1.122552847, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Watford v Newcastle, Favorite: ,Watford, 56301   size:126.76,Price: ,2.14,Newcastle, 25422   size:257.7,Price: ,3.95,The Draw, 58805   size:3054.45,Price: ,3.55
1.122552587, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Man Utd v Southampton, Favorite: ,Man Utd, 48351   size:2700.5,Price: ,1.94,Southampton, 58943   size:117.02,Price: ,4.9,The Draw, 58805   size:1324.4,Price: ,3.5
1.122678000, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Hampton and Richmond v Tonbridge Angels, Favorite: ,Hampton and Richmond, 2439369   size:10.94,Price: ,1.95,Tonbridge Angels, 1034135   size:2.63,Price: ,3.1,The Draw, 58805   size:5.92,Price: ,3.75
1.122705596, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,CF Torre Levante v FC Jove Espanol, Favorite: ,CF Torre Levante, 9355536   size:132.31,Price: ,1.5,FC Jove Espanol, 9320420   size:33.07,Price: ,5.2,The Draw, 58805   size:33.07,Price: ,3.35
1.122552977, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,West Brom v Aston Villa, Favorite: ,West Brom, 1703   size:1543.54,Price: ,2.2,Aston Villa, 63908   size:1722.7,Price: ,4.0,The Draw, 58805   size:5732.33,Price: ,3.3
1.122680125, Sport: ,Basketball, Time: ,Sat Jan 23 17:00:00 CET 2016, Time: ,Sat Jan 23 17:00:00 CET 2016, Event: ,Rilski Sportist Samokov v Academic Bulteks 99, Favorite: ,Rilski Sportist Samokov, 8999532   size:6.34,Price: ,1.03,Academic Bulteks 99, 10393950   size:6.34,Price: ,1.03
1.122705677, Sport: ,Soccer, Time: ,Sat Jan 23 17:30:00 CET 2016, Time: ,Sat Jan 23 17:30:00 CET 2016, Event: ,UCD Burlades v AD San Juan, Favorite: ,UCD Burlades, 8397777   size:49.36,Price: ,2.34,AD San Juan, 7296384   size:42.4,Price: ,2.56,The Draw, 58805   size:33.4,Price: ,2.98
1.122705431, Sport: ,Soccer, Time: ,Sat Jan 23 18:00:00 CET 2016, Time: ,Sat Jan 23 18:00:00 CET 2016, Event: ,CD Getxo v CD Aurrera de Vitoria, Favorite: ,CD Getxo, 7097874   size:85.9,Price: ,1.77,CD Aurrera de Vitoria, 6520554   size:33.07,Price: ,3.65,The Draw, 58805   size:33.07,Price: ,3.1
1.122705316, Sport: ,Soccer, Time: ,Sat Jan 23 18:00:00 CET 2016, Time: ,Sat Jan 23 18:00:00 CET 2016, Event: ,CD Berio FT v Pasala Kirol Elkartea, Favorite: ,Pasala Kirol Elkartea, 9339252   size:56.05,Price: ,2.18,CD Berio FT, 8822721   size:35.94,Price: ,2.84,The Draw, 58805   size:34.09,Price: ,2.94
1.122705541, Sport: ,Soccer, Time: ,Sat Jan 23 18:00:00 CET 2016, Time: ,Sat Jan 23 18:00:00 CET 2016, Event: ,CD Tenerife II v CD Santa Ursula, Favorite: ,CD Tenerife II, 9320413   size:66.15,Price: ,1.82,CD Santa Ursula, 8822719   size:24.05,Price: ,3.75,The Draw, 58805   size:30.06,Price: ,3.2
1.122705486, Sport: ,Soccer, Time: ,Sat Jan 23 18:15:00 CET 2016, Time: ,Sat Jan 23 18:15:00 CET 2016, Event: ,CD Roces v CD Llanes, Favorite: ,CD Llanes, 6962264   size:63.6,Price: ,2.04,CD Roces, 8808432   size:33.07,Price: ,3.1,The Draw, 58805   size:34.09,Price: ,2.94
1.122587592, Sport: ,Soccer, Time: ,Fri Jan 22 20:00:00 CET 2016, Time: ,Fri Jan 22 20:00:00 CET 2016, Event: ,Groningen v NEC Nijmegen, Favorite: ,Groningen, 48450   size:65.34,Price: ,2.14,NEC Nijmegen, 48456   size:304.72,Price: ,3.7,The Draw, 58805   size:6.37,Price: ,3.7
1.122709061, Sport: ,Soccer, Time: ,Fri Jan 22 20:30:00 CET 2016, Time: ,Fri Jan 22 20:30:00 CET 2016, Event: ,Angels FC v Lincoln Red Imps, Favorite: ,Lincoln Red Imps, 8649329   size:5321.58,Price: ,1.02,Angels FC, 10363051   size:6.69,Price: ,120.0,The Draw, 58805   size:2.54,Price: ,27.0
1.122587769, Sport: ,Soccer, Time: ,Fri Jan 22 21:30:00 CET 2016, Time: ,Fri Jan 22 21:30:00 CET 2016, Event: ,Setubal v Academica, Favorite: ,Setubal, 321036   size:36.74,Price: ,2.4,Academica, 203143   size:50.48,Price: ,3.5,The Draw, 58805   size:491.39,Price: ,3.3
1.122708931, Sport: ,Soccer, Time: ,Sat Jan 23 08:30:00 CET 2016, Time: ,Sat Jan 23 08:30:00 CET 2016, Event: ,Thai Binh U19 v Khanh Hoa U19, Favorite: ,Khanh Hoa U19, 8286342   size:66.15,Price: ,1.21,Thai Binh U19, 10709574   size:8.05,Price: ,9.2,The Draw, 58805   size:15.03,Price: ,5.4
