1.122172581, Sport: ,Soccer, Time: ,Sun Dec 06 13:00:00 CET 2015, Time: ,Sun Dec 06 13:00:00 CET 2015, Event: ,Hapoel Beit Shean v Hapoel Mejdel Krum, Favorite: ,Hapoel Beit Shean, 8126403   size:5.97,Price: ,1.49,Hapoel Mejdel Krum, 9339216   size:35.83,Price: ,4.6,The Draw, 58805   size:47.77,Price: ,3.45,ok
1.122048505, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Numancia v Leganes, Favorite: ,Numancia, 28189   size:18.46,Price: ,2.82,Leganes, 309109   size:19.51,Price: ,2.88,The Draw, 58805   size:328.25,Price: ,3.2,x
1.122086806, Sport: ,Soccer, Time: ,Sun Dec 06 19:00:00 CET 2015, Time: ,Sun Dec 06 19:00:00 CET 2015, Event: ,Farense v Olhanense, Favorite: ,Farense, 48788   size:69.19,Price: ,2.16,Olhanense, 2524227   size:83.29,Price: ,4.0,The Draw, 58805   size:29.92,Price: ,3.15,x
1.122054182, Sport: ,Soccer, Time: ,Sun Dec 06 20:00:00 CET 2015, Time: ,Sun Dec 06 20:00:00 CET 2015, Event: ,Atletico MG v Chapecoense, Favorite: ,Atletico MG, 361329   size:107.06,Price: ,1.35,Chapecoense, 2909511   size:27.36,Price: ,11.0,The Draw, 58805   size:88.71,Price: ,5.5,ok
1.122046209, Sport: ,Soccer, Time: ,Sun Dec 06 18:00:00 CET 2015, Time: ,Sun Dec 06 18:00:00 CET 2015, Event: ,Mersin Idman Yurdu v Rizespor, Favorite: ,Rizespor, 113643   size:15.44,Price: ,2.52,Mersin Idman Yurdu, 508779   size:23.13,Price: ,3.0,The Draw, 58805   size:22.23,Price: ,3.5,x
1.122084523, Sport: ,Soccer, Time: ,Sun Dec 06 16:00:00 CET 2015, Time: ,Sun Dec 06 16:00:00 CET 2015, Event: ,Al Ittihad Bahrain v Isa Town FC, Favorite: ,Al Ittihad Bahrain, 5964894   size:3.67,Price: ,1.11,Isa Town FC, 8149479   size:3.67,Price: ,1.11,The Draw, 58805   size:13.88,Price: ,3.15,x
1.122170187, Sport: ,Soccer, Time: ,Sun Dec 06 20:30:00 CET 2015, Time: ,Sun Dec 06 20:30:00 CET 2015, Event: ,Limon v Deportivo Saprissa, Favorite: ,Deportivo Saprissa, 1328422   size:12.93,Price: ,2.24,Limon, 7050467   size:7.48,Price: ,2.74,The Draw, 58805   size:14.63,Price: ,3.2,x
1.121970548, Sport: ,American Football, Time: ,Mon Dec 07 02:30:00 CET 2015, Time: ,Mon Dec 07 02:30:00 CET 2015, Event: ,Indianapolis @ Pittsburgh, Favorite: ,Pittsburgh Steelers, 50208   size:4.32,Price: ,1.3,Indianapolis Colts, 50200   size:178.11,Price: ,4.1,ok
1.122085852, Sport: ,Soccer, Time: ,Sun Dec 06 22:00:00 CET 2015, Time: ,Sun Dec 06 22:00:00 CET 2015, Event: ,Columbus v Portland Timbers, Favorite: ,Columbus, 171903   size:200.74,Price: ,2.14,Portland Timbers, 4004854   size:153.23,Price: ,3.65,The Draw, 58805   size:105.52,Price: ,3.65,x
1.122162200, Sport: ,Soccer, Time: ,Sun Dec 06 12:00:00 CET 2015, Time: ,Sun Dec 06 12:00:00 CET 2015, Event: ,CD Salamanca FF (W) v Rayo Vallecano II (W), Favorite: ,Rayo Vallecano II (W), 10597028   size:79.93,Price: ,2.08,CD Salamanca FF (W), 8257557   size:73.5,Price: ,2.24,The Draw, 58805   size:43.18,Price: ,3.85,x
1.122170060, Sport: ,Soccer, Time: ,Mon Dec 07 00:00:00 CET 2015, Time: ,Mon Dec 07 00:00:00 CET 2015, Event: ,Mexico U20 (W) v Haiti U20 (W), Favorite: ,Mexico U20 (W), 4835202   size:18.32,Price: ,1.02,Haiti U20 (W), 10585749   size:2.71,Price: ,22.0,The Draw, 58805   size:2.71,Price: ,22.0,ok
1.122164982, Sport: ,Basketball, Time: ,Sun Dec 06 16:00:00 CET 2015, Time: ,Sun Dec 06 16:00:00 CET 2015, Event: ,Szczecin v Ostrow Wielkopolski, Favorite: ,Szczecin, 8832807   size:160.2,Price: ,1.26,Ostrow Wielkopolski, 10387986   size:22.14,Price: ,2.88,ok
1.122100173, Sport: ,Ice Hockey, Time: ,Sun Dec 06 16:30:00 CET 2015, Time: ,Sun Dec 06 16:30:00 CET 2015, Event: ,EHC Munchen v Schwenninger, Favorite: ,Tie, 60104   size:6.73,Price: ,1.06,EHC Munchen, 4923560   size:5.97,Price: ,1.18,Schwenninger, 348569   size:5.97,Price: ,1.18,x
1.122104893, Sport: ,Soccer, Time: ,Sun Dec 06 13:30:00 CET 2015, Time: ,Sun Dec 06 13:30:00 CET 2015, Event: ,Ghazi El Mehalla v El Daklyeh, Favorite: ,El Daklyeh, 5907009   size:2.66,Price: ,1.49,Ghazi El Mehalla, 7023880   size:3.1,Price: ,6.0,The Draw, 58805   size:2.55,Price: ,3.55,x
