1.121696842, Sport: ,Tennis, Time: ,Sat Nov 07 03:00:00 CET 2015, Time: ,Sat Nov 07 03:00:00 CET 2015, Event: ,Numajiri v Yu Shimizu, Favorite: ,Keisuke Numajiri, 8997147   size:7.44,Price: ,1.04,Yuta Shimizu, 10500847   size:7.44,Price: ,1.04,ok
1.121543589, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Yamagata v Shimizu, Favorite: ,Yamagata, 3718961   size:5.0,Price: ,2.24,Shimizu, 441086   size:288.0,Price: ,3.35,The Draw, 58805   size:109.01,Price: ,3.6,x
1.121522586, Sport: ,Ice Hockey, Time: ,Sat Nov 07 01:05:00 CET 2015, Time: ,Sat Nov 07 01:05:00 CET 2015, Event: ,Detroit @ Toronto, Favorite: ,Detroit, 975676   size:8.75,Price: ,2.48,Toronto, 2108073   size:2.72,Price: ,2.72,Tie, 60104   size:5.8,Price: ,3.8,x
1.121696843, Sport: ,Tennis, Time: ,Sat Nov 07 04:45:00 CET 2015, Time: ,Sat Nov 07 04:45:00 CET 2015, Event: ,W Jun v Iino, Favorite: ,Woong-Sun Jun, 3101898   size:7.44,Price: ,1.04,Shota Iino, 9624217   size:7.44,Price: ,1.04,ok
1.121623291, Sport: ,American Football, Time: ,Sat Nov 07 05:30:00 CET 2015, Time: ,Sat Nov 07 05:30:00 CET 2015, Event: ,BYU Cougars @ San Jose State Spartans, Favorite: ,BYU Cougars, 7872280   size:357.0,Price: ,1.21,San Jose State Spartans, 7692798   size:2.55,Price: ,4.9,ok
1.121534321, Sport: ,Soccer, Time: ,Fri Nov 06 19:15:00 CET 2015, Time: ,Fri Nov 06 19:15:00 CET 2015, Event: ,Club Santos Laguna U20 v Monarcas Morelia U20, Favorite: ,Club Santos Laguna U20, 6144871   size:279.23,Price: ,1.41,Monarcas Morelia U20, 6241888   size:14.02,Price: ,5.7,The Draw, 58805   size:8.37,Price: ,4.4,ok
1.121693818, Sport: ,Tennis, Time: ,Sat Nov 07 05:00:00 CET 2015, Time: ,Sat Nov 07 05:00:00 CET 2015, Event: ,Y Xu v E Bogdan, Favorite: ,Yi-Fan Xu, 2550525   size:3.72,Price: ,1.08,Elena Bogdan, 4520829   size:3.72,Price: ,1.08,ok
1.121555213, Sport: ,Soccer, Time: ,Sat Nov 07 07:00:00 CET 2015, Time: ,Sat Nov 07 07:00:00 CET 2015, Event: ,FC Seoul v Suwon Bluewings, Favorite: ,FC Seoul, 2479786   size:92.05,Price: ,2.64,Suwon Bluewings, 5339134   size:12.34,Price: ,3.0,The Draw, 58805   size:2.79,Price: ,3.25,ok
1.121617227, Sport: ,Rugby Union, Time: ,Fri Nov 06 20:30:00 CET 2015, Time: ,Fri Nov 06 20:30:00 CET 2015, Event: ,Connacht v Treviso, Favorite: ,Connacht, 50110   size:1144.43,Price: ,1.1,Treviso, 52263   size:12.61,Price: ,9.8,Draw, 246289   size:29.47,Price: ,110.0,ok
1.121637753, Sport: ,Basketball, Time: ,Fri Nov 06 20:45:00 CET 2015, Time: ,Fri Nov 06 20:45:00 CET 2015, Event: ,Unicaja Malaga v Dinamo Sassari, Favorite: ,Unicaja Malaga, 266279   size:485.83,Price: ,1.14,Dinamo Sassari, 5520916   size:12.0,Price: ,7.2,ok
