1.121804108, Sport: ,Tennis, Time: ,Fri Nov 13 13:30:00 CET 2015, Time: ,Fri Nov 13 13:30:00 CET 2015, Event: ,Conny Perrin v Jasmine Paolini, Favorite: ,Conny Perrin, 5596573   size:3.12,Price: ,1.6,Jasmine Paolini, 8944356   size:6.02,Price: ,2.34,x
1.121806529, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Siniakova v Friedsam, Favorite: ,Anna-Lena Friedsam, 7593369   size:117.04,Price: ,1.72,Katerina Siniakova, 7137442   size:55.38,Price: ,2.28,x
1.121667065, Sport: ,Soccer, Time: ,Fri Nov 13 14:00:00 CET 2015, Time: ,Fri Nov 13 14:00:00 CET 2015, Event: ,Kenya v Cape Verde Islands, Favorite: ,Cape Verde Islands, 262711   size:11.2,Price: ,2.48,Kenya, 659799   size:103.14,Price: ,3.4,The Draw, 58805   size:90.13,Price: ,3.15,x
1.121781942, Sport: ,Tennis, Time: ,Fri Nov 13 10:30:00 CET 2015, Time: ,Fri Nov 13 10:30:00 CET 2015, Event: ,Y Duan v Shvedova, Favorite: ,Yaroslava Shvedova, 2263713   size:140.6,Price: ,1.87,Ying-Ying Duan, 8243878   size:59.18,Price: ,2.14,ok
1.121767004, Sport: ,Basketball, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,Shinhan Bank S Birds v Woori Bank Hansae, Favorite: ,Woori Bank Hansae, 5154535   size:3.33,Price: ,1.1,Shinhan Bank S Birds, 5154533   size:201.31,Price: ,1.35,ok
1.121668206, Sport: ,Soccer, Time: ,Fri Nov 13 13:30:00 CET 2015, Time: ,Fri Nov 13 13:30:00 CET 2015, Event: ,Ironi Ramat HaSharon v Hapoel Katamon, Favorite: ,Ironi Ramat HaSharon, 6242601   size:4.86,Price: ,1.61,Hapoel Katamon, 7629623   size:2.55,Price: ,4.3,The Draw, 58805   size:4.41,Price: ,4.9,ok
1.121668963, Sport: ,Soccer, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,Slovakia (W) U19 v Poland (W) U19, Favorite: ,Slovakia (W) U19, 6551012   size:2.55,Price: ,1.55,Poland (W) U19, 6770662   size:2.55,Price: ,1.55,The Draw, 58805   size:11.13,Price: ,3.55,x
1.121771461, Sport: ,Tennis, Time: ,Fri Nov 13 06:06:00 CET 2015, Time: ,Fri Nov 13 06:06:00 CET 2015, Event: ,Hsieh/Yang v Chen/Skugor, Favorite: ,Chen/Skugor, 10082607   size:282.04,Price: ,1.02,Hsieh/Yang, 8699722   size:4.01,Price: ,8.2,ok
1.121766793, Sport: ,Basketball, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Singapore Slingers v Malaysia Dragons, Favorite: ,Singapore Slingers, 2074842   size:8.33,Price: ,1.04,Malaysia Dragons, 7001441   size:8.33,Price: ,1.04,ok
1.121669819, Sport: ,Soccer, Time: ,Fri Nov 13 14:30:00 CET 2015, Time: ,Fri Nov 13 14:30:00 CET 2015, Event: ,Mumbai City v Pune City, Favorite: ,Mumbai City, 8897745   size:3.0,Price: ,2.14,Pune City, 8897749   size:204.81,Price: ,3.7,The Draw, 58805   size:93.01,Price: ,3.65,x
1.121810291, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Bryan/Bryan v Bolelli/Fognini, Favorite: ,Bryan/Bryan, 1502771   size:8.33,Price: ,1.04,Bolelli/Fognini, 5720390   size:8.33,Price: ,1.04,ok
1.121671567, Sport: ,Soccer, Time: ,Fri Nov 13 15:00:00 CET 2015, Time: ,Fri Nov 13 15:00:00 CET 2015, Event: ,Wales U21 v Armenia U21, Favorite: ,Wales U21, 233650   size:53.4,Price: ,1.51,Armenia U21, 210037   size:75.33,Price: ,7.4,The Draw, 58805   size:28.88,Price: ,4.5,ok
1.121769705, Sport: ,Soccer, Time: ,Fri Nov 13 12:00:00 CET 2015, Time: ,Fri Nov 13 12:00:00 CET 2015, Event: ,M Sektzia Tarshicha v Hapoel RM Meggido, Favorite: ,M Sektzia Tarshicha, 9406577   size:10.0,Price: ,1.12,Hapoel RM Meggido, 10516165   size:10.0,Price: ,1.12,The Draw, 58805   size:5.21,Price: ,2.94,ok
1.121810295, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Federer v Nishikori, Favorite: ,Roger Federer, 2251402   size:3.7,Price: ,1.09,Kei Nishikori, 2483001   size:30.06,Price: ,2.04,ok
1.121668284, Sport: ,Soccer, Time: ,Fri Nov 13 13:30:00 CET 2015, Time: ,Fri Nov 13 13:30:00 CET 2015, Event: ,Hapoel Ramat Gan v Hapoel Rishon Lezion, Favorite: ,Hapoel Rishon Lezion, 5889551   size:4.79,Price: ,2.48,Hapoel Ramat Gan, 542944   size:11.07,Price: ,2.56,The Draw, 58805   size:6.39,Price: ,3.3,ok
1.121768584, Sport: ,Soccer, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,CNS Cetate Deva v Politechnica Timisoara, Favorite: ,CNS Cetate Deva, 10201563   size:10.0,Price: ,1.12,Politechnica Timisoara, 10288476   size:10.0,Price: ,1.12,The Draw, 58805   size:5.21,Price: ,2.94,x
1.121770146, Sport: ,Soccer, Time: ,Fri Nov 13 15:30:00 CET 2015, Time: ,Fri Nov 13 15:30:00 CET 2015, Event: ,Scotland U19 v Latvia U19, Favorite: ,Scotland U19, 820888   size:2.64,Price: ,1.43,Latvia U19, 2098194   size:2.81,Price: ,10.0,The Draw, 58805   size:23.62,Price: ,4.6,ok
1.121769037, Sport: ,Soccer, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,CS Uni Craiova II v AS Magura Cisnadie, Favorite: ,CS Uni Craiova II, 10140647   size:10.0,Price: ,1.12,AS Magura Cisnadie, 10366643   size:10.0,Price: ,1.12,The Draw, 58805   size:5.21,Price: ,2.94,ok
1.121769312, Sport: ,Soccer, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,FK Bakili Baku v FC Agsu, Favorite: ,FC Agsu, 7748023   size:7.5,Price: ,1.17,FK Bakili Baku, 7748022   size:2.87,Price: ,1.19,The Draw, 58805   size:3.08,Price: ,3.6,x
1.121804049, Sport: ,Tennis, Time: ,Fri Nov 13 13:30:00 CET 2015, Time: ,Fri Nov 13 13:30:00 CET 2015, Event: ,Ana Bogdan v Pemra Ozgen, Favorite: ,Ana Bogdan, 3875013   size:4.83,Price: ,1.34,Pemra Ozgen, 2420585   size:43.61,Price: ,3.25,ok
1.121806228, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Bury/Siljestrom v Bemelmans/Petzschner, Favorite: ,Bury/Siljestrom, 9940566   size:8.33,Price: ,1.04,Bemelmans/Petzschner, 10383945   size:8.33,Price: ,1.04,ok
1.121786570, Sport: ,Tennis, Time: ,Fri Nov 13 09:30:00 CET 2015, Time: ,Fri Nov 13 09:30:00 CET 2015, Event: ,Zagorac v Tomova, Favorite: ,Eva Zagorac, 9628709   size:4.16,Price: ,1.08,Viktoriya Tomova, 4597116   size:4.16,Price: ,1.08,x
1.121771634, Sport: ,Tennis, Time: ,Fri Nov 13 09:00:00 CET 2015, Time: ,Fri Nov 13 09:00:00 CET 2015, Event: ,Q Wang v Su Hsieh, Favorite: ,Su-Wei Hsieh, 8244521   size:165.42,Price: ,1.6,Qiang Wang, 6145777   size:5.0,Price: ,2.56,x
1.121765001, Sport: ,Tennis, Time: ,Fri Nov 13 11:10:00 CET 2015, Time: ,Fri Nov 13 11:10:00 CET 2015, Event: ,Han/Zhang v Buayam/Luangnam, Favorite: ,Han/Zhang, 8715742   size:5.0,Price: ,1.21,Buayam/Luangnam, 10507073   size:39.98,Price: ,4.6,ok
